1d100	长期性疯狂
1-10	角色被强迫重复进行某种行为，比如洗手、触摸某物、祈祷或数钱。
11-20	角色面前出现逼真的幻觉，其属性检定具有劣势。
21-30	角色患上强烈的妄想症，其感知和魅力检定具有劣势。
31-40	角色对某物（通常是疯狂的源头）产生强烈的厌恶感，如同受法术嫌恶/吸引术 antipathy/sympathy嫌恶/关怀术 Antipathy/Sympathy的嫌恶效应一般。
41-45	角色产生一种强烈的错觉。指定某种药水，该角色坚信自己始终处于该药水的效应中。
46-55	角色将某人或者某物件视为“幸运物lucky charm”，在离开该对象30尺范围后，该角色进行的攻击检定、属性检定和豁免检定均具有劣势。
56-65	角色陷入目盲（25%）或者耳聋（75%）。
66-75	角色经历无法控制的抽搐或颤动，导致其进行与力量和敏捷相关的攻击检定，属性检定和豁免检定时具有劣势。
86-90	每当角色受到伤害时，他必须进行一次DC 15的感知豁免。豁免失败则该角色等同于对于遭受法术困惑术 Confusion且豁免失败。该法术效应将持续1分钟。
76-85	角色患上选择性失忆症。该角色仍然记得自己的身份，并保留其所有的种族特质和职业特性，但不认识其他所有人，并对疯狂效应生效前发生的事都没有印象。
91-95	角色失去说话能力。
96-100	角色陷入昏迷，且无法用摇晃和伤害的方式唤醒。
