1d100	关于NPC的传闻
1	掌握能将整支军队变成猪、青蛙或鞋子的法术 Access to a Spell that can turn an Army into Swine, Frogs, or Footwear
2	意外在战斗中击败了一位高阶德鲁伊 Accidentally bested a High Druid in Combat
3	至少两个矮人氏族因他们找回圣物而欠下人情 At least two Dwarf Clans owe them Favors for Retrieving Relics
4	携带着一面由泰坦尺寸的金币构成的盾牌 Bears a Shield that consists of a Gold Coin sized for Titans
5	悬赏金无人领取，深受当地人喜爱 Bounty on their Head goes uncollected, too well Loved by Locals
6	与豺狼人达成和平协议，豺狼人至今仍对其怀有敬意 Brokered Peace with the Gnolls, who still regard them with Honor
7	据其对手称，此人携带有致命且使人衰弱的疾病 Carrier for a Deadly and Debilitating Disease according to their Rivals
8	声称自己屠杀了那条龙，但尚未被反驳或证实 Claims that they Slew that Dragon have yet to be Refuted or Substantiated
9	渴望争议，甚至将陌生人卷入他们的戏剧中 Craves Controversy, to the point of embroiling Strangers in their Drama
10	对雇佣助手的残忍行径使他们成为应避开的雇主 Cruelty to Hired Help has branded them an Employer to Avoid
11	被一位过度保护的幽灵守护，在危险时显形 Defended by an Overprotective Ghost, materializes when endangered
12	根据紧张的耳语，坚定地朝着巫妖之路努力 Determinedly working towards Lichdom according to nervous Whispers
13	发现了一条新贸易路线，帮助当地商人赚得盆满钵满 Discovered a new Trade Route that helped line the Pockets of a Local Trader
14	可疑的私掠许可证允许扣押大多数魔法武器 Dubious Letter of Marque permits Seizure of Most Magical Weapons
15	据说他们曾在一周内独自挖出了一个半身人洞穴 Dug a Halfling Hole Single-Handedly in a Week they say
16	曾在波浪/水下居住过一段时间，有人说他们至今仍能在水中呼吸 Dwelt beneath Waves/Water for a Time, some say they still can Breathe It
17	因偷窃哥布林王的王冠而招致其仇恨 Earned the Enmity of the Goblin King by stealing their Crown
18	敌人声称他们以猎杀独角兽为乐，盟友则说他们在保护它们 Enemies claim they Hunt Unicorns for Sport, Allies say they Protect them
19	据说受神眷顾：不然他们怎能从那幽灵手中幸存？ Favored by the Gods they say: How else did they survive that Spectre?
20	沉睡了一年零一天，有人说他们的梦境仍具预言性 Fell asleep for a Year and a Day, some say their Dreams are still Prophetic
21	对良驹的喜爱众所周知，马厩总是满满当当 Fondness for fine Steeds is well known, with their Stables always Full
22	用模仿或口技骗过了一群食人魔 Fooled a whole gaggle of Ogres with their talent for Mimicry/Ventriloquism
23	强大而遗忘的咒语在他们宏伟的图书馆中盘旋 Forgotten and Powerful Spells swirl within their Formidable Library
24	曾在幽灵战争中战斗，因勇敢与牺牲受到表彰 Fought in the Wraith Wars, commended for Bravery and Sacrifice
25	一场赌局赐予了他们贵族头衔，似乎天生幸运非凡 Game of Chance Granted them a Noble Title, preternaturally Lucky it seems
26	徒手猎熊，众多兽皮见证其成功 Goes Bear Hunting, Bare-Handed. Numerous skins attest to success
27	传闻他们曾多年被变形为骡子 Gossip says they spent several Years Polymorphed into a Mule
28	连续八年种出了最大的芜菁，直到那些蚁狮出现 Grew the largest Rutabaga for eight years in a Row before those Ankhegs
29	几乎违背了所有曾经许下的诺言或誓言 Has Broken nearly every Promise or Oath they've ever Made
30	无可救药地沉迷于蛇发女妖之粉，最近典当了一件珍爱之物 Hopelessly Addicted to Gorgon Powder, recently pawned a Prized Possession
31	好客到令人称奇：尤其对虔诚之人格外热情 Hospitable to a Fault they say: Particularly if approached by the Pious
32	低声细语中只对他们如何反抗当地领主表示赞扬 Hushed Murmurs offer only Praise for how they Defied a Local Lord
33	九头蛇杀手，身上布满穿孔般的疤痕以作证明 Hydra Slayer with the perforation-like Scars to Prove it
34	拥有一本极其不利的罪证日记 In Possession of an Extremely Incriminating Journal
35	日益古怪的行为让一些人认为他们被施了魔法 Increasingly Erratic Behavior has some saying they've been Ensorcelled
36	以吝啬闻名，甚至试图为配偶的赎金讨价还价 Infamously Miserly, even tried to Haggle a Spouse's Ransom
37	恐吓税务官整整两个季度后才被关进监狱 Intimidated the Tax Collector for two entire Seasons before being Jailed
38	仅凭怒视便杀死一人，用目光将其逼入死亡 Killed a Man with just a Glower, Stared the Death into him
39	知晓杂交新型奇美拉的七个步骤中的六个 Knows six of the seven steps for Hybridizing new forms of Chimera
40	让最好的朋友惨遭狗头人毒手，可能永远无法释怀 Let their Best Friend fall Victim to Kobolds, will likely never live it down
