1d100	角色间的联系&过往
1	在船舱/军营/客栈中被分配到相邻的铺位 Assigned adjacent Bunks within a Berth/Barracks/Inn
2	参加了同一场宗教仪式/祝福/祝圣，可能出于不同的原因 Attended same Religious Service/Blessing/Consecration perhaps for different reasons
3	被同一名八卦散播者或谣言中伤或诽谤 Besmirched or Slandered by the same Gossip Monger/Rumor
4	在彼此的梦中扮演小角色，导致初次见面时短暂困惑 Bit Parts in each others Dreams, leading to brief confusion on first Meeting
5	曾同乘一艘船/同一辆马车/同一支商队旅行 Booked passage on the same Ship/Stagecoach/Caravan Train
6	同为同一恶作剧者无害恶作剧或小把戏的受害者 Both victims of a Harmless Prank or bit of Mischief by the same Perpetrator
7	曾因同一誓约、法令、诏令或魔法强制而暂时联结 Bound temporarily by the same Geas, Mandate, Decree, or Magical Compulsion
8	曾短暂师从同一行业，但未必有所成就 Briefly Apprenticed to the same Trade that didn't necessarily take
9	受命清理同一栋房屋、储物空间或死亡后的混乱现场 Charged with clearing out the same House, Storage Space, or Mess after a Death
10	被同一商人、骗子或江湖术士欺骗或诈骗 Cheated or Swindled by the same Merchant, Grifter, or Charlatan
11	因相同的失落而互诉衷肠（失去的人、破碎的心、消失的餐馆、支持的球队） Commiserating over the same Loss (Person, Broken Heart, Place to Eat, Sports Team)
12	争夺同一人的关注/爱慕/友谊 Competing for the Attention/Affection/Friendship of the same Individual
13	穿越一条险峻的河流/路径时，有人差点失足坠落 Crossing a River/Route with treacherous footing, someone almost fell
14	被同一位奇术师、怪物或神祇诅咒、施咒或降灾 Cursed, Hexed, or Blighted by the same Wonder Worker, Monster, or Deity
15	发现你们信奉或践行着相同的迷信小动作或微小的好运仪式 Discovered you Believe/Practice the same Superstitious Tic or Minor Good Luck Ritual
16	在婚礼/结婚仪式中被征召参与对立双方的角色 Drafted to participate on different sides of the aisle in a Wedding/Marriage Ceremony
17	你们每个人都欠了同一个债主的债 Each of you ended up in Arrears to the same Lender
18	你们之间有着诡异般相同的胎记或纹身 Eerily identical Birthmarks or Tattoos shared between you
19	曾一同踏上朝圣之旅、长途跋涉或迁徙之路 Embarked upon the same Pilgrimage, Long Journey, or Migration
20	在同一小丑/弄臣/喜剧演员面前，彼此都曾当众出丑 Embarrassed by the same Clown/Jester/Comedian in front of others
21	曾共同欣赏同一场音乐会/戏剧/表演，并在事后进行了讨论 Enjoyed the same Concert/Play/Performance and discussed it afterwards
22	对同一个人、地方或事物怀有强烈的敌意或崇敬 Espoused strong Enmity or Admiration for the same Person, Place, or Thing
23	在同一个人的葬礼或生命庆典上发表了悼词 Eulogized the same Individual at their Funeral or Celebration of Life
24	对同一种调味料或食物类型有轻微过敏或强烈反感 Ever so slightly Allergic or Strongly Dislike the same Seasoning or Type of Food
25	因琐碎理由被拒之门外，而他人却得以参加一场盛事 Excluded from a Prestigious Event for Petty Reasons as others were allowed to enter
26	共同经历了同一场自然灾害或其他可怕的苦难 Experienced the same Natural Disaster or other Horrible Hardship
27	同一罪行或阴谋的目击者 Eye-witnesses to the same Crime or Caper
28	共同面对一个折磨着你们良心的可怕秘密 Faced with keeping the same Terrible Secret that gnaws upon your Consciences
29	你们曾因一件蠢事大打出手，如今回想起来却开怀大笑 Fisticuffs broke out between you two for a Silly Reason, you laugh about it now
30	两位不同的占卜师/预言家以惊人的细节预言了这次相遇 Foretold Meeting in Uncanny Detail by two different Fortune Tellers/Oracles
31	被犯罪团伙/组织陷害，在身份辨认队列中相遇 Framed by a Criminal Gang/Organization, met in an Identity Parade/Line Up
32	童年时常去同一个游泳洞或其他娱乐场所 Frequented the same Swimming Hole or other Recreation as Children
33	对同一物品进行友好讨价还价或竞争性竞价 Good Natured Haggling or Competitive Bidding over the same Item
34	你们各自拜访的坟墓或陵墓恰好相邻 Graves or Tombs visited by each of you just happened to be next to each other
35	同一场宴会或庆典上的宾客或不速之客 Guests or Gate Crashers at the same Banquet/Celebration
36	同为同一项未定论的魔法/科学/社会实验中的实验对象 Guinea Pigs for the same inconclusive Magical/Scientific/Social Experiment
37	曾由同一位教育者、学校老师或导师教授基础科目 Had the same Educator, Schoolteacher, or Tutor for Basic Subjects
38	童年时期被同一个幽灵或不可磨灭的记忆所困扰 Haunted by the same Ghost or Indelible Memory during Childhood
39	曾一同躲避同一追捕者、猎人或追踪者 Hid together from the same Pursuant. Hunter, or Tracker
40	被同一个骗子在长期金融骗局中蒙蔽 Hoodwinked by the same Confidence Person in a long-term Financial Scheme
41	曾短暂沉迷于同一种非法物质、活动或恶习 Hooked on the same Illicit Substance, Activity, or Vice for a short period of time
42	曾在突如其来的暴雨或恶劣天气中，共处同一屋檐或庇护所下 Huddled under same Eave or Shelter during a Sudden Downpour/Inclement Weather
43	曾在同一个俱乐部、乐队或表演团体中短暂共事 In the same Club, Band, or Performance Troupe for a short period of Time
44	受邀参加了同一场节日/派对/狂欢，结果场面有点失控 Invited to the same Festival/Party/Carouse that got a little bit out of hand
45	曾共同遭遇建筑、马车或类似情境中的事故 Involved in the same Accident involving a Construction, Wagon, or similar situation
46	曾短暂共度牢狱之灾，虽短却足以铭记 Jailed or Imprisoned Together for a Short Stint, but Long Enough
47	抱怨天气、当地名人或其他琐碎话题 Kvetching or complaining about the Weather, Local Personality, or other Banal Topic
48	出于截然不同的原因，挺身而出救助一只受虐待的动物 Leapt to the Aid of an Animal being Mistreated for Vastly Different Reasons
49	曾渴望目睹同一片遥远土地、特殊遗址或壮丽古迹 Longed to see the same Distant Land, Special Site, or Incredible Monument
50	因同一可怕怪物而失去相识/朋友/亲人 Lost Acquaintances/Friends/Relatives to the same Terrible Monster
51	误投邮件：他们收到了你的，你收到了他们的 Misdelivered Mail: They received yours, you received theirs
52	共同熟人曾断言你们无法相处，结果你们证明他们错了。 Mutual Acquaintance swore you wouldn't get along. Proved them wrong
53	曾需一枚铜币或一盏灯，以闲谈回报的小小恩惠 Needed a Copper Coin or a Light, something small repaid with Conversation
54	在同一医院、诊所或病房中护理过疾病、伤害或残疾 Nursed an Illness, Injury, or Incapacitation in same Hospital/Clinic/Ward
55	幼时由同一位乳母/保姆/奶妈抚养长大 Nurtured by the same Wet Nurse/Babysitter/Nanny as children
56	一人掉了硬币，另一人发现并归还了它 One dropped a Coin, the other noticed and returned it
57	在一家餐厅、酒馆或杂货店中，订单被搞混了 Orders were muddled at a Dining Establishment, Tavern, or Grocery
58	被同一借款人欠下债务，至今仍未偿还 Owed a Debt by the same Borrower who has still yet to Repay
59	父母/亲戚/祖先曾是朋友或有过现已化解的宿怨 Parents/Relatives/Ancestors were Friends or had a now resolved Bitter Rivalry
60	同属一个网络，曾共同藏匿逃犯、越狱者、逃兵或法外之徒 Part of same Network, hiding a Fugitive, Escaped Prisoner, Deserter, or Outlaw
61	同一场机遇、技巧或体育比赛的参与者 Participants in the same Game of Chance, Skill, or Sport
62	在一次狂热而激动人心的舞会/化装舞会上，伙伴们被随机配对。 Partners randomly selected during a frenetic and exciting Dance/Masquerade
63	同一机构或企业的赞助者、客户或常客 Patrons, Clients or Frequent Customers of the same Establishment or Business
64	因共同的预兆而困扰，总在同一时间地点相遇 Plagued with shared Premonitions that put you at the same Place and Time
