1d100	快速引入新PC
1	一位队友能为你提供关键的不在场证明 A Party Member can provide an Essential Alibi for you
2	受家人或朋友之托，负责照看一位冒险队友 Asked to look after a Party Member by Family or Friend
3	占星师告知你的命运与这些人紧密相连 Astrologer told you your Fate was Chained to these Folks
4	赏金似乎是一条轻松赚钱的捷径 Bounties sure seemed like a lucrative way to make some easy Money
5	与那些奇异的森林生物共进晚餐往往没有好结果 Breaking Bread with those strange Sylvan Creatures never ends well
6	当魅惑法术逐渐消退，化为模糊记忆时，短暂的困惑 Brief Befuddlement as the Charm Spell fades away to foggy Memories
7	带回战利品确保你的勇气再无人质疑 Bringing back a Trophy insures your Mettle is never questioned again
8	紧抓着残骸，漩涡旋转着将你吸入，最终将你抛置于此。 Clinging to Debris, the Vortex swirled and sucked you in: Depositing you here
9	同伴遭伏击，你侥幸逃脱：人多安全 Companions Bushwhacked, you narrowly Escaped: Safety in Numbers
10	确认某特定怪物存在的传闻 Confirming the Rumored Presence of a Particular Monster
11	确信某位队友欠你东西，前来讨债 Convinced a Party Member Owes you Something, come to Collect
12	寻求在此为所犯过错/罪行赎罪的渴望 Craving Atonement for Transgressions/Crimes you found it Here
13	传闻“好奇治愈”在此为一位患病至亲或盟友而来 Curious Cure is Rumored to be here for a Loved One/Ally that's Ill
14	头晕目眩，迷失方向，真不该踏入那个奇怪的法阵 Dazed and Disoriented, shouldn't have stepped into that Strange Circle
15	从遥远之地为队友传递消息或信件 Delivering a Message/Missive to a Party Member from Far Off Lands
16	发现了将便携洞放入次元袋的后果 Discovered consequences of stowing a Portable Hole in Bag of Holding
17	这扇门看似普通，却通向此处，且无法带你返回来处。 Door looked like any other, but led to here and didn't Return you whence
18	寻宝勘探贵金属将你引至此地 Dowsing/Prospecting for Precious Metals led you here
19	从一副极具魔法的牌组中抽出了一张特定的牌 Drew a specific Card from a certain very Magical Deck
20	为躲避追兵藏身空心树干，如今你来到了这里 Ducked into that Hollow Trunk to Evade Pursuers, and now you're Here
21	与当地居民的沟通交涉未能取得成功 Efforts to Treat with the Local Denizens were not Successful
22	元素生物有时会召唤我们 Elementals sometimes Summon Us
23	最恶毒的附魔必定让你梦游不止 Ensorcellment Most Foul must have had you Somnambulating
24	为准备一顿饭而外出寻找特定食材的差事，结果却出了大错 Errand to Fetch a Particular Ingredient for a Meal gone Horribly Wrong
25	来自地底深处的奇异残留物，在某些炼金师手中价值连城 Exotic Residues from Deep Below fetch a high price with certain Alchemists
26	双眼如炽热余烬！被野兽追踪，却不敢随你至此 Eyes like Glowing Embers! Stalked by a Beast, It didn't dare follow you Here
27	在远古的山谷中沉睡：此地围绕你而建 Fell asleep in a Valley, aeons Ago: This place was built around you
28	从泥泞中捞起一块古老石板：擦拭它时，你被传送了 Fished up an Ancient Tablet, covered in Mud: Wiping it away tranported you
29	曾短暂被囚，你抓住机会成功逃脱 Fleetingly Held Prisoner, you saw your Chance for Escape and took it
30	跟随一张诡异匹配至今所有绘制地图的路线图 Following a Map that eerily matches any made up to this point
31	或许愚蠢地，你忽视了雇佣向导的建议 Foolishly perhaps, you Disregarded the Advice to Hire a Guide
32	不祥的浓雾突然袭来，你在此地找到了方向 Foreboding Fog rolled in out of nowhere, found your bearings here
33	发现了队伍中某位成员的家传宝物 Found a Family Heirloom of a Member of the Party
34	已故家族成员的幽灵指引你来到此处 Ghost of a Deceased Family Member bade you Follow them Here
35	逐渐说服俘虏者你可以被信任：现在机会来了！ Gradually convinced Captors you could be Trusted: Now's your Chance!
36	跟随一条突然变得稀缺的面包屑指引 Guided by a Trail of Breadcrumbs that suddenly grows scarce
37	按照他们的遗愿撒下骨灰，你的誓言得以完成 Having scattered Their Ashes as they Requested, your Vow is fulfilled
38	曾受吸血鬼控制，某位勇敢的猎魔人将你解救 Held under a Vampire's sway, somewhere a brave Slayer freed you
39	希望为地方治安官向一位团队成员送达传票 Hoping to Serve a Summons to a Party Member for the Local Magistrate
40	在那枚戒指附近采集真菌，怎会遭遇如此可怕的变故？ How could Foraging for Fungi near that Ring take such a terrible Turn?
41	极度饥饿或口渴会驱使人做出冲动之举 Hunger/Thirst of sufficient severity can drive a person to do Impulsive things
42	追捕曾伤害你的人将你引至此处 Hunting someone who Wronged You has led you Here
43	不屈壮举被幽灵之触吸走：一切回到原点 Indomitable Deeds siphoned away by a Spectre's Touch: Back to Square One
44	需要一次异常执着的朝圣才能找到自己来到这里 It takes an awfully pertinacious Pilgrimage to find oneself here
45	只是一场特别强烈魔法事故的旁观者 Just a Bystander to a particularly potent Magical Mishap
46	被这些生物绑架，但刚刚成功实施了一次大胆逃脱 Kidnapped by these Creatures, but just affected a Daring Escape
47	拉米娅对你的掌控随着她的死亡而瓦解 Lamia's Hold on you Shattered with her Death
48	你最后记得的是将一枚铜币抛入井中 Last thing you Recall was tossing a Copper Coin into a Well
49	安息亡魂，终结其作祟之途 Laying the Remains of a Ghost to Rest to end their Haunting Streak
50	作为贡品被蒙眼带至此地：远古协议的一部分 Led here Blindfolded as Tribute: Part of an Agreement made in Ages Past
51	走失且深受喜爱的宠物，最后一次出现在附近 Lost and well-loved Pet, last seen in the Vicinity
52	复仇之欲常导致鲁莽决策 Lust for Vengeance often makes for Rash Decisions
53	诡异的魔法蛛网似乎让你在这里陷入了多年的停滞状态 Macabre Magical Webs seemed to have kept you in Stasis here for Years
54	队伍中的一员曾目睹了一起影响你的犯罪事件 Member of the Party was Eyewitness to a Crime that affected you
55	今后在摆弄那些发霉的古籍前，可能会三思而后行 Might think twice before meddling with Fusty Old Tomes in the Future
56	被怪物误认为某种救世主，但这一伪装已逐渐失效 Mistaken for some kind of Savior by Monsters, but the Charade has worn thin
