1d20	POI-沙漠
1	一次执着的朝圣之旅 A Pertinacious Pilgrimage
2	骆驼集市 The Camel Market
3	新徒之地 The Neophytes
4	被放逐者之地 The Banished
5	一片死寂的湖泊 A Dead Lake
6	坚毅之石 The Stoic Stones
7	玄武岩平原 The Basalt Plain
8	一辆被遗弃的马车 An Abandoned Wagon
9	隐士的退隐之所 The Anchorite's Retreat
10	巫妖王座 The Lich Seat
11	饥饿之沙 The Hungry Sands
12	角之泰坦 The Horned Titan
13	一片绿洲 An Oasis
14	天葬场 Sky Burial
15	沙舟 Sandships
16	多葬地 The Polyandrium
17	突如其来的沙尘暴 Sudden Sandstorm
18	亡灵之城 Necropolis
19	幻影之境 The Mirage
20	自我主宰者 She Who Rules Herself
