1d100	特征-酒馆
1	这家酒馆要求所有客人戴上面具，是个略显阴暗但又不失雅致的地方。许多顾客是寻求刺激的城市精英，但价格适中，使得工薪阶层也能融入其中。 This tavern requires all guests to wear masks. It is a somewhat shady, but otherwise classy place . Much of the clientele is the city elite looking for excitement, but the prices allow a working class crowd for them to blend in with.
2	这家酒馆堪称上流社会的典范。他们不允许任何未穿合适贵族服饰的人进入，尤其是那些肮脏的冒险者。一旦入内，所有的沙发和座椅都是用最上等的天鹅绒制成。他们出售的葡萄酒和菜肴无可挑剔，但价格极其昂贵。 This tavern is the very definition of upper class. They won't let anyone inside that isn't wearing the appropriate noble clothing, ESPECIALLY not dirty adventurers. Once inside, all of the couches and seats are made with the finest velvet. The wines and dishes they have for sale are immaculate but incredibly expensive.
3	酒馆地板上交错着齐膝高的平台，方便半身人侍者倒酒和清理桌面。不过对于高个子来说容易绊倒，所以请小心脚下。 Knee high platforms crisscross the tavern floor so that the Halfling servers can easily fill mugs and clear tables. It does make for a tripping hazard for tall folk, so watch your step.
4	这家酒馆的公共区域设有开放式房间引入阳光，并拥有一个郁郁葱葱的花园，里面种满了来自该地区精心打理的美丽植物。 The common area in this tavern has an open room to let sunlight in and a lush garden filled with beautifully tended plants from all around the region.
5	这家酒馆的天花板被绘成夜空的模样，嵌入了微小的巫光颗粒，让“星辰”闪烁着迷人的光芒。 The ceiling of this tavern is painted to look like the night sky. Small motes of witch light are embedded into the ceiling, giving the 'stars' a shimmering look to them.
6	酒吧由一位女术士及其学徒经营。隐形仆从在桌间传递订单，而学徒们则照料着装有魔法增强酒液的酒桶。若使用正确的钥匙和仪式，酒馆中的许多门和通道可用作传送门。 The bar is managed by a sorceress and her apprentices. Unseen servants carry orders between tables while the apprentices tend to the kegs of magically enhanced brew. Many of the doors and passageways of the tavern may be used as portals if the proper keys and rituals are performed.
7	这家酒馆有一项名为“魔药畅饮”的挑战。每周结束时，酒馆老板在清理时在酒吧周围找到的所有散落和遗失的药剂都会被倒入一小桶麦酒中。挑战在于喝下一整品脱这种魔法麦酒。饮用麦酒会导致各种随机效果：从你的头发全部脱落，到背上长出巨大的蝙蝠翅膀。 This tavern has a challenge called the 'Potion Chug'. At the end of the week, all of the loose and lost potions that the tavernkeeper finds around the bar during clean up is all poured into a small barrel of ale. The challenge is to drink a whole pint of the magical ale. Drinking the ale causes all sorts of random effects: anything from all your hair falling out to growing large bat wings on your back.
8	这家酒馆收集了人们战死时所戴的头盔。吧台周围陈列着数十顶凹陷、裂开和生锈的头盔。 This tavern collects helmets that people have been killed in. Around the bar, there are dozens and dozens of dented, split, and rusted helmets.
9	这家酒吧以其烈酒闻名。偶尔会有醉醺醺的狂欢者进来要求喝“锤子酿”，这种酒必定会让他们昏迷1d4小时。锤子酿价格极其昂贵，女服务员要求提前付款，包括小费！ The bar is known for its strong drinks. Occasionally, a drunken reveler will come in demanding 'hammerbrew', which will invariably knock them out for 1d4 hours. Hammerbrew is incredibly expensive and the barmaid demands to be paid in advance, including tip!
10	客栈角落里矗立着一座用木头精雕细琢的精灵雕像。岁月在雕像上积满了灰尘，但卓越的工艺依然清晰可见。店主回忆说，在一个风雨交加的夜晚，他正在关窗时，发现这座雕像躺在客栈附近的灌木丛中。他无从知晓雕像的来历，也不知道它究竟代表着谁。 In the corner of the inn lies an extraordinarily carved statue of an elf made from wood. The statue has collected dust over the years, but the incredible craftsmanship is apparent. The tavernkeeper says that one stormy night, he was closing the windows and noticed the statue lying in the brush near the tavern. He has no idea where it came from, or who the statue is representing.
11	酒馆老板是个鬼鬼祟祟的老矮人，总是东张西望，扫视整个房间。偶尔有人看见他一边擦拭吧台，一边对着吧台说话。每当壁炉里的火快要熄灭时，他会用手抚过壁炉架，低声安慰它，随后整栋建筑会颤抖、吱嘎作响，仿佛在挣扎，最后发出一声呻吟般的呼气，火焰便重新燃起。有人认为这酒馆本身是活的。 The proprietor of the tavern is a shifty old dwarf, always looking over his shoulder and scanning the room. Occasionally he is spotted speaking to the bar itself as he wipes down the counter top. Whenever the fire in the hearth is dying, he runs his hand over the mantle, whispers to it in a comforting manner before the entire building shudders, creaks, strains, before letting out a groaning exhale and the fire is revitalized. Some believe the tavern itself is living.
12	这家颇为昂贵的高档酒馆供应数十种传统陶炉菜肴。所有菜品均由陶土魔像酒保亲手制作，直接从其胸内嵌入的炉灶中取出。 This rather expensive, high-end tavern serves dozens of traditional clay oven dishes. All of these are hand-made by the clay golem bartender, straight from the oven embedded in their chest.
13	这家酒馆招募邪教徒。店主是黑暗邪教中的高级成员，酒馆的功能是吸纳新成员。店主依靠魔法和敏锐的洞察力，识别出那些容易被组织教化的顾客。若受到威胁，店主会拉响绳索，敲响警钟召唤援兵。 This tavern inducts cultists. The owner of this tavern is a high-ranking officer within a dark cult, and the function of this tavern is to recruit new members. The owner relies on both magic and keen insight to identify customers with the right predisposition to be indoctrinated in the organization. If threatened, the owner will pull a rope, ringing a bell that will summon reinforcements.
14	酒馆已对神经兮兮的冒险者忍无可忍。所有木制装饰都被烧成焦黑，一块大招牌警示任何魔法使用将导致被该地区所有场所封禁。人们常因看似使用魔法而被赶出，即便他们并未施法。 The tavern has had enough of twitchy adventurers. All wood fittings have been burned to a blackened tone, and a large sign suggests any magic usage will lead to a ban from all establishments in the area. People are often thrown out for appearing to use magic, even if they aren’t.
15	这家酒馆天花板高耸，悬挂着一尊粗糙雕刻的真人大小的美人鱼雕像，位于吧台上方。这位几乎全裸的女性身上装饰着超过二十只因未付账单而被砍下的焦黑干瘪的顾客之手。 This tavern has a high ceiling adorned with a crudely carved life-sized mermaid suspended over the bar. This nearly nude woman is adorned with more than a score of blackened and shriveled severed hands of patrons who did not pay their bills.
16	这家酒馆是一个危险团伙的聚集地。当地人都避而远之，但旅行者有时会误入其中。里面的恶棍们正默默评估着队伍的自卫能力。 This tavern is the hangout of a dangerous gang. The locals all stay away, but travelers sometimes blunder in by mistake. The ruffians inside are silently estimating the party’s ability to defend itself.
17	酒保和服务女郎们都在左肩上披着鲜艳的绿金色花卉肩带，斜跨至右髋系紧。几位佩戴类似肩带的顾客可免费饮酒。 The Bartender and serving girls all wear bright green and gold floral sashes over their left shoulders, draped across and tied at the right hip. A few patrons wearing similar sashes drink for free.
