1d100	祭坛
1	动物骨头，覆盖着泥土，小心翼翼地堆成金字塔形 Animal Bones, covered with Soil/Earth gingerly Stacked in a Pyramid
2	从一根坚固的杖上剥下的树皮，支撑着一个粗糙剥下的熊头骨 Bark Peeled from a sturdy Stave, supporting a crudely flensed Bear Skull
3	破损染污的缎子遮挡下的幼神浮雕 Bas-Relief of a Child God shielded with Frayed and Stained Satin
4	海滩漂白的甲壳类外壳：仅剩左钳 Beach-bleached Crustacean Shells: only Left Claws
5	烧黑的金属配件揭示此处曾有许多书籍被焚毁 Blackened Metal Fittings reveal that many Books were burnt here
6	失去尖端的刀刃，浸入焦油以直立 Blades bereft of their Points, dipped in Tar to stand upright
7	血迹斑斑的书架，由带刺的木材制成 Bloodstained Bookstand, wrought from Thorny Wood
8	狮身女面，微笑的脸庞，巧妙地用粉笔画在直立的门上 Body of Lion, Woman's Smiling Face, artfully Chalked on Upright Door
9	一条巨大的鳗鱼或蛇的骨骼，被粘合在一起 Bones of what must have been a very Large Eel/Snake, glued together
10	巨石，精心雕刻着神圣符号和怒视的面孔 Boulder, painstakingly Carved with Holy Symbols and Scowling Faces
11	一碗黑眼豆，浸泡在邪水中软化 Bowl of Black-Eyed Beans, softening in Unholy Water
12	充满鲜血，野猪头下摆放着几个锈迹斑斑的碗 Brimming with Blood, several Tarnished Bowls beneath a Boar's Head
13	脆弱的蝙蝠骨骼，排列成复杂曼荼罗的形状 Brittle Bat Bones, arranged in the Shape of an Intricate Mandala
14	六根断裂的长矛杆悬挂成星形 Broken Spear Hafts (Six) hung to form a Star Shape
15	鼓胀的腰包（装满小石子）高高地堆在桶上 Bulging Beltpouches (full of pebbles) staked high on a Barrel
16	石墙上伸出看似由铁铸成的牛角 Bull Horns, seemingly cast from Iron, protrude from Stone Walls
17	烧毁得毫无价值：破碎的獠牙或牙齿排列并装饰成一个圆圈 Burnt beyond any Value: Shattered Tusks/Teeth form and adorn a Circle
18	未点燃的蜡烛因年代久远而碎裂，置于相配的壁龛中 Candles crumbling with age unburnt, within Matching Alcoves
19	精心雕刻的鳞片装饰着石质方尖碑，上面涂抹着黑色泥浆 Carefully carved Scales decorate a Stone Obelisk, smeared with Black Mud
20	铸铁双头蛇，被不化冰包裹 Cast Iron Two-Headed Serpent, encased in Unmelting Ice
21	烧焦的龟甲碎片，每片上都刻有神秘符文 Charred Scutes from Tortoises, each with a cryptic Rune
22	破损的雕像，肩膀上笨拙地添加了一个丑陋的黏土第二头颅 Chipped Statue, with an Ugly Clay Second Head clumsily Added to Shoulder
23	粘土瓦片，每片都印有狗爪印，精心镶嵌排列 Clay Tiles, each stamped with Prints of a Dog Paw, carefully Tessellated
24	粗制滥造的鸟屋，空无一物，用绳子悬挂着 Clumsily Built Bird Houses, Vacant to a One dangling from Ropes
25	一尘不染，精心维护却显古旧的圣物柜 Completely free of Dust, dutifully Maintained yet Timeworn Reliquary
26	铜绿斑驳，一口无铰链/无法开启的大箱子 Copper Greening, a Large Coffer with no hinges/way to Open
27	粗陋的眨眼男子肖像，底部散落着弯曲的铜币 Crude Portrait of Winking Man, bent Copper Coins at base
