1d20	POI-山地
1	探矿者的小屋 The Prospector's Shack
2	打哈欠的裂谷 The Yawning Ravine
3	一个巨大的巢穴 An Enormous Nest
4	呻吟冰川 The Groaning Glacier
5	死木陷阱 Deadfall
6	一处高山休憩之地 An Alpine Resting Place
7	一处绝佳的露营地点 A Peerless Place To Camp
8	不情愿之路 The Reluctant Route
9	石化巨像 The Petrified Colossus
10	雪地上的血迹 Blood On The Snow
11	荒芜裂口 The Barren Breach
12	水晶峭壁 The Crystalline Crags
13	一处宁静的山间小湖 A Tranquil Tarn
14	荒脊山匪帮 The Bleakridge Bandits
15	倾覆的神庙 The Toppled Temple
16	原地矗立的独眼巨人骨架 Cyclopean Skeleton in situ
17	牧羊人 The Goatherd
18	彩绘岩画 The Painted Petroglyphs
19	雪崩！ Avalanche!
20	请愿者 The Petitioner
