1d100	WWN Court Tags
1-2	Affliction's Mark
3-4	Ancestral Obligation
5-6	Awesome Legitimacy
7-8	Awkward Birth
9-10	Blandished Leadership
11-12	Cadet Branches
13-14	Capricious Orders
15-16	Cultural Insignia
17-18	Daring Ambition
19-20	Dark Secret
21-22	Decadent Court
23-24	Devil's Bargain
25-26	Diplomatic Demands
27-28	Disputed Inheritance
29-30	Excess Heirs
31-32	False Prize
33-34	Fatal Extravagance
35-36	Forbidden Romance
37-38	Foreign Ties
39-40	Gate Keeper
41-42	Hidden Blight
43-44	Hopeless Rival
45-46	Impure Blood
47-48	Inadequate Tools
49-50	Inept Ruler
51-52	Iron Law
53-54	Lost Purpose
55-56	Magical Subversion
57-58	Ministerial Capture
59-60	New Generation
61-62	New Opportunity
63-64	Outside Debts
65-66	Overextended Grasp
67-68	Poisonous Cliques
69-70	Priestly Influence
71-72	Proxy Speaker
73-74	Rampant Corruption
75-76	Recent Brutality
77-78	Regency Council
79-80	Restive Lessers
81-82	Rival Dreams
83-84	Rival Power
85-86	Ruling Regalia
87-88	Runaway Rule
89-90	Shining Successor
91-92	Splendid Seat
93-94	Sublime Skill
95-96	Sudden Strength
97-98	Threatened Violence
99-100	Waning Wealth
