1d100	Wilderness Tags
1-2	Abandoned Village
3-4	Ancient Guardians
5-6	Ancient Monument
7-8	Arratu Land
9-10	Bandit Lair
11-12	Beast Swarm
13-14	Blighted Tribe
15-16	Broken Infrastructure
17-18	Chokepoint
19-20	Collapsed Deep
21-22	Criminal Meet
23-24	Cryptic Art
25-26	Cursed Land
27-28	Decayed Working
29-30	Demihuman Community
31-32	Devil Grove
33-34	Disused Mine
35-36	Healing Terrain
37-38	Hermitage
39-40	Historical Survival
41-42	Isolated Academy
43-44	Labyrinthine Tangle
45-46	Lost Battlefield
47-48	Lost City
49-50	Magical Springs
51-52	Migration Path
53-54	Military Outpost
55-56	Monstrous Beast
57-58	Motherlode
59-60	Nomad Camp
61-62	Outsider Enclave
63-64	Overgrown Tomb
65-66	Perilous Path
67-68	Pilgrimage Site
69-70	Precious Game
71-72	Rampant Experiment
73-74	Refugee Camp
75-76	Remnant Road
77-78	Remote Monastery
79-80	Ruined Fortification
81-82	Savage Hamlet
83-84	Sculpted Terrain
85-86	Seductive Peril
87-88	Taboo Territory
89-90	Toxic Ruins
91-92	Treacherous Terrain
93-94	Twisted Fauna
95-96	Uncanny Weather
97-98	Working Wreckage
99-100	Zealot Colony
