1d100	如何开启秘门
1	将宝石放入雕刻的恶魔口中后 after a gem is placed in the mouth of an imp carving
2	在大量涂抹油润滑后 after copious lubrication with oil
3	将手放在沾有灰烬的手印上后 after placing one's hand on an ash-smeared handprint
4	作为便利的锣声仍在回荡 as a convenient gong still reverberates
5	只要附近磨损的绳子上悬挂至少100磅重物 as long as at least 100lbs is hanging from nearby frayed rope
6	只要有人在附近睡觉 as long as someone sleeps nearby
7	至少需要一打汗滴 at least a dozen drops of sweat
8	用银和金平衡一架情绪化的黄铜天平 balancing a temperamental brass scale with silver and gold
9	挡住来自上方格栅的微风 blocking a breeze from a grate above
10	对雕刻的点燃蜡烛吹气 blowing on a carving of a lit candle
11	吹出的烟圈会在空置的装置上形成一个环形把手 blown smoke-rings will form a ring-handle on the empty fixture
12	贿赂一只老鼠去跑动驱动它的轮子 bribing a mouse to run in the wheel that powers it
13	烧穿一个华丽的麻绳结 burning through an ornate hempen knot
14	用羽毛仔细在其周围轻抚 carefully run a feather around it
15	在附近壁架上撒下一把石子 casting a handful of pebbles on a nearby ledge
16	刮去干涸的泥块 chip away dried mud
17	在附近表面涂上一层水 coating a nearby surface with water
18	自信地敲击三次 confidently knocking three times
19	方便的铁链和巨大的力量以抬起沉重的铁板 convenient chains and great strength to lift a heavy iron slab
20	按下雕刻海景画中一个彩绘贝壳 depressing the one painted shell on a carved seascape
21	在地板上用木炭画一个圆圈 drawing a circle in charcoal on the floor
22	沿着雕刻的迷宫般沟槽滴下水流 dribbling water down carved mazelike route of runnels
23	从墙上锁链拴着的头骨中饮水 drinking out of a skull chained to the wall
24	在小壁龛的祭品上滴下熔化的铅 dripping molten lead on a votive in a small alcove
25	将加热的石头投入相邻的水池中 dropping heated stones into an adjacent font of water
26	醉汉也能轻易发现 easily, by the inebriated
27	唤起一次小型的魔法展示 evoke a minor demonstration of magic
28	熄灭燃烧的火盆 extinguishing a flaming brazier
29	将部分空置的书架填满书籍 fill a partially empty bookshelf with books
30	将三个罐子直立放置在壁龛中 filling three jugs set upright in niches
31	一把沙子，吹向表面 fist full of sand, blown on the surface
32	将石制小雕像嵌入形状相似的壁龛中 fitting a stone figurine into a similarly shaped niche
