"1d200"	"无害地城生物"
1	"阿赫内利德——刺穿者的小型近亲，形似闪亮的鹅卵石或矿物露头。仅对老鼠和小型蜥蜴构成威胁。 Achnelithid - A tiny cousin of the Piercer, resembles a shiny pebble or mineral outcrop. Dangerous only to mice and small lizards."
2	"闪亮虫 - 这种硬币大小的甲虫状土元素以矿物质为食，这些矿物质在其外壳上被压缩成微小宝石，在某些幽暗地域社区中被用作货币。 Glitterbug - This coin-sized beetle-like Earth elemental feeds on minerals that are compressed into tiny gems on it's shell - used as a currency in some Underdark communities."
3	"绒毛虫 - 在地球上最寒冷的地方，可以发现这种白色蓬松的毛毛虫，名为绒毛虫。它们被体温吸引，但拥有足够的智力和少量心灵能力，以避开可能反感它们存在的人。这些无害的蓬松生物通过缠绕在沉睡的冒险者身上，拯救了许多生命。 Fuzzworm - In the coldest places on the planet, the white, fluffy caterpiller known as the Fuzzworm can be found. Attracted to body heat but with enough intelligence and a small amount of psychic ability so as to avoid those that might resent their presence, these benign, fluffy creatures have saved many lives by wrapping themselves around sleeping adventurers."
4	"垃圾拟怪 - 经典拟怪的非捕食版本，伪装成没人想要的东西——生锈的武器、发霉的画作、破碎的箱子。它们仍常被意外互动，少有冒险者在攻击前停下来检查区别。 Trash Mimic - A non-predatory version of the classic Mimic, disguises itself as things nobody would want - rusty weapons, mouldy paintings, shattered chests. They still get interacted with surprisingly often and it's a rare adventurer that stops to check the difference before attacking."
5	"盒子小怪——一种小型长方形盒子状的黑色生物，拥有上千只小脚，移动时仿佛在轮子上滑行或漂浮。它会发出轻微的哔哔声和吱吱声。无人知晓它们如何繁殖或其功能为何，但它们确实存在于此。 Box Critter - A smallish rectangle box shaped black creature that has a thousand little feet so when it moves it seems as if it is on wheels or floating. It makes small beeps and squeaks. No one actually knows how they reproduce nor what their function is, yet here they are."
6	"蟾菇怪 - 它看起来像一株及膝高的蘑菇，菌盖可能是蓝色、红色、绿色、黄色或紫色，但斑点总是白色的，实际上它是一个半感知生物。栖居洞穴。当暴露于火焰或星光下时，它有时会从地下钻出并长出一双脚。否则，它会在孢子落地生根的地方度过一生。它有两条手臂，能够使用武器，但通常用拳头和孢子自卫。 Toadoid - It looks like a knee-high mushroom which cap can be all blue, red, green, yellow, purple, yet the dots are always white, but it is actually a half sentient being. Cave dwelling. When exposed to fire or starlight it sometimes comes up out of the ground and sprouts a pair of feet. Otherwise it will simply live out its life in the spot the spores landed that spawned it. It has two arms and is able to wield weapons, but normally uses fists and spores to defend itself."
7	"云族——发现于气元素位面，这些元素生物基本上看起来像小团蓬松的云朵。它们是友好且情感丰富的生物，不介意载着外来者飞行。能够施放“阵风”法术，但年长的云族能施展更强大的与天空天气相关的法术。 Cloud Folk - Found in the Plane of Air, these elementals basically look like little puff clouds. They are friendly and emotionally driven creatures that don't mind giving rides to outsiders. Can cast Gust of Wind, but elder Cloud Folk are capable of much stronger sky weather related spells."
8	"甜鱼——微小的盲鱼，闪烁着蓝绿色的荧光。它们只生活在新鲜、未受污染的水中。若你看到它们那令人安心的光芒，便知这池水或小溪可以安全饮用。 Sweetfish - Tiny blind fish that glitter with blue-green luminescence. They only live in fresh, uncontaminated water. If you see their reassuring glow, you know that the pool or rivulet is safe to drink."
9	"特鲁布尔 - 色彩鲜艳的小毛球。它们以植物和地城碎屑为食。作为一种防御机制，它们会发出一种大多数类人生物觉得悦耳的“噗噜-唧唧”声。如果从掠食者众多的地下环境中移出，它们指数级的繁殖速度可能会带来麻烦。 Trubble - Small balls of brightly colored fur. They eat vegetable matter and dungeon detritus. As a defence mechanism they make a puur-chirp sound that most humanoids find pleasing. If removed from the predator-rich underworld environment, their exponential breeding rate may cause trouble."
