1d100	Treasure-Lvl1
1	250GP
2	100 SP
3	1,000 CP
4	600 SP
5	1 Potion of Delusion
6	500CP
7	3 - 100 GP Gems
8	1,000 SP
9	700 SP
10	300GP
11	200 SP
12	600 SP
13	550 EP
14	200CP
15	1 Jewelry,- 700 CP
16	500CP
17	110 PP
18	50 PP
19	100 CP
20	1 Jewelry - 1,300 CP
21	100 SP
22	800CP
23	300 GP
24	700CP
25	800 EP
26	Scroll of 1 Spell, Protection from evil
27	900CP
28	300 SP
29	1,100 SP
30	400 EP
31	250GP
32	900CP
33	350 EP
34	100 CP
35	200CP
36	600 SP
37	1 Jewelry - 1,400 GP
38	70 PP
39	300 EP
40	1OOCP
41	Leather Armor +1
42	100 SP
43	900 SP
44	1OoSP
45	800CP
46	600CP
47	300GP
48	750 EP
49	1 Levitation Potion
50	400 SP
51	1,000 CP
52	400 SP
53	2 - 50 GP Gems
54	30 PP
55	600 SP
56	100 SP
57	300GP
58	150 GP
59	3 magic Arrows +1
60	200 CP
61	1 - 100 GP Gem
62	1,100 CP
63	700 SP
64	150 EP
65	800CP
66	450GP
67	300 GP
68	400CP
69	80 PP
70	350 EP
71	900CP
72	400 GP
73	700 EP
74	700 SP
75	350 EP
76	Scroll of 1 Spell, Fireball
77	200 SP
78	11OOSP
79	90 PP
80	1,200 CP
81	500SP
82	60 PP
83	3 - 100 CP Gems
84	100 SP
85	500 EP
86	1,200 CP
87	900 SP
88	100 CP
89	800 SP
90	Dagger +1
91	900CP
92	700CP
93	200 GP
94	500 CP
95	700 SP
96	900 SP
97	700 SP
98	1 Potion of Invisibility
99	1,100 CP
100	300CP
