1d100	Treasure-lvl2
1	1,100 CP
2	2,200 SP
3	1,900 CP
4	Sword -1, Cursed
5	1 Jewelry - 1,300 GP
6	500 CP
7	3 - 100 GP Gems
8	1,000 SP
9	700SP
10	300 GP
11	200 SP
12	600SP
13	550 EP
14	200 CP
15	1 jewelry - 700 GP
16	500 CP
17	110 PP
18	50 PP
19	1OOCP
20	1 Jewelry - 1,300 GP
21	100 SP
22	800CP
23	300GP
24	700CP
25	800 EP
26	900 CP
27	Scroll of Protection from Lycanthropes
28	300 SP
29	1,100 SP
30	1,200 CP
31	250 PP
32	1,800 CP
33	1,500 SP
34	2,100 CP
35	Ring of Fire Resistance
36	5 - 100 GP Gems
37	1,100 SP
38	450 GP
39	1,800 SP
40	Scroll of 3 Spells, lnfra-vision, Fly, Polymorph Self
41	Spear + 3
42	1,050 EP
43	1 jewelry - 1,300 GP
44	Potion of Animal Control
45	1,500 CP
46	850 EP
47	1,900 SP
48	1,050 EP
49	200 PP
50	2 Jewelry - 800 GP, 1,100 GP
51	Potion of Flying
52	1,400 SP
53	1,050 E P
54	1 Jewelry - 1,500 GP
55	7 - 100 GP Gems
56	450 GP
57	1,800 SP
58	950 EP
59	150 PP
60	2,000 SP
61	1,200 CP
62	1,150 EP
63	650GP
64	700 GP
65	450 GP
66	150 PP
67	950 EP
68	1,050 EP
69	1,600 CP
70	250 PP
71	450 GP
72	1,200 EP
73	800 EP
74	1,900 SP
75	200 PP
76	2,100 CP
77	650GP
78	1,300 SP
79	2,200 CP
80	200 PP
81	Sword, + 1 / + 3 vs. Trolls, Neutral
82	1,100 CP
83	450 GP
84	1,500 CP
85	150 PP
86	1,200 SP
87	500CP
88	1,100 SP
89	200 SP
90	8 - 50 GP Gems
91	1,700 SP
92	600GP
93	3 Jewelry - 600 GP, 1,300 GP, 1,400 GP
94	150 PP
95	Scroll of Protection from Undead
96	300GP
97	2,100 CP
98	250 PP
99	5 - 100 GP Gems
100	1,500 SP
