1d20	混沌之潮-深渊
1	肥硕、银色的蝌蚪，形似精子，从你的泪腺中挤出，若在水中放置三周，它们将成熟为四肢修长、半透明、乳白色且无眼的蛙类。蛙的舌头懒洋洋地从口中渗出后又缩回，其叫声如咕噜声，你从未见其进食。舔舐此蛙为强力催情剂。10%的几率效果永久持续。 Fat, silvery tadpoles that look more like sperm squeeze out of your tear ducts, if kept in water for 3 weeks they will mature into long-limbed vaguely translucent milky frogs without eyes. The frog's tongue oozes lazily from its mouth before being drawn back in, its croak is a gurgle, you never see it feed. Licking the frog is a powerful aphrodisiac. 10% chance the effects are permanent.
2	施法者周围30英尺范围内会突然长出亮蓝色的蘑菇。需通过敏捷检定才能在其中移动。若踩碎蘑菇，它会发出如同电锯砍树般的尖叫声。若未能通过毒素豁免，蘑菇喷出的孢子会让你跪地，疯狂地将破碎的蘑菇塞入口中。一周后，你的身体某处会在一夜之间长出一簇蘑菇。这些蘑菇会在一天后自行腐烂，在皮肤上留下蓝色痕迹，否则它们会再次喷出孢子，重复这一过程。 Bright blue mushrooms sprout within a 30' radius from the caster. Roll under Dexterity to move amongst them. If you break one it screams the way you imagine a tree screams while being cut down with a chainsaw. Save vs. Poison or the spores it sprays into the air drive you to fall to your knees and shovel the ruined mushroom into your mouth. In a week a crop of mushrooms will grow from a random place on your body overnight. They'll decay on their own after a day, leaving a blue stain on your skin, otherwise they spray spores into the air, repeat.
3	在接下来的d4轮中，施法者的每个孔洞都会涌出厚厚的、一英寸长的深红色蛆虫，它们掉落时爆裂并融化。 Thick, inch long crimson maggots pour from the caster's every orifice for the next d4 rounds, popping and melting as they fall.
4	几何轮廓在你皮肤下隆起，扭曲摩擦，如同拼图般疯狂试图自我解决。但愿它不会，但有1%的几率它会成功。 Geometric outlines raise beneath your skin and twist and grind against each other like a puzzle desperately trying to solve itself. Hope it doesn't, 1% chance it does.
5	动物魅惑。接下来的d6小时内，任何嗅到你气味的动物都会对你产生爱慕之情。由裁判决定何种生物算作动物。当信息素效果消退时，它们会感到失落，可能因你不再散发迷人气息而对你不满。 Animal magnetism. For the next d6 hours any animal that catches your scent becomes amorously infatuated with you. Referee discretion on what counts as an animal. When the pheromones wear off it will be like coming down for them, they may not be too happy with you for not smelling as good.
6	一个至少具有人类智力的随机目标（包括施法者）会跪倒在地，双手紧捂耳朵，发出超越听觉的尖叫声，同时眼中闪烁着难以理解的光芒，直到他们通过对抗毒素的豁免检定。有10%的几率他们的智慧值增加1点。 A random target of at least human intelligence (including the caster) falls to their knees and clasps their hands over their ears, screaming in a pitch beyond hearing while incomprehensible light shines from their eyes until they save vs. Poison. 10% chance their Wisdom increases by 1.
7	双眼涌出鲜血，使你失明d4回合。你感觉如果在施法前双手沾满鲜血，就能得到保护。实际上，无论怎样鲜血都会从眼中涌出，但你能透过鲜血视物。透过鲜血本身看见一切。 Blood pours from your eyes, blinding you for d4 turns. You feel that if your hands were covered in blood before casting the spell you would be protected. In reality the blood will pour from your eyes either way, but you'll be able to see through it. See through the blood itself.
8	你的指甲向后翻卷并从指尖撕裂。新的指甲似乎在原处结晶，但在其硬化期间，接下来的d2小时内进行任何体力检定均需承受-1减值。 Your fingernails roll back and tear from your fingertips. New ones seem to be crystallising in their place, but take -1 to any physical rolls for the next d2 hours while they harden.
9	在你的皮肤上随机d4个位置爆发出厚厚的黄色水泡。其中的脓液恰好高度易燃。 Thick yellow blisters erupt in d4 random locations on your flesh. The pus inside happens to be highly flammable.
