1d20	身体部位
1	生殖器 Genitalia
2	胸部：1-3左侧，4-6右侧 Chest: 1-3 left side 4-6 right side
3	头皮 Scalp
4	1-3左侧，4-6右侧：1. 手 2. 前臂 3. 肘部 4. 二头肌 5. 三头肌 6. 腋下 1-3 left, 4-6 right: 1. Hand 2. Forearm 3. Elbow 4. Bicep 5. Tricep 6. Underarm
5	肚脐眼 Belly button
6	在你的臀部之间 Between your buttcheeks
7	脊柱发痒 Spine
8	1. 左上背部 2. 右上背部 3. 左下背部 4. 右下背部 1. Left upper back 2. Right upper back 3. Left lower back 4. Right lower back
9	腹部发痒 Abdomen
10	肾脏：1-3左肾，4-6右肾 Kidneys: 1-3 left, 4-6 right
11	腹股沟 Groin
12	1-3左，4-6右：1. 脚 2. 小腿 3. 腿肚 4. 膝盖 5. 大腿 6. 臀部 1-3 left, 4-6 right: 1. Foot 2. Shin 3. Calf 4. Knee 5. Thigh 6. Hip
13	乳头 Nipples
14	手指间：1-3指，脚趾间：4-6趾 Webbing between your: 1-3 fingers, 4-6 toes
15	锁骨 Collarbone
16	1. 喉咙 2. 后颈 3. 左侧颈部 4. 右侧颈部 5. 左肩 6. 右肩 1. Throat 2. Back of neck 3. Left side of neck 4. Right side of neck 5. Left shoulder 6. Right shoulder
17	肋骨部位 Ribcage
18	臀部瘙痒位置：1-3左侧，4-6右侧 Buttock: 1-3 left, 4-6 right
19	整条腿后侧都感到痒 All the way up the back of your legs
20	面部：1. 下巴 2. 嘴巴 3. 鼻子 4. 耳朵 5. 眼睛 6. 整个面部 Face: 1. Jaw 2. Mouth 3. Nose 4. Ears 5. Eyes 6. Entire face
