1d100	活动-NPC队伍
1	假装友好，作为诱饵，被吸血鬼/鹰身女妖/树精等魅惑 Acting Friendly, used as Bait, Charmed by a Vampire/Harpy/Dryad/etc.
2	调整一头阴郁驴子的鞍袋 Adjusting the Saddlebags of a dour-looking Donkey
3	为被绿色粘液尖叫的成员点燃火把 Administering a Torch to a Member shrieking from Green Slime
4	让一只“可疑”的猎犬嗅探是否有与其名字相符的东西 Allowing a Hound “Suspicious” to sniff around for anything of their Namesake
5	争论轮到谁负责绘制地图 Arguing over who's turn it is to take on Mapping Duties
6	与熊地精讨价还价，为通行支付出奇合理的贿赂 Bargaining with Bugbears over a surprisingly Reasonable Bribe for Passage
7	用长凳和虚张声势堵住一扇门，同时面对猛烈的敲击 Barricading a Door with Benches and bluster amidst bellicose banging
8	开始怀疑被出卖：他们购买的地图在欺骗他们 Beginning to Suspect a Double-Cross: The Map they Bought is Lying to them
9	烧水泡茶，据说能激发勇气 Boiling a Kettle of Water to make a purportedly Courage-inducing Tea
10	用砖块封住一个洞穴，里面装满了额外的火把/补给 Bricking up a Cavity, now filled with Extra Torches/Supplies
11	用安抚的话语让一位被魔法惊吓的战士平静下来 Calming a Magically Frightened Fighter with soothing Words
12	小心地凿开一扇肿胀门上的腐蚀铰链 Carefully Chiseling corroded Hinges from a swollen Door
13	在击败一个令人窒息的闭合房间陷阱后喘口气 Catching their Breath after defeating a Claustrophobic Closing Room Trap
14	被困在一个奇怪的圆圈（蘑菇？符文？）中，疯狂而疲惫地跳舞 Caught in a Strange Circle (Toadstools? Sigils?) in a Frantic, Exhausting Dance
15	在走廊墙上用粉笔画下苍白的箭头以追踪进度 Chalking a pale Arrow on the Corridor wall to Track Progress
16	凿开美人鱼雕像的石膏，露出下面闪烁的金光 Chipping Plaster off a Mermaid Statue, revealing Glimmer of Gold underneath
17	咔嗒，咔嗒，咔嗒。在深暗中绝望地敲击燧石和钢 Clack, clack, clack. Striking Flint on Steel desperately in the Deep Dark
18	哄劝一个哭泣的盗贼从高处下来 Coaxing a blubbering Footpad down from a High, Very Sheer Perch
19	用湿布捂住口鼻，以防附近的有毒气体 Covering Mouths and Noses with Wet Rags from some Noxious nearby Gas
20	躲在牧师身后，圣徽将一群食尸鬼挡在外面 Cowering behind a Cleric, Holy Symbol holding a gaggle of Ghouls at Bay
21	悬在一张大网中，摸索着匕首和小刀以求脱身 Dangling from a Large Net, fumbling for Daggers and Knives to Free
22	破译一些奇怪颜色液体瓶子上褪色的标签 Deciphering faded Labels on some Vials of Strangely Colored Liquid
23	拼命试图关上门，以阻止咯咯笑的豺狼人 Desperately trying to keep a Door Shut to keep out Cackling Gnolls
