1d100	活动-乳齿象
1	伴随一小群毛犀牛穿越山谷 Accompanying a small herd of Wooly Rhinos across a valley
2	身披剑齿虎攻击留下的骇人皮甲伤痕 Bearing formidable hide-scars from Sabre Tooth Cat attacks
3	正在躺下休息，踩踏出一圈圈的草地 Bedding down to rest, tramping down circles of grass
4	正被无良盗猎者猎取象牙 Being hunted for Ivory by unscrupulous Poachers
5	因新受标枪伤而流血不止 Bleeding from freshly acquired Javelin wounds
6	用它们庞大的身躯阻塞了一条繁忙的道路 Blocking a well-travelled road with their enormous bulk
7	正在低头觅食，寻找贴近地面的灌木丛中的美味叶子 Browsing ground-hugging shrubs for delicious leaves
8	在悬崖边开凿深沟以提取矿物 Carving deep furrows in a cliffside to extract minerals
9	以一声震耳欲聋的吼叫挑战一只紧张的泰坦巨兽 Challenging a nervous Titanothere with a bellowing yell
10	正冲向一群地精猎人 Charging at a group of Hobgoblin Hunters
11	闷闷不乐地咀嚼着无味的荨麻 Chewing sullenly on flavorless Nettles
12	正在倒塌的奇特木质葬台 Collapsing unusual wooden burial platforms
13	在光秃秃的树枝间搜寻最后几片残叶 Combing through barren branches for the last of the leaves
14	冲过一片灌木丛，正逃离某物 Crashing through a stand of shrubs, fleeing from something
15	破坏新筑的墙壁，阻碍迁徙路径 Damaging a newly constructed wall, blocking migration paths
16	正在摧毁一位树精的林地，却唯独放过了她的圣树 Defoliating a Dryad's Grove, but sparing her Tree
17	欣喜地发现了一片苹果树 Delighting in the discovery of some Apple Trees
18	拖着风干的木材，被矮人驭象者驱赶着前行 Dragging seasoned timber, goaded by Dwarf mahouts
19	披挂着共生的苔藓和藻类，宛如一只树懒 Draped with symbiotic mosses and algae, like a sloth
20	正从一处神秘的石头喷泉中深深饮水 Drinking deeply from a mysterious stone font
21	正在优雅地享用一捆捆长叶 Eating artfully bundled clumps of long leaves
22	为了忍受更热的天气，在逐渐缩小的水域中打滚 Enduring warmer weather by wallowing in shrinking waters
23	用它们敏感的象鼻探索一具巨型骨架 Exploring a Giant Skeleton with their sensitive trunk
24	迎着刺骨的北风，低头前行 Facing a bracing northerly wind with heads bowed
25	在溪流岸边拥挤地享用翠绿的植被 Feasting on verdant growth, crowding the banks of a Creek
26	扇动充满血管的耳朵以调节体温 Flapping their vessel-filled ears to thermoregulate
27	挣扎着试图将幼崽从看不见的陷坑中解救出来 Floundering to free a Calf from an unseen sinkhole
28	排成一列涉水过河，惊扰了水鸟 Fording a river in single file, disrupting waterfowl
29	摆弄着一根带叶的树枝，顽皮的小象被严密守护着 Fumbling with a leafy branch, playful Calf guarded closely
30	在一位强大德鲁伊的召唤下聚集 Gathering at the behest of a powerful Druid
31	正在啃咬一堆干燥苦涩的细枝 Gnawing on stacks of dry, bitter twigs
32	用长牙刺穿一只庞大而狂怒的狼人巨兽 Goring a massive, seething Dire Werewolf
33	心满意足地咕哝着，一边在石质露头上来回磨蹭 Grunting contentedly as they rub against a stony outcrop
34	愉快地在干燥的尘土中打滚，以清洁它们的皮囊 Happily rolling about in dry dust to cleanse their hides
