1d100	活动-冰魔螈
1	激怒一只适应寒冷的苍白毛发紫色蠕虫 Agitating a pale haired Purple Worm, adapted to the Cold
2	漫步于冰雪覆盖的碎石地，怒目而视 Ambling across an icy field of rubble, glaring
3	从雪中突袭驯鹿群 Ambushing a herd of Reindeer by rising from the snow
4	闯入强盗营地，扑灭他们的篝火 Barging into a Bandit camp, dousing their Fire
5	在河中沐浴，周围形成冰晶 Bathing in a River, ice crystals forming around them
6	用四条腿猛击一扇石门 Battering at a Stone Door with four of its legs
7	抱怨天气逐渐变暖，易怒 Bemoaning gradually warming weather, irritable
8	咬食一只数月前被杀的冻僵熊地精 Biting into a Frozen Bugbear, slain months ago
9	威吓一群胆小的冰霜巨魔，迫使其听从命令 Bullying a group of timid Ice Trolls to do his bidding
10	钻入寒冷地面以躲避暖风 Burrowing into cold ground to escape a warm wind
11	浑身覆满冰霜，在刺骨寒风中休憩 Caked with frost as they recline in a biting wind
12	在覆盖着白雪的雕像间巧妙地伪装 Camouflaged expertly among snow covered Statues
13	在一块冰上雕刻出可辨认的相似形象 Carving a passable likeness out of a block of Ice
14	以高声嚎叫庆祝击败对手 Celebrating defeat of a rival with load Howls
15	将巢穴内的空气冷却至接近冰点 Chilling the air of their den to near freezing
16	与两只年轻的火焰蝾螈激烈冲突，势均力敌 Clashing with two young Flame Salamanders, evenly matched
17	攀爬冰墙，使用后爪如冰爪一般 Climbing a wall of Ice, using back claws like crampons
18	与霜巨人猎人懊悔地合作 Cooperating ruefully with a Frost Giant Hunter
19	每一步都在地面上留下一层寒霜 Covering the ground with a layer of frost beneath each footfall
20	低沉地呱呱叫，渴望寻找伴侣 Croaking gutturally, pining for a Mate
21	顺着由友善侏儒在冰中凿出的楼梯下行 Descending downstairs hewn from Ice by helpful Gnomes
22	摧毁一只极地枭熊的巢穴 Destroying an Arctic Owlbear nest
23	通过快速吐舌感知风中的猎物 Detecting Prey on the wind with rapid tongue flicks
24	消化着一头麝牛，肚子滑稽地鼓胀着 Digesting a Musk Ox with a comically distended belly
25	在最热的时候栖息在凉爽的谷仓里 Dwelling in a cool Barn during the hottest part of the day
26	将一头驯鹿封入冰中，以备日后食用 Encasing a Caribou in Ice to cache it for later
27	享受刺骨而振奋的暴风雪般寒风 Enjoying a biting and bracing blizzard-like gale
28	将精灵封入一块厚实、半透明的蓝色冰块中 Entombing an Elf in a block of thick, translucent blue Ice
29	正在享用洞穴熊尸体以增肥 Fattening up on a Cave Bear carcass
30	对一枚蓝宝石顶端的权杖谄媚不已 Fawning over a Sapphire tipped Scepter
31	身上沾满最近一场小冲突留下的冻结血迹 Flecked with frozen blood from a recent skirmish
