1d100	活动-地狱犬
1	激怒一只赭色胶质怪 Agitating an Ochre Jelly
2	通过高声吠叫互相警示潜在猎物的存在 Alerting each other of potential prey with loud yelps
3	伏击一只毫无防备的枭熊 Ambushing an unsuspecting Owlbear
4	拱起它们煤黑色的背部，伸懒腰并打哈欠 Arching their coal-black backs as they stretch and yawn
5	被远处嘈杂的金属撞击声惊醒 Awakening at the sound of a distant, noisy clang
6	欺负窝里的弱小幼崽 Badgering a runt in the litter
7	在一堆巨大的篝火上晒太阳 Basking atop a big bonfire
8	发出类似鼓风炉般的嚎叫声 Baying with a sound a bit like a blast furnace
9	折磨一只被烧焦的锈蚀怪 Bedeviling a scorched Rust Monster
10	在吞食巨鼠后，喷吐着灰烬和火星 Belching ash and cinders after eating Giant Rats
11	追逐一群瞬移犬 Bounding after a pack of Blink Dogs
12	以虐待狂般的喜悦焚烧绣花窗帘 Burning embroidered curtains with sadistic glee
13	正在掩埋焦黑的骨头，身上覆盖着链甲熔渣 Burying charred bones, covered in Chain Mail slag
14	谨慎地尾随一个水元素 Cautiously shadowing a Water Elemental
15	正将一只逃跑的枭熊的羽毛烤焦 Charring the feathers from a fleeing Owlbear
16	正在追逐一只扭曲兽作为消遣 Chasing after a Warp Beast for sport
17	彻底焚烧了一只不幸的狗头人 Completely cremating an unlucky Kobolds
18	守护他们闷热的巢穴，抵御任何入侵者 Defending their sweltering Den from any interlopers
19	拖着一只烧焦的熊地精去某个地方安静地享用 Dragging a burnt Bugbear somewhere to eat in peace
20	将烧焦的羊群赶入石栏中 Driving singed Sheep into a stone pen
21	滴落着炽热凝固汽油的粘稠涎液 Drooling viscous trickles of sizzling napalm
22	诡异吠叫，发出奇异的炼狱之声 Eerily yapping with strange, infernal calls
23	围困着一只非常焦虑的巨魔 Encircling a very worried Troll
24	点燃一堆巨大的稻草 Enkindling a huge pile of straw
25	热情地追踪一只老虎 Enthusiastically tracking a Tiger
26	追踪着矮人独特的气味痕迹 Following a Dwarf's distinctive scent trail
27	在自造的火焰中嬉戏玩耍 Frolicking amid flames of their own fabrication
28	正在追逐一只腐尸爬行者 Giving chase to a Carcass Crawler
29	阴影中闪烁着橙色光芒的眼睛露出轻蔑之色 Glowing orange eyes sneer from the shadows
30	正在啃咬一大块褐煤 Gnawing on a large lump of lignite
31	喷吐火焰以向远处的同伴发出信号 Gouting jets of flame to signal to distant packmates
32	像湿木投入火中般咆哮呻吟 Growling and groaning like green wood, tossed on a fire
33	守护着一个巨大的摇篮，里面载着一个火巨人婴儿 Guarding an enormous cradle, carrying a Fire Giant infant
34	正在骚扰一只狮鹫，羽毛被烧焦无法飞行 Harrying a Hippogriff, feathers scorched and unable to fly
35	徘徊于一座废弃的火元素召唤法阵之中 Haunting an abandoned Fire Elemental Summoning circle
36	将整个区域加热至令人不适的程度 Heating the entire area to an uncomfortable level
37	嘲弄一位灵媒，疯狂踩踏着火的法袍 Heckling a Medium, desperately stomping on flaming robes
38	驱赶一群哥布林前往他们的火巨人主人处 Herding a group of Goblins to their Fire Giant master
39	追踪一位拥有冰霜法杖的主人 Hounding the owner of a Magical Staff of Ice
40	在水体边缘哀嚎 Howling mournfully on the edge of a body of water
41	正在猎杀巨型蟾蜍，以制作焦黑炖肉 Hunting Giant Toads for blackened fricassee
42	出于纯粹的恶意，点燃冬季储存的谷物 Igniting a winter store of grain out of sheer malevolence
43	正在焚烧吊桥的绳索 Incinerating the ties suspending a rope bridge
44	肆无忌惮地焚烧旅行者神龛 Irreverently torching a Traveler's Shrine
45	谨慎地嗅闻一位火巨灵伸出的手掌 Judiciously smelling an Efreeti's proffered palm
46	愤怒地扑向一只霜火蜥蜴 Leaping upon a Frost Salamander with fury
47	舔舐它们粗糙的乌黑皮毛，每一次舔舐都伴随着轻微的嘶嘶声 Licking their course ebon fur, each lap sizzles slightly
48	为地精盟友点燃箭矢箭头 Lighting arrowheads afire for Hobgoblin allies
49	迅速解决了一支准备不足的冒险队伍 Making short work of an ill-prepared Adventuring Party
50	在背后诋毁他们的主人 Maligning their Master behind her back
51	将一件精美的精灵胸甲熔化成凹凸不平的金属渣 Melting a beautiful Elf Breastplate into lumpy slag
52	因最近的雨水而显得格外沮丧 Miserable from recent rains
53	口鼻喷火，踏上猎杀独角兽的征程 Muzzles blazing as they embark on a Unicorn hunt
54	啃食着被火跳蚤侵扰的腿肉 Nibbling at Fire Flea infested shanks
