1d30	活动-大型覆天雕
1	与苦行僧结盟，共同对抗入侵的狂战士 Allying with Dervishes against invading Berserkers
2	为伴侣复仇，摧毁一座村庄 Avenging a Mate's death by destroying a village
3	在古老圆形剧场的废墟中筑巢 Nesting among the ruins of an ancient Amphitheatre
4	拍打翅膀，掀起尘暴和强风 Beating their wings, generating dust-devils and high winds
5	遮蔽一位骑乘天马的闪耀圣骑士 Overshadowing a shimmering Paladin, astride her Pegasus
6	捕捉狡猾的强盗，试图说服她改邪归正 Capturing a wily Bandit to convince her to change her ways
7	栖息在一位可信牧师修道院的城垛上 Perching on the battlements of a trusted Cleric's Abbey
8	在不祥的盘旋中，巨鹰俯视着决斗中的巫师们 Circling ominously above dueling Wizards
9	俯冲入海，追逐美味的海蛇 Plummeting into the ocean, diving after a delicious Sea Serpent
10	用利爪紧握一条巨大的岩蟒 Clutching a gigantic Rock Python in their talons
11	正在捕猎一支满载寺庙失窃宝藏的骆驼商队 Preying on a Camel Caravan, laden with Temple stolen treasure
12	降落栖息于一座摇摇欲坠的塔顶 Descending to perch atop a Crumbling Tower
13	因与顽固的矮人谈判破裂而愤怒地撕裂道路 Rending Road in anger as parley with stubborn Dwarfs breaks down
14	与三只双足飞龙进行空中缠斗 Dogfighting with a trio of Wyverns
15	用巨大而不眨的眼睛和凶猛的表情扫视地平线 Scanning horizon with huge, unblinking eyes and a fierce expression
16	在击败残忍的蝎尾狮后解救囚犯 Liberating Prisoners after defeating a cruel Manticore
17	拍打翅膀，激起尘卷风和强风 Beating their wings, generating dust-devils and high winds
18	遮蔽骑乘天马的闪耀圣骑士 Overshadowing a shimmering Paladin, astride her Pegasus
19	栖息在一位可信牧师修道院的城垛上 Perching on the battlements of a trusted Cleric's Abbey
20	爪中紧握一条巨大的岩蟒 Clutching a gigantic Rock Python in their talons
21	降落在摇摇欲坠的塔顶栖息 Descending to perch atop a Crumbling Tower
22	与三只双足飞龙进行空中缠斗 Dogfighting with a trio of Wyverns
23	鼓励谨慎的幼鸟离巢，保持警觉并保护它们 Encouraging their cautious young to fledge, vigilant and protective
24	尖叫着驱赶偷窃哥布林蛋的窃贼 Screaming as they drive away Goblin Egg Thieves
25	抓住一个谄媚的奴隶商人喂给她的雏鸟 Seizing a simpering Slave Merchant for her chicks
26	与游侠同伴高飞翱翔，巡视荒野 Soaring high with their Ranger companion to survey the Wilderness
27	突然俯冲抓走豺狼人中的一员 Swooping suddenly to pluck a Gnoll from their pack
28	听到独角兽的求救声后，撕裂树冠疾驰而去 Tearing through the treetops after hearing a Unicorn's distress call
29	肆意屠杀所有旅人：被邪恶巫师施法控制 Wantonly slaying all travelers: Ensorcelled by an Evil Wizard
30	监视一队朝圣者，运送一位圣徒的遗骸 Watching over a procession of Pilgrims, carrying remains of a Saint
