1d30	活动-大白鲨
1	从下方伏击渔船 Ambushing a Fishing Boat from below
2	在居住着水仙精灵的沙滩附近游荡掠食 Marauding near a sandy beach, where Nixies dwell
3	愤怒地撞击漂浮的残骸 Battering floating flotsam angrily
4	将搁浅的中型生物误认为海豹 Mistaking a marooned Medium for a Seal
5	与一只脱离群体的瓶鼻海豚搏斗 Battling a Bottlenose Dolphin, separated from the pod
6	从金枪鱼群中挑出落单者捕食 Picking off stragglers from a school of Tuna
7	以壮观的溅水姿态跃出水面，展现可怕的威严 Breaching in a splashy display of awful majesty
8	从一大群虎鲸处撤退 Retreating from a large pod of Killer Whales
9	通过心灵感应交流，吞下了有意识的匕首 Communicating telepathically, swallowed sentient Dagger
10	无情地攻击一群较小的鲨鱼 Ruthlessly attacking a shiver of smaller Sharks
11	劈波斩浪，露出标志性的背鳍 Cutting through the waves, with tell-tale fins
12	撕咬海九头蛇的其中一个头 Savaging one of a Sea Hydra's several Heads
13	对人形生物的肉产生兴趣 Developing a taste for the flesh of Humanoids
14	抓住挣扎海龟的壳 Seizing the Shell of a struggling Sea Turtle
15	正在吞噬一条海蛇的残破尸体 Devouring the ragged remains of a Sea Serpent
16	用巨大的尾巴拍打水面 Slapping the water's surface with their massive tail
17	身上挂着一对耐心且过度保护的小鱼 Festooned with a pair of patient and overprotective Remora
18	嗅到受伤人鱼的一滴血 Smelling a single drop of blood from a wounded Merman
19	泡沫四溅的水面因凶猛的进食狂潮而染红 Foaming water Red in a ferocious feeding frenzy
20	浮出水面接受迷信海盗的献祭 Surfacing to accept a sacrifice from superstitious Pirates
21	紧跟着一群座头鲸幼崽游动 Following a Humpback Whale creche closely
22	跃出水面袭击低空飞行的大型巨鹰 Surging above the waves to take a low flying Large Roc
23	在波涛汹涌的海面上轻松滑行 Gliding effortlessly through choppy Seas
24	围绕沉船游动，水手们尖叫不止 Swarming around a Shipwreck as Sailors scream
25	从抹香鲸侧面撕咬下大块血肉 Grabbing vicious hunks from the side of a Sperm Whale
26	撕咬逃窜的巨型鲈鱼的鳍 Tearing into the fin of a fleeing Giant Bass
27	好奇地咬住一只海底石像鬼 Inquisitively biting an Undersea Gargoyle
28	在石质小岛上肆虐，那里是海豹的繁殖地 Terrorizing a stony Skerry, home to breeding Seals
29	从水中跃出，张开巨大的血盆大口 Leaping from the water with huge, gaping Jaws
30	猛烈地将独角鲸来回甩动 Violently thrashing a Narwhal back and forth
