1d30	活动-小型群居动物:羚羊、鹿、角马、山羊
1	敏捷地跃过灌木丛和树篱 Agilely bounding over bushes and hedgerows
2	听到远处雷声隆隆后惊慌逃窜 Bolting after a distant rumble of Thunder
3	小心翼翼地避开植物的有毒部分进食 Carefully eating around the poisonous portions of plants
4	机敏地察觉到猎人的接近 Deftly spotting an approaching Hunter
5	熟练地从树干上剥下厚厚的树皮卷 Expertly stripping thick curls of bark from tree trunks
6	在一片空地上嬉戏，一只独角兽在一旁观望 Frolicking in a clearing as a Unicorn watches on
7	在废弃的牧场上，羊骨间悠然吃草， Grazing among Sheep bones on abandoned Pasture,
8	大口吸气以嗅探对手的气息 Gulping huge breaths of air to smell for Rivals
9	雄性间的顶角争斗几乎无法分散警惕的母兽注意力 Headbutting Males do little to distract watchful Mothers
10	欢快地跳跃，完全展示着它们的角或鹿角 Jovially prancing with horns/antlers on full display
11	跃过一条被洪水冲刷形成的泥泞沟壑 Leaping a muddy ravine, carved by a flooding Creek
12	围绕着一只被陷阱困住腿的大型雄性动物徘徊 Milling about a large Male, leg caught in a Snare
13	固执地横渡一个大湖 Obstinately swimming across a large lake
14	由于缺乏天敌，该地区动物数量过度繁殖 Overpopulating the area due to a lack of predators
15	在阳光下喘息，寻找饮水之处 Panting in the sun, searching for a place to drink
16	嬉戏跳跃的幼崽吸引了鹰的注意 Playfully gamboling young attract attention from a Hawk
17	守护着一片德鲁伊树苗的小树林 Protecting a Grove of Dryad Saplings
18	在猎豹扑击后迅速四散奔逃 Quickly scattering after a Panther's pounce
19	疯狂地逃离一名地精军需官 Running frantically away from a Hobgoblin Quartermaster
20	在茂密的灌木丛中疾驰，以躲避狼群 Scampering through dense undergrowth to avoid Wolves
21	在树干上进行气味标记 Scent-marking on the trunks of Trees
22	在矮人雕像上磨砺鹿角/犄角 Sharpening antlers/horns on a Statue of a Dwarf
23	优雅地跃起，避开一只猛然咬来的鳄鱼 Springing gracefully away from a snapping Crocodile
24	闻到狮子的气味后，最轻微的声音也能让它们受惊 Startled by the slightest sound after smelling a Lion
25	奋力挣扎，被厚重粘稠的蜘蛛网紧紧缠住 Straining, held fast with thick and sticky Spider Webs
26	得益于当地隐士的照料，这些小型群居动物（羚羊、鹿、角马、山羊）繁衍生息 Thriving thanks to the ministrations of a local Hermit
27	谨慎地穿越开阔地带 Travelling cautiously through an open area
28	无意识地聚集在神圣之地周围 Unconsciously gathering around hallowed ground
29	听到树枝断裂声后突然消失 Vanishing suddenly after hearing the snap of a twig
30	拜访自然圣地，朝圣者们在那里喂养它们 Visiting a Shrine to Nature, where the Pilgrims feed them
