1d100	活动-巨章鱼
1	附着在过往船只的底部搭便车 Adhering to the underside of a passing Ship to hitch a ride
2	改变体表质地，完美融入礁石环境 Altering the texture of their surface to perfectly match a Reef
3	愤怒地从走私者的小艇上抢夺船桨 Angrily wresting an Oar from a Smuggler's Dinghy
4	正在攻击一群打扰其休息的珍珠潜水员 Attacking a group of Pearl Divers who disturbed their rest
5	猛击长船，狂战士正试图将其拖上岸 Battering a Longship, as Berserkers try to haul it ashore
6	用其强大的喙将锚链咬成两半 Biting an Anchor Chain clean in half with its powerful Beak
7	浮出水面，呆滞地注视着经过的海盗船 Breaking the surface to peer dully at a passing Pirate Ship
8	在骨白色的沙中挖掘，以伏击猎物 Burrowing in bone-white sands, to ambush prey
9	利用迷人的色素细胞伪装成海藻 Camouflaging itself as Kelp with beguiling Chromatophores
10	小心翼翼地钳住一只巨大的恐怖海胆 Carefully clamping a tremendous Dire Urchin
11	突然改变方向，喷射强力水流 Changing direction suddenly with powerful jets of water
12	同时勒住四名无助的船员 Choking four helpless Crew Members simultaneously
13	浮出水面时搅起大量海沫 Churning up massive amounts of seafoam as they surface
14	紧贴在一艘双桅帆船的右舷侧 Clinging to the starboard side of a Schooner
15	用漆黑的墨汁使一片海域变得浑浊 Clouding a stretch of Sea with tenebrous Ink
16	紧握着一座镀金并镶嵌宝石的牛头人雕像 Clutching a Statue of a Minotaur, gilt and inset with Gems
17	用触手缠绕临时木筏的桅杆 Coiling an arm around the Mast of a makeshift Raft
18	完全倾覆一艘风暴摧残的切割船 Completely capsizing a storm wracked Cutter
19	正在吞食一只挣扎的海豹 Consuming a struggling Seal
20	被火焰箭射中后收缩触手 Contracting after being shot with a Flaming Arrow
21	正在撬开一只巨型螃蟹的壳 Cracking open the shell of a massive Giant Crab
22	沿着海底有节奏地爬行 Crawling rhythmically along the Sea floor
23	正在压碎一只小马大小的蛤蜊 Crushing a Clam, the size of a Pony
24	装饰着鲜艳的蓝色生物发光环纹 Decorated with vibrant blue, bioluminescent Rings
25	正在吞噬一名被投票决定扔下船的叛变者 Devouring a Mutineer, tossed overboard by vote
26	在它扭动的触手中溺死一只海豚 Drowning a Dolphin in its writhing clutches
27	栖身于一座因古老灾变而沉没的华丽神殿中 Dwelling in an ornate Shrine, sunken by ancient cataclysm
28	不断进食，贫瘠的海床上几乎无生命迹象 Eating constantly, barely any life remains on a barren seabed
29	阴郁地环抱着一艘沉船残骸 Embracing a sunken Shipwreck sullenly
30	从巨大的海底洞穴中现身捕猎 Emerging from a massive undersea Cavern to hunt
31	缠绕一艘正在下沉的驳船，将其拖向岸边 Ensnaring a sinking Scow to tow toward the shore
32	从流着口水的海蛇巨口中逃脱 Escaping from the jaws of a slavering Sea Serpent
