1d20	活动-巨鲇鱼
1	熟练地咬碎大型淡水贻贝 Ad eptly crunching large, freshwater mussels
2	用其巨大的触须猛击熊地精 Bludgeoning a Bugbear with its massive barbels
3	在河底觅食时搅动泥沙，使清澈的水域变得浑浊 Clouding clear water by kicking up silt while bottom-feeding
4	用铲子般的头部在沙中挖掘 Digging through sand with its shovel shaped head
5	被保护性黏液包裹，并能产生电击 Encased in protective slime and able to create shocking jolts
6	当地著名的吉祥物，众多鱼故事的主角 Famous local mascot, subject of many a fish story
7	在浑浊的水中用颤动的胡须探路 Feeling its way through murky waters with twitching whiskers
8	守护一窝鱼卵直至孵化 Guarding a nest of eggs until their brood hatches
9	半埋在淤泥床中，躲避头顶的巨鹰 Half-buried in the silty bed, hiding from a Giant Eagle overhead
10	意外吞下元素生物，能够引发地震 Ingested Elemental by accident, can create Earthquakes
11	一把锯齿状的魔法竖琴从它的背上突兀地伸出 Jagged Magical Harp oon juts from it s back
12	懒洋洋地潜伏在阴暗处，其他鱼类纷纷逃离 Lazily skulking in shadier spots, all other fish flee
13	巡逻一艘沉没的驳船，船上载有非凡的雕像货物 Patrolling a sunken Barge exceptional Statue Cargo
14	用宽阔的身体撞击木筏，将侏儒撞落水中 Ramming a Raft with broad body, Gnomes overboard
15	被神秘的鲶鱼邪教徒视为神圣崇拜 Regarded with reverence by uncanny Catfish Cultists
16	在淹没的岩石上搜寻美味的藻类 Scouring delicious algae off of submerged stones
17	用刺割伤过于急切捕鱼的食人魔的手 Slicing hands of over-eager Ogre Noodler with spurs
18	猛然冲上岸，出其不意地抓住一只口渴的山羊 Surging ashore to grab a thirsty Goat unawares
19	贴近水面游动，背部隆起暴露在外 Swimming close to the surface, humped back exposed
20	在近期干旱后，于泥泞的浅滩中打滚 Wallowing in muddy shallows after a recent drought
