1d20	活动-巨鲈鱼
1	躲避一位用矛捕鱼的丘陵巨人 Avoiding a Spear Fishing Hill Giant
2	猛冲吞食一只巨型蟾蜍 Bolting down a Giant Toad
3	掀翻一艘由不会游泳的矮人驾驶的轻舟 Capsizing a Coracle, helmed by a Dwarf that can't swim
4	正拖着一位渔夫和他的钓线在水面上滑行 Dragging a Fisherman and his line across the water
5	正在享用一群水白蚁的盛宴 Feasting on a colony of Water Termites
6	一口吞下还在抽搐的巨型螃蟹/螯虾 Gulping a twitching Giant Crab/Crayfish in a single bite
7	隐藏在池塘水草/藻类下的阴凉处 Hiding in a shady spot beneath the pond weed/algae
8	被一群饥饿的兽人钩住，需要4次收线才能拉上来 Hooked by a team of hungry Hobgoblins, taking 4 to reel in
9	正在吸入一整群小鱼 Inhaling an entire school of smaller fish
10	从水中跃出，激起巨大的水花 Leaping out of the water with a tremendous splash
11	在摇摇欲坠的木码头下潜伏着 Just under a rickety wooden pier, lurking
12	险险逃脱饥饿鳄鱼的血盆大口 Narrowly escaping the jaws of a hungry Crocodile
13	掀翻一艘装载着金斑石英的矿石运输船 Overturning an Ore-boat hauling gold-flecked quartz
14	保护幼鱼，其长度仍超过精灵的臂展 Protecting fry, still longer than an Elf arm-span
15	疾驰前去援助一群水泽仙女的涟漪 Rushing to the aid of a ripple of Nixies
16	看似能言善辩（实则为隐形的小精灵） Seemingly speech-capable (actually invisible Sprites)
17	吐出一只味道恶心的食尸鬼 Spitting out a foul tasting Thoul
18	最近吞下了一箱被盗的硬币 Swallowed a stolen chest of coins recently
19	在坚固编织的网中猛烈挣扎 Thrashing about in a strongly woven net
20	被当作吓唬孩子的怪物，以防他们靠近岸边 Used as a bogeyman to keep children from the shore
