1d20	活动-巨鲟鱼
1	正在攻击一条水生蚓螈作为晚餐 Attacking an aquatic Caecila for supper
2	与卡拉维尔帆船相撞，尖锐的脊刺刺穿船体 Colliding with a Caravel, sharp ridges puncturing the hull
3	在昏暗的水中，苍白且微微发光的触须轻轻摇曳 Faintly glowing pale barbels flickering in the murk
4	与麻痹性液体搏斗，内部著名圣骑士疯狂刺击 Fighting paralytic juices, famous Paladin inside frantically stabs
5	巨型鲟鱼的鳞片能抵御龙龟的蒸汽攻击 Giant Sturgeon scales resist Dragon Turtle steam
6	已学会沉船能带来鲜嫩水手的道理 Has learned that sinking ships leads to succulent Sailors
7	腾空跃起，破水而出，激起巨大的水花 Hurling itself into the air, breeching with a tremendous splash
8	不可思议的古老存在，水下德鲁伊魔法的源泉 Impossibly ancient, a source of underwater Druidic Magic
9	巨大的骨鳞足以装备一支小队的盾牌或圆盾 Larger boney scales could outfit a squadron with shields or bucklers
10	摧毁木坝后逆流而上进行产卵迁徙 Migrating upriver to spawn after destroying a wooden dam
11	与海蛇交锋后，丢失了几片鳞甲 Missing a few plates after a run-in with a Sea Serpent
12	被智者过度捕捞，用于制作保护鱼胶的羊皮纸 Overfished by sages for parchment protecting isinglass
13	鳞甲保护它免受一群鱼人三叉戟或鱼叉的伤害 Plates protect it from the tridents/harpoons of a dozen Mermen
14	迅速吸水，摧毁了一大群鱼群 Rapidly syphoning in water, wiping out a huge school of fish
15	最近吞下了一位垂柳树精的配偶 Recently swallowed the spouse of a Weeping Willow Dryad
16	在河底搜寻甲壳类动物和水生蠕虫 Scouring the benthos for crustaceans and aquatic worms
17	正在吸食巨型章鱼扭动的触手 Slurping up the writhing tentacles of a Giant Octopus
18	吸入大量水流，企图吞下一条逃窜的梭鱼 Sucking in prodigious amount of water to swallow a fleeing Pike
19	满腹鱼卵，作为云巨人鱼子酱备受追捧 Swollen with roe, in high demand as Cloud Giant caviar
20	用其庞大的身躯拓宽堵塞的河口 Widening a clogged estuary with its massive bulk
