1d30	活动-抹香鲸
1	允许海鸥啄食其吸盘伤痕累累背部的寄生虫 Allowing gulls to pick parasites their sucker scarred backs
2	狂热地在其水域中掀翻一艘帆船 Avidly swamping a Sailboat in their waters
3	以巨大的水花跃出水面 Breaching with a tremendous spray
4	聚集以最终解决克拉肯问题 Congregating to finally deal with a Kraken problem
5	一口吞下整群鱼群 Consuming and entire school of Fish in a single gulp
6	覆盖着共生的藤壶，形成符文 Covered in symbiotic Barnacles, forming Runes
7	重创一艘地精卡拉维尔帆船 Crippling a Hobgoblin Caravel
8	在险些被鱼叉击中后潜入水中 Diving after a near-miss from a Harpoon
9	将海蛇拖入深海以使其溺毙 Dragging a Sea Serpent to the depths to drown it
10	吞下渔夫的渔获，连同渔网一并卷入 Engulfing a Fisherman's Catch, Net and all
11	在浅滩沙洲上搁浅，挣扎不已 Floundering, beached on a shallow sandbar
12	形成花朵形状的防护圈 Forming a flower-shaped protective circle
13	正在悠闲地吞食一群游动的小乌贼 Grazing on a fluttering bloom of small Squid
14	正在大口吞食水白蚁 Harvesting huge mouthfuls of Water Termites
15	用巨大的尾鳍猛烈拍打水面，发出响亮的声音 Lashing large flukes on the surface with loud slaps
16	因未能保持距离而掀翻长艇 Overturning a Longboat for failing to keep its distance
17	保护美人鱼商人的商队 Protecting a Mermaid Merchant's Caravan
18	撞击一艘已受损船只的右舷 Ramming the starboard side of an already damaged Ship
19	为受惊的幼鲸唱摇篮曲，使其半入眠 Serenading a frightened Calf to semi-sleep
20	用强力咬击切断巨型章鱼的触手 Severing a Giant Octopus tentacle with a powerful bite
21	用巨大的尾巴拍打水面，激起巨大水花 Slamming the water's surface with a huge tail-splash
22	将捕鲸船干净利落地劈成两半 Splintering a Whaleboat clean in half
23	喷出海水柱以清理它们的喷水孔 Spouting plumes of seawater to clear their blowholes
24	用回响的声音震晕一群鱼 Stunning a school of fish with a reverberating sound
25	猛烈挣扎，背上插着一支鱼叉 Thrashing violently, a Harpoon embedded in her back
26	完全吞下一艘半身人渔船 Utterly swallowing a Halfling Fishing Vessel
27	吐出大量珍贵的龙涎香 Vomiting up great gobs of valuable Ambergris
28	在深泻湖的温暖水域中打滚 Wallowing in the warm waters of a deep Lagoon
29	年岁已高，这头鲸鱼是一位技艺高超的牧师 Wise in her years, this Whale is an accomplished Cleric
30	与一只绝望的巨型乌贼激烈搏斗 Wrestling ferociously with a desperate Giant Squid
