1d60	活动-无齿翼龙
1	泛起鲜艳的深红色以恐吓竞争对手 Blushing a brilliant crimson to intimidate a rival male
2	用喙刺入剑龙尸体中挖掘 Burrowing their beak into the carcass of a Stegosaurus
3	栖息于一座巨大废墟城堡的城垛缝隙间 Living among the crenulations of a massive ruined Keep
4	张开巨大的嘴巴，毫不掩饰地打了个哈欠 Opening their massive mouths in an unstifled Yawn
5	危险地栖息在一根下垂的树枝上 Perching precariously on a sagging branch
6	从河岸边叼走一个尼安德特小孩 Plucking a Neanderthal child from a riverbank
7	捕食牧羊人的羊群：悬赏已发布 Preying on a Shepherd's flock: Reward being offered
8	鼓起身体试图吓走石像鬼 Puffing up to try and scare away a Gargoyle
9	栖息在不可思议的高耸悬崖上，数量多达数百只 Roosting on impossibly tall cliff-sides, hundreds of them
10	乘风翱翔，偶尔掠过高空云层 Sailing with the wind, clipping the occasional high cloud
11	通过扇动翅膀改变鳞片的颜色 Shifting the shade of their scales by flexing their wings
12	持续发出令人毛骨悚然的尖叫声 Shrieking with a blood-curdling sound, constantly
13	在溪流表面进行大胆的俯冲滑翔 Skimming the surface of a stream with daring dives
14	在精灵弓箭手射程外翱翔 Soaring just outside of Elf Archer range
15	突然俯冲，听从其座下大地精骑手的指令 Swooping suddenly at their Hobgoblin Rider's behest
16	在浅沟中产下椭圆形的蛋 Laying their oblong eggs in a tiny furrow
17	携带着一份重要卷轴，绑在后腿上 Carrying an important Scroll, tied to a hind leg
18	懒散地盘旋，寻找容易捕获的猎物 Circling lazily, looking for easy prey
19	在湖面上快速溅水以降温 Cooling off with a quick splash on the surface of a lake
20	用翼爪快速爬行，发出咩咩声 Crawling quickly along with its wing-claws, bleating
21	以一身极其闪亮的细羽外衣炫目夺人 Dazzling with a remarkably iridescent coat of fine follicles
22	俯冲下来调查一只恐鸟的猎杀现场 Descending to investigate a Terror Bird kill
23	正在吞噬一名矮人，连同凹陷的盔甲一起 Devouring a Dwarf, dented armor and all
24	用尖喙在温暖的土壤中挖掘，体内怀有蛋 Digging in warm soil with their sharp snout, gravid with eggs
25	在一处充满饥饿幼狮鹫的巢穴附近盘旋 Drifting near a hungry Griffon Nest, full of fledging cubs
26	展开色彩鲜艳的喉囊以吸引配偶 Extending a colorful dew lap to attract a mate
27	跟随一群狩猎的豺狼人，希望能捡到便宜 Following a pack of Hunting Gnolls, hoping for easy pickings
28	威严地滑翔，若不是偶尔发出的尖叫声 Gliding majestically, were it not for the occasional yelp
29	一口吞下尖叫的地精 Gobbling up a screaming Goblin in a single bite
30	在泥泞的海滩上蹒跚而行，挖掘软体动物 Waddling along a muddy beach, drilling for mollusks
31	停歇在一座古老、长满苔藓的蜥蜴人雕像上 Alighting on an ancient, moss covered Lizard Man Statue
32	迁徙至更温暖的气候区，仅在进食时停留 Migrating to warmer climes, stopping only to eat
33	冲入树冠的枝桠中，逃离捕食者 Barreling into branches of the Canopy, fleeing a predator
34	从翠绿的叶丛中窥视，不时发出咯咯声 Peering from within verdant foliage, clucking periodically
35	猛烈拍打薄膜翅膀以起飞 Beating their membranous wings furiously to take off
36	在温暖的气流中优雅地俯冲和侧倾 Pitching and banking gracefully on warm thermals
37	在锥形、类似白蚁丘的巢穴上孵蛋 Brooding over a conical, termite mound-like Nest
38	轻声鸣叫以安抚刚孵化的幼崽 Quietly squeaking to calm recently hatched young
39	用嘴梳理竖立的羽状纤维 Combing their bristling pycnofibers with their mouths
40	为喧闹的幼崽反刍食物 Regurgitating a meal for cacophonous nestlings
41	在刺耳的鸟鸣声中挑衅地鸣叫 Croaking defiantly amidst obnoxious birdsong
42	从剑齿虎猎物上撕下腐烂的肋骨肉片觅食 Scavenging strips of rotting rib meat from a Sabre Cat kill
43	突然俯冲捕食较小的翼龙作为点心 Diving suddenly after a smaller Pterosaur snack
44	在落叶中拖着受伤的翅膀蹒跚而行 Scuttling among leaf litter with a wounded wing
45	笨拙地从水坑中饮水，处于易受攻击状态 Drinking awkwardly from a pool of water, vulnerable
46	展开湿翅膀晾干，准备起飞 Spreading wet wings to dry them out before taking flight
47	将硬皮果实投掷到岩石上砸开 Dropping a tough-skinned Fruit on the rocks to dash it open
48	对一只食蛋蛇大声尖叫 Squawking loudly at an Egg Eating Snake
49	在阳光炙烤的悬崖上互相扇风以保持凉爽 Fanning each other to stay cool on a sunbaked bluff
50	从半身人冒险者手中偷走一顿美餐 Stealing a meal from a Halfling Adventurer's hand
51	正在享用一只幼年剑龙的尸体 Feasting on the carcass of a young Stegosaurus
52	听到远处爆炸声后突然振翅起飞 Taking wing suddenly after a distant explosion
53	翼上捕鱼：迅速啄击捕捉猎物 Fishing on the wing: grabbing their catch with quick snaps
54	撕开帆布帐篷以获取里面的食物补给 Tearing down a Canvas tent to reach the food supplies inside
55	低空飞行，追逐一只匆忙逃窜的哺乳动物 Flying low to the ground, chasing after a scurrying mammal
56	从紧裹的沉睡中痛苦地展开 Unfolding painstakingly from a tightly wrapped nap
57	啃咬树皮以清洁其喙状嘴部 Gnawing on tree bark to clean their beak-like mouths
58	在空中芭蕾中翩翩起舞，作为求偶舞蹈的一部分 Waltzing in an aerial ballet as part of a courtship dance
59	笨拙地降落在一根勉强能支撑其体重的树枝上 Landing clumsily on a branch, barely big enough to support it
60	突然盘旋转弯以跟随编队领队 Wheeling in sudden turns to follow a formation leader
