1d100	活动-木乃伊
1	将可怕的坏死疾病施加于一个不幸的矮人身上 Afflicting their horrid necrotic disease on an unlucky Dwarf
2	感知到生命后愤怒，打碎陶制陪葬品 Angered after sensing life, shattering clay grave goods
3	身披装饰性斗篷，缀满暗淡无光的尘封宝石 Arrayed in ornamental mantle, dripping with dull, dusty gems
4	不情愿地让骷髅侍从为她扇风 Begrudgingly allowing herself to be fanned by Skeletal Attendants
5	使盗贼麻木，遭受其可怕形态的折磨 Benumbing a Burglar, subjected to their horrible form
6	用泡碱布条捆绑受害者以制造新的同伴 Binding Victims in natron linens to fabricate new companions
7	因试图触摸圣物而指尖发黑 Blackened fingertips from trying to touch a Holy Relic
8	用仪式权杖撬开镀金木棺 Breaking into a gilt wooden casket with a ceremonial Rod
9	短暂回忆起前世，无法控制地哭泣 Briefly remembering their former life, sobbing uncontrollably
10	沉思中，温柔地抚摸着一枚红玉髓浮雕 Brooding as they tenderly caress a carnelian cameo
11	用空酒杯永恒地庆祝千年之前的胜利 Celebrating an eon old victory, in perpetuity, with empty goblets
12	斥责一位早已逝去的顾问的遗骸 Chastising the skeletal remains of a long dead Advisor
13	奇异地变异，挥舞着巨型蝎子的尾巴 Chimerically altered, wielding a Giant Scorpion's Tail
14	指挥一支忠诚的骷髅侍从军团进行挖掘 Commanding a loyal legion of Skeletal Retainers to excavate
15	面对布满灰尘的镜子中的倒影，短暂停顿 Confronting their reflection in a dust-laden mirror, pausing briefly
16	容纳着成群的贪婪、手掌大小且饥饿的圣甲虫 Containing hordes of voracious, hand-sized, hungry Scarabs
17	紧紧抱着他们被紧紧包裹的孩子（也是一具木乃伊） Cradling their tightly bound child (also a Mummy) closely
18	渴望生命的热度，紧握吱吱作响的老鼠直至其静止 Craving the warmth of life, squeezing a squeaking Rat until still
19	在强大祭司吟诵谴责咒文时畏缩不前 Cringing as a powerful Priest intones a rebuking recitation
20	将脆弱的纸莎草卷轴粉碎，以完成千年仪式 Crumbling a brittle Papyrus scroll to finish a Millennial Ritual
21	对任何闯入者施以无法解渴的诅咒 Cursing any interlopers with unquenchable Thirst
22	破坏颂扬其继任者的古代铭文 Damaging ancient inscriptions that extoll his successor
23	对千年单调后的环境感到厌恶 Detesting their surroundings after millennia of monotony
24	因岁月而干燥脆弱，其裹尸布中藏有神圣密码 Drying and brittle with age, its wrappings contain a sacred cipher
25	以断续空洞的声音向缺席的听众无尽地颁布法令 Endlessly decreeing in halted, hollow voice to an absent audience
26	用挥舞的、可抓握的裹布条吞没敌人 Engulfing enemies with flailing, prehensile strips of wrapping
27	每日虔诚供奉，颂扬一位古老垂死的神祇 Exalting a dated, dying Deity with daily devotions
28	无表情地审视着丈夫的墓室壁画 Examining Tomb Paintings of her Husband, emotionlessly
29	用蝙蝠的翼骨制作粗糙的王冠 Fashioning a crude crown from the wing-bones of Bats
30	裹尸布缝隙中潜藏着数十条骷髅蝰蛇，伺机袭击 Filled with several dozen skeletal Asps that strike from gaps in linen
31	最终完成了一份用楔形文字刻在黏土上的古老炼金配方 Finally finishing an ancient alchemical formula in Cuneiform clay
32	浑身布满致命、令人窒息的孢子，一触即爆 Flecked with fatal, choking spores that explode on contact
33	永远忠诚于他那木乃伊化的猫科伴侣 Forever devoted to his mummified feline companion
34	完全忘记自身状态，将所有人都视为亡灵 Forgetting their state completely, sees everyone else as Undead
35	用干枯的爪子紧紧掐住一个中等体型生物的脖子 Grasping withered claws tightly around the neck of a Medium
36	疯狂地咧嘴笑着，撕扯着嘴唇周围紧绷的皮肤 Grinning maniacally, tearing the taut skin once around their lips
37	在曾经神圣的庙宇走廊中游荡 Haunting the once hallowed hallways of a temple complex
38	空壳躯体中填满魔法纸莎草和神圣典籍 Hollow body filled with Magical Papyri and Sacred Texts
39	追捕一名盗取了镶宝石权杖的盗墓者 Hounding a Tomb Robber who stole a bejeweled Scepter
40	投掷装有干枯器官的陶罐，接触时会造成枯萎效果并爆炸 Hurling dry organs that blight on contact, in exploding clay jugs
41	浸泡在类似树脂的焦油池中以防止进一步腐烂 Immersing in a pool of sap-like tar to protect from further rot
42	模仿日常生活的例行仪式，若被打扰则易怒 Imitating the routine rituals of daily life, irascible if interrupted
