1d100	活动-树精
1	欣赏一片古老的无性繁殖白杨林 Admiring an ancient, clonal colony of Aspen
2	正在训诫一个贪婪的矮人，他在她的树根下挖掘 Admonishing a greedy Dwarf, digging at the foot of her Tree
3	在从灌木上摘取浆果前礼貌地询问 Asking politely before plucking a berry from a bush
4	由数只小精灵陪伴，协助她打理碧绿的发辫 Attended by several Sprites, assisting her with her beryl braids
5	照料一棵树人橡果的诞生与种植 Attending the birth-planting of a Treant's acorn
6	照看两只年轻的半人马兄妹 Baby-sitting two young Centaur siblings
7	在溪流中羞涩地沐浴 Bathing bashfully in a brook
8	魅惑一位商人，将华美的物品堆在她的脚下 Beguiling a Merchant, heaping finery at her feet
9	正被一位英俊的熊地精追求 Being courted by a very handsome Hobgoblin
10	恳求熊地精放下他的战斧 Beseeching a Bugbear to lay down his Battle-axe
11	被一位歌声甜美的英俊年轻吟游诗人迷得神魂颠倒 Besotted by a dashing young Bard who sings sweetly
12	魅惑一位贞洁而坚定的骑士 Bewitching a chaste and steadfast Knight
13	当蒙眼的伐木工砍伐她的家园时，树精的树液如血般流淌 Bleeding sap as blindfolded lumberjacks hack at her home
14	因半人马追求者献花而脸颊泛红 Blushing after being offered flowers from a Centaur suitor
15	被发现的公主肖像浮雕所深深吸引 Captivated by a found Cameo containing a portrait of a Princess
16	与当地的水泽仙女闲聊八卦 Catching up on the scuttlebutt with a local Nixie
17	陪同一位为女儿举办的树精名媛初次社交舞会 Chaperoning a Dryad debutante held for their daughters
18	追逐善变的蝴蝶，以影响它们的授粉地点 Chasing fickle Butterflies to influence where they pollinate
19	珍视着很久以前两位恋人在她的树上刻下的心形疤痕 Cherishing the heart-shaped scar 2 Lovers carved on her Tree long ago
20	用奇美拉骨梳梳理她的秀发 Combing her tresses with a Chimera bone comb
21	渴求珍稀树种，愿为枝条支付丰厚报酬 Coveting exotic species of trees, will pay handsomely for cuttings
22	为她的冠军戴上桂冠 Crowning her Champion's hair with laurel leaves
23	培育着色彩斑斓的菊花和奶油色的马蹄莲 Cultivating colorful Chrysanthemums and cream-colored Cala Lilies
24	优雅地在一张布上铺开的小堆腐殖质上用餐 Daintily dining on tiny mounds of mulch, spread across a cloth
25	随着鸣禽的歌声轻盈起舞 Dancing delicately to the sounds of Songbirds
26	修补那些已经破旧不堪的羊毛袜子 Darning woolen socks that have seen better days
27	传达德鲁伊对当地村庄的严厉法令 Delivering a sternly worded edict, from Druid to a local Hamlet
28	在河边的芦苇丛中遗弃一个换生灵孩童 Deserting a changeling child near the reeds of a river
29	别被她青春美貌所迷惑：她的树与森林同龄。 Don't let her youthful beauty fool you: Her Tree’s as old as the Forest
30	迷住了一名游侠，违背了她更明智的判断 Enrapturing a Ranger, against her better judgement
31	被迷住的樵夫，按照她的指示种植树苗 Enthralled Woodsmen, planting saplings at her direction
32	她坐着为一位艺术情人摆姿势画像，显得坐立不安 Fidgeting as she sits for a portrait, painted by an artistic paramour
33	逃离调情的半羊人 Fleeing flirtatious Fauns
34	疯狂地擦洗被标记为砍伐的树木上的油漆 Frantically scrubbing paint from trees marked for culling
35	解救一只被猎人陷阱困住的熊 Freeing a Bear from a Hunter's snare
36	为挑剔母亲的到访而烦恼 Fretting over a visit from her judgmental mother
37	正在为一项雄心勃勃的移植项目收集地精 Gathering Gnomes for an ambitious transplanting project
38	小心翼翼地照料火堆，促使松果裂开 Gingerly tending a fire to cause cones to open
39	挖出拒绝她之人的双眼 Gouging out the eyes of one who spurned her
40	将花朵嫁接到苹果树上 Grafting blossoms into an Apple tree
41	怀孕并即将分娩 Gravid and about to bear child
42	贪婪地大口喝下小仙子递来的美酒 Greedily gulping wine proffered by a Pixie
43	因爱人因恼人的衰老而逝去而悲痛不已 Grieving over the loss of her lover due to pesky old age
44	悬挂骷髅风铃以吓唬迷信的伐木工 Hanging skull windchimes to frighten superstitious Lumberjacks
45	从她滴落的巨型蜂巢中采集蜂蜜 Harvesting honey from her dripping Giant Beehives
46	帮助半身人采摘野生蘑菇 Helping Halflings harvest wild mushrooms
47	隐藏因遭遇伐木工而在小腿上留下的难看疤痕 Hiding unsightly scars on her shins from a run-in with loggers
48	因拒绝抛弃她半人半精灵的孩子而遭追捕 Hunted for refusing to abandon her half-Human child
49	悠闲地将玫瑰花瓣摘入篮中 Idly decapacitating rose blossoms into a basket
50	与一位炽热的火巨灵相恋，终将以悲剧性的拥抱收场 In love with a fiery Efreeti, will end in in tragic embrace
51	审问一名被俘的盗贼，该盗贼正在收集柴火 Interrogating a captured Bandit found collecting firewood
52	嫉妒一位不受她魅力所惑的精灵 Jealous of an Elf who would not succumb to her Charms
