1d30	活动-次级火巨灵
1	肆无忌惮地袭击毫无防备的巨灵 Attacking an unsuspecting Djinni with wild abandon
2	将真相扭曲至几乎断裂的程度 Bending the truth to the point of breaking
3	炽烈燃烧，因被束缚而愤怒不已 Burning brightly and fuming at their bondage
4	携带着从附近巢穴中偷来的巨鹏蛋 Carrying a Roc egg, pilfered from a nearby nest
5	劝说一只火焰蝾螈加入他们的任务 Coaxing a Flame Salamander to join their mission
6	为一位更值得侍奉的主人出谋划策，教她如何偷取自己的瓶子 Counselling a more worthy Master on how to steal her bottle
7	正在创建一个临时的财宝堆，以便与食人魔进行交易 Creating a temporary treasure hoard to bargain with an Ogre
8	在融化的镜子前一丝不苟地梳理打扮 Fastidiously grooming in front of a melting mirror
9	形成一道火焰之墙以保护他们的主人 Forming a flaming wall to protect their Master
10	与一个火元素闲聊家乡的近况 Gossiping with a Fire Elemental about goings-on back home
11	在最需要她时心怀怨恨地消失 Grudgefully vanishing when she's needed most
12	对火巨人讲的下流笑话发出粗犷的笑声 Guffawing at an off-color Fire Giant joke
13	热浪微微闪烁，他们逐渐消散 Heat-shimmering slightly as they evanesce
14	因被巧妙的欺骗而愤怒咆哮 Howling with rage after being tricked by clever deception
15	将昆虫群化为烈焰之柱焚烧殆尽 Immolating an Insect Swarm as a conflagrant column
16	疯狂大笑，因重获自由的计划即将实现 Laughing maniacally as plans to gain her freedom come to fruition
17	完成任务后向主人撒谎 Lying to their Master after completing a task
18	用一根手指轻触，便能融化一把复杂的锁 Melting an intricate lock with a single touch of a finger
19	思索如何诱捕一位看似无欲无求的主人 Puzzling on how to entrap a Master who seemingly wants little
20	以空洞的承诺引诱他们的主人 Seducing their Master with hollow promises
21	逐渐掌控一位意志薄弱的主人 Slowly dominating a weak-willed Master
22	像爬行动物般微笑，分叉的舌头显露无遗 Smiling like a reptile, replete with a forked tongue
23	嗤之以鼻地完成一项极其简单的任务 Snorting with derision as they fulfill a pathetically simple task
24	无精打采地搬运廉价的小饰品和珠宝 Spiritlessly schlepping chintzy gewgaws and baubles
25	煽动一位原本冷静的主人产生复仇的冲动 Stoking vengeful urges in an otherwise even-headed Master
26	利用非法所得暗中破坏一个关于财富的愿望 Subverting a wish for wealth with ill-gotten gains
27	为饥饿的主人召唤一场丰盛的自助盛宴 Summoning a sumptuous smorgasbord for hungry Master
28	以巧妙伪造的圣物诱惑一位品德高尚的圣骑士 Tempting a virtuous Paladin with cleverly forged Quest object
29	扭曲其主人的愿望和请求 Warping the wishes and requests of their Master
30	在日益荒谬的要求下逐渐衰弱 Withering under increasingly outrageous demands
