1d30	活动-海蛇
1	敏捷地在水面上滑行 Agilely gliding across the surface of the water
2	在沉没的雕塑半身像顶部缠绕成球状 Balling around the crown of a sunken, sculptured bust
3	身披鲜艳条纹，亮黄得令人目眩 Brilliantly striped in bright, headache yellow
4	正在追逐一位惊慌划水的采珠人 Chasing after a frantically paddling Pearl Diver
5	"正在吞食一只色彩艳丽的“羽冠”鹦鹉鱼 Consuming a brilliantly ""plumed"" Parrot Fish"
6	小心翼翼地沿着岩石露头爬行 Crawling carefully along a rocky outcrop
7	对一名人鱼外交官施展其针刺般的咬击 Delivering its pinprick bite to a Merman Diplomat
8	消失在渐暗的深海中 Disappearing into the darkening depths
9	追逐一只挣扎的盾鱼潜入水中 Diving after a floundering Shieldfish
10	优雅地在明亮的蓝色背景下游动 Elegantly swimming against a backdrop of brilliant blue
11	逃离一只饥不择食的鲨鱼 Fleeing from an indiscriminately hungry Shark
12	在阳光下懒洋洋地漂浮以加速消化 Floating listlessly in the sun to speed digestion
13	正在吞食一群闪闪发光的小鱼 Gorging on a school of shimmering fry
14	从浪花下抓住一只海鸟 Grabbing a seabird from beneath the surf
15	无助地挣扎，意外被鱼钩钩住 Helplessly thrashing, inadvertently hooked on a line
16	向遇难水手注入致命毒素 Injecting lethal toxins into a Shipwrecked Sailor
17	懒洋洋地缠绕在一只废弃的锚上 Looping lazily around an abandoned Anchor
18	在海底优雅地蜿蜒游动 Masterfully sinuating across the seabed
19	无声地在海滩上追踪巨型螃蟹 Noiselessly stalking Giant Crab on the beach
20	环绕一群美味的匕首鱼游弋 Orbiting a shoal of delicious Daggerfish
21	在礁石间探查鱼群藏身的洞穴 Plumbing holes where fish hide among the reefs
22	鲁莽地在海鹏鸟的阴影下浮出水面 Recklessly surfacing in a Sea Roc's shadow
23	作为水生美杜莎女巫的魔宠服务 Serving as a familiar for an aquatic Medusa Witch
24	因深水寒冷而颤抖，上岸晒太阳 Shivering from deep waters, come ashore to bask
25	正挣扎着吞下一只仍在抽搐的鲑鱼 Struggling to swallow a still-twitching Salmon
26	在翻覆的救生艇上晒太阳 Terrestrially sunning atop an overturned Lifeboat
27	水下蜿蜒游动，挑衅一只章鱼 Undulating underwater, antagonizing an Octopus
28	在浅海湾的温暖水域中打滚 Wallowing in the warmer water of a shallow bay
29	扭动着身子沿着桨杆爬向毫无防备的划船者 Wriggling their way up an oar towards an unsuspecting Rower
30	在卵石海滩上曲折爬行，寻找合适的筑巢地点 Zig-zagging the pebbly beach, looking for a suitable nest
