1d30	活动-火巨人
1	放弃一座死火山的堡垒 Abandoning an extinct Volcano redoubt
2	在巨大的篝火上烧烤猛犸象 Barbequing a Mammoth on a massive bonfire
3	正在建造一座极其高大的鼓风炉 Constructing an incredibly tall blast furnace
4	正在驯服一些不守规矩的火元素仆从 Corralling some unruly Fire Elemental Thralls
5	大快朵颐着辛辣的盲鳗牛排 Devouring heavily spiced Caecilia steaks
6	正在向火焰蜥蜴雇佣兵发放酬金 Doling out payment to Flame Salamander mercenaries
7	正在排干一座原始火山口湖的水，以冷却他们的铁器工坊 Draining a pristine crater lake to quench their ironworks
8	砍伐整片森林以供给他们的熔炉燃料 Felling entire forests of trees to feed their furnaces
9	锻造巨大的生铁块以加固城墙 Forging immense blocks of pig iron to fortify a wall
10	驻守一支大地精军团，维持着不安的休战状态 Garrisoning a Hobgoblin regiment, an uneasy truce
11	不停地锤击，将巨大的刀片砸平 Hammering incessantly as they flatten gigantic blades
12	将大块木炭投入燃烧的坑中 Heaving huge chunks of charcoal into a burning pit
13	拦截一批运往人类王国的矿石 Intercepting a shipment of ore destined for Human kingdoms
14	绑架一位火焰头发的狂战士王子 Kidnapping a flame-haired Berserker Prince
15	大笑着投掷巨石，险些击中一只飞马 Laughing as a flung boulder barely misses a Pegasus
16	将回收的青铜熔炼以制作胸甲 Melting down salvaged bronze to make a breastplate
17	压倒一支兽人军队 Overwhelming an army of Orcs
18	洗劫一座宁静的山村 Plundering a peaceful mountain village
19	激怒了附近矮人矿洞的怒火 Provoking the wrath of a nearby Dwarf Delve
20	豪饮着用巨大铜壶蒸馏出的烈酒 Quaffing potent spirits, distilled in huge copper kettles
21	召集出奇狡猾的狗头人，在其焦黑旗帜下集结 Rallying surprisingly canny Kobolds under their singed banner
22	正在摧毁一片高海拔草原 Razing a high-altitude grassland
23	在滚烫的热水池中放松休息 Relaxing in scalding, thermally heated pools
24	释放一群地狱犬去追逐一只带翼的飞龙 Releasing a pack of Hellhounds after a winged Wyvern
25	怒视着远处飞行的红龙 Scowling at a distant Red Dragon in flight
26	全力敲击巨大的铁砧，以测试自己的力量 Striking a huge anvil, as hard as they can, to test their might
27	正在征服一支已被烧焦的食人魔部落 Subjugating a tribe of now charred Ogres
28	运送满载铜矿石的巨大雪橇 Transporting massive sledges, brimming with copper ore
29	将一只喷火九头蛇困在巨大的铁笼中 Trapping a fire-breathing Hydra in a massive Iron Cage
30	在充满岩浆的火山口边缘进行摔跤比赛 Wrestling on the lip of a magma filled crater
