d100	活动-狮鹫
1	心不在焉地拍打巨大的翅膀以降温 Absent-mindedly flapping their massive wings to cool off
2	接受迷信的尼安德特人献上的始祖马贡品 Accepting Eohippus tribute from superstitious Neanderthals
3	停落在一颗巨大的头骨上，露珠闪闪发光 Alighting atop a Giant Skull, glistening with dew
4	几乎惊扰了一群正在吃草的羚羊 Almost spooking a herd of grazing Antelope
5	心满意足地晒太阳，伸展着它们的利爪和爪子 Basking contentedly, flexing their talons and claws
6	在繁花覆盖的草地上欢快地跳跃 Bounding blithely across a blossom blanketed meadow
7	鲜艳的猩红色脸庞，如同短尾雕般在日光下晒着太阳 Bright, scarlet face, like a Bateleur, sunbathing
8	听到远处马嘶声后，毛发竖起，身体紧绷 Bristling and tensing after hearing a distant whinny
9	用喙叼着一个篮子，里面装着一个矮人婴儿 Carrying a basket in their Beak, containing a Dwarf Infant
10	正在追逐一只绵羊大小的兔子 Chasing after a sheep-sized Rabbit
11	不断敲击喙部，寻找它们的幼崽 Clacking their beak constantly, looking for their cubs
12	攀爬至高处，在稀疏的云层中寻找有利位置 Climbing to a vantage point, high among stringy clouds
13	正在享用一只从悬崖边抓来的山羊 Consuming a Mountain Goat, snatched from a cliffside
14	拥有秃鹫般的面容，黑豹般的皮毛与羽翼 Countenance of a Condor, Panther-black fur and wings
15	越过茂密的树梢，扫视着林冠 Cresting over thick treetops, scanning the canopy
16	迅速躲入掩体，感知到巨龙的飞行 Darting into cover, sensing a Dragon's flight
17	正在保护一位倒下的游侠免受使用网子的豺狼人攻击 Defending a fallen Ranger from Gnolls with nets
18	正在吞噬一匹战马，连同马铠一起 Devouring a Destrier, Barding and all
19	俯冲向一名德维什弓箭手 Diving towards a Dervish Archer
20	正将一条巨蛇拖上陡峭的斜坡 Dragging a humungous Snake up a steep slope
21	向地精营地投掷腐烂的臭瓜 Dropping rotting Stink Melons on a Hobgoblin camp
22	短暂地从云层中现身 Emerging from a bank of clouds briefly
23	被云巨人的网缠住 Entangled in a Cloud Giant's Net
24	正在撕碎一个偷蛋贼，发现他正悄悄靠近她的巢穴 Eviscerating an Egg Thief, found creeping toward her Nest
25	对一顶镶嵌宝石的闪亮王冠垂涎不已 Fawning over a shiny, gem-studded Crown
26	正在享用鱼类，这些鱼是它在水面附近熟练捕获的 Feasting on Fish, expertly caught near the water's surface
27	为争夺最佳栖息地而激烈打斗，场面非常暴力 Fighting over a prime Roosting location, very violent
28	快速拍动翅膀，选择适宜的降落地点 Fluttering rapidly as they select a suitable landing site
29	怒视着远处霸占热源的飞龙 Glaring at distant thermal-hogging Wyverns
30	优雅滑翔，突然收翼俯冲 Gliding effortlessly, folding their wings to suddenly dive
31	紧握着一座巨型雕像伸出的手臂 Gripping onto the outstretched arm of a titanic Statue
