1d30	活动-琥珀魔像
1	被远处微弱的声音突然激活 Activating suddenly at a faint, distant sound
2	内部闪耀着明亮的光芒，熊熊燃烧 Burning brightly with a brilliant internal glow
3	无声地沿着狭窄走廊悄然前行，散发着自信的气息 Noiselessly padding down a narrow hallway, dripping confidence
4	小心翼翼地追踪一群无声的熊地精，享受挑战的乐趣 Carefully stalking some silent Bugbears, relishing the challenge
5	蹲伏着，肩胛骨歪斜，即将跃起 Crouching, shoulder blades askew, about to leap
6	陶醉地发出呼噜声，在石化猫薄荷中打滚 Purring rapturously as they roll around in petrified catnip
7	做着被人伺候得无微不至的断续梦境 Dreaming fitful dreams of being waited on hand and foot
8	发出刺耳的摩擦声，舔舐清洁自己的爪子，偶尔迸出火花 Rasping as they lick their paws clean, occasional spark flying
9	将又一只巨型老鼠丢在祭坛附近的堆上 Dropping yet another Giant Rat in a pile near an altar
10	在击杀一名法师后，返回他们镶嵌宝石的祭坛 Returning to their bejeweled Dais after slaying a Sorcerer
11	在静止的水池中悲伤地审视自己崇高的倒影 Examining their sublime reflection in a still pool ruefully
12	用狭窄而发光的眼睛扫描一间昏暗的房间 Scanning a dimly lit room with narrow, luminous eyes
13	再次探索他们熟悉的领地，路线已牢记于心 Exploring their well-traveled territory once more, memorized
14	用后腿猛烈地抓挠耳朵 Scratching their ear with a furiously moving hind leg
15	尾随一群哥布林，享受追猎的乐趣 Following a group of Goblins, savoring the chase
16	察觉到入侵者，焦糖色的耳朵微微颤动 Sensing an intruder, caramel colored ears twitching
17	守卫一座藏有不朽圣徒遗骸的墓穴 Guarding a crypt containing an incorruptible Saint's corpse
18	不耐烦地甩动着他们金色的、蜂蜜色的尾巴 Swishing their golden, honey colored tail impatiently
19	在一尊形似蛇类的奇异雕像前停下并鞠躬 Halting and bowing before a Statue of a strange, snakelike figure
20	小心翼翼地用炽热的琥珀色爪子试探其领地边界 Testing their territorial limits cautiously with a sizzling amber paw
21	通过消灭一切生命来将狩猎技能磨砺至极致 Honing hunting skills to the finest of points by eliminating all life
22	戏弄一群穴居人，享受罕见狩猎的刺激 Toying with a troop of Troglodytes, savoring the thrill of a rare hunt
23	正在检查它们如弯刀般大小的水晶爪 Inspecting their Scimitar sized, crystalline claws
24	以奇迹般的优雅穿越一条极其狭窄的岩壁边缘 Traversing an extremely narrow ledge with miraculous grace
25	寻找隐形入侵者，其被一击后显现身形 Locating an invisible intruder, who blinks into sight with a swipe
26	正在解开一具木乃伊法师的裹尸布 Unravelling the wrappings of a Mummified Medium
27	用它们的爪子在石头上刻下奇怪的象形文字 Marring strange hieroglyphic carvings with their claws
28	凶残地撕咬美杜莎，寻找神圣的秘密 Viciously mauling a Medusa, searching for Divine secrets
29	正遵从一位戴着华丽猫面具的侍僧的命令 Obeying orders from an Acolyte in an ornate, feline Mask
30	扑向一位被淫秽壁画分心的圣骑士 Pouncing on a Paladin, distracted by salacious frescoes
