1d100	活动-盗匪
1	久经考验的策略：用大树干堵住道路 A time-tested strategy: Block the path with large tree trunks
2	欣赏一件强大的新武器：半驯服的大象 Admiring a powerful new weapon: Semi-trained Elephant
3	自娱自乐地试戴奢华的羽饰帽子 Amusing themselves by trying on extravagant plumed hats
4	一位精灵王子正成为棘手的赎金对象 An Elf Prince is proving to be a troublesome ransom
5	为争夺一把镶嵌珍珠或角柄的匕首而争吵 Arguing over who should claim a dagger with a pearl/horn hilt
6	正在为家乡村庄组装一份非法所得的爱心包裹 Assembling a care package of illicit gains for their home village
7	用慢火炭烤一头偷来的小牛 Barbequing a stolen calf over low-and-slow coals
8	开始怀疑他们中的一员是魔鬼猪人 Beginning to suspect that one of their number is a Devil Swine
9	被首领训斥，因从修士那里偷了施舍品 Being lectured by a leader after stealing alms from a Friar
10	正在斥责一名伪造官方赦免令的文书 Berating a scribe as he forges official-looking pardons
11	被当地树妖迷惑，强迫性地种植树木 Bewitched by a local Dryad, compulsively planting trees
12	"欺骗农民，声称一根“魔法”魔杖能制造降雨 Bilking farmers by claiming a ""magic"" wand can create rain"
13	正在梳理他们那显然是被盗的骏马 Brushing their fine and obviously stolen horses
14	搭建篝火以销毁证据 Building a bonfire to destroy evidence
15	庆祝异教圣日，举行盛宴与舞蹈 Celebrating a pagan holy day with a feast and dancing
16	为一场决定领导权的摔跤比赛欢呼 Cheering a wrestling match that will determine leadership
17	抱怨又吃到了发霉的面包和奶酪…… Complaining about stale bread/moldy cheese for meals…again
18	密谋将他们的首领交给悬赏她的人 Conspiring to turn their leader in for the bounty on her head
19	应对他们首领实为皇室血脉的惊人真相 Coping with the revelation that their leader is of royal blood
20	正在向当地半身人社区收取保护费 Counting protection-money from a local Halfing community
21	因偷羊而被独眼巨人诅咒 Cursed by a Cyclops for mutton rustling
22	正在将一名被捕的同伴从绞索上解救下来 Cutting down an apprehended comrade from his noose
23	互相怂恿喝下食尸鬼血以获得治愈能力 Daring each other to drink Thoul blood to gain healing powers
24	讨论如何安全销赃一个偷来的头骨（圣物） Debating how to safely fence a stolen skull (holy relic)
25	挖掘壕沟，使该区域更易于防御骑兵攻击 Digging trenches to make an area more defensible from calvary
