1d100	活动-盗虻
1	附着在高处的角落栖息 Affixing themselves to a high corner perch
2	停在一盏吱嘎作响的枝形吊灯上 Alighting on a groaning chandelier
3	伏击任何正在螺旋楼梯上攀爬的生物 Ambushing anything ascending a spiral stair
4	惹恼一座岩石活雕像 Annoying a Rock Living Statue
5	暗杀一只倒霉的兵蚁 Assassinating an unlucky Driver Ant
6	正试图从巨型蜘蛛网中挣脱出来 Attempting to untangle themselves from a Giant Spider's web
7	在钟乳石边缘危险地保持平衡 Balancing perilously on the side of a stalactite
8	被独眼巨人拍飞 Being swatted away by a Cyclops
9	围攻杀人蜂巢：沿其归途设伏 Besieging a Killer Beehive: planted along their route home
10	误闯入狗头人营地 Blundering into a Kobold camp
11	以刺耳的共鸣声喧闹地嗡嗡作响 Bombinating obstreperously with piercing resonance
12	钻入虎甲虫厚实的甲壳中 Boring into the thick carapace of a Tiger Beetle
13	对闪烁的火炬不停发出嗡嗡声 Buzzing relentlessly at a flickering torch
14	在走廊天花板上露营 Camping out on a corridor ceiling
15	携带着各种不寻常的疾病 Carrying all manner of unusual Diseases
16	谨慎地围绕着一具鹿尸盘旋 Circling a Deer carcass cautiously
17	紧紧抓住一块破旧的挂毯 Clasping tightly to a tattered tapestry
18	笨拙地攀爬在非常光滑的表面上 Climbing clumsily up a very slick surface
19	前肢紧紧抓着一只死蛇 Clutching a dead Snake securely in its forelegs
20	疯狂地来回穿梭，寻找猎物 Darting to-and-fro frantically in search of prey
21	将卵产在仍存活的火甲虫体内 Depositing eggs in a still living Fire Beetle
22	溶解一头死骡子的内脏 Dissolving the insides of a dead Mule
23	俯冲攻击一名德鲁伊 Divebombing a Druid
24	被不卫生的山丘巨人所吸引 Drawn to an unhygienic Hill Giant
25	在凉爽的气流中懒洋洋地飘荡 Drifting lazily on cool wind currents
26	从水坑饮水，以滴落的水为食 Drinking from a puddle, fed by dripping water
27	在吸干一个矮人后，满意地嗡嗡作响 Droning contentedly after draining a Dwarf
28	躲避巨型蟾蜍的粘舌 Eluding the sticky tongue of a Giant Toad
29	从一只嗅探的巨型鼩鼱的尖嘴中逃脱 Escaping from the pointy maw of a snuffling Giant Shrew
30	消灭拥有魔法治愈蜂蜜的巨蜂群落 Exterminating a colony of Giant Bees with Magical Healing Honey
31	从洞穴蝗虫体内吸取液化内脏 Extracting the liquified insides of a Cave Locust
32	从散发腐肉气味的奇异花朵中吸取花蜜 Feeding on nectar from strange carrion-scented blooms
33	轻弹其分节的触角 Flicking its segmented antennae
34	反复振翅，试图找到落脚点栖息 Fluttering repeatedly, attempting to find purchase to perch
35	模仿肥胖的巨型大黄蜂，愚弄猎物 Fooling its prey as a fat-bodied Giant Bumblebee mimic
36	疯狂地与一只Rhagodessa搏斗 Frantically grappling with a Rhagodessa
37	用其巨大的异形眼睛瞪着路过的行人 Glaring with its large alien eyes at passersby
38	抓住一个侏儒，但难以将其带走 Grabbing a Gnome, but struggling to carry her away
39	小心翼翼地抓着一只抽搐的巨鼠，正吸食其内脏 Holding a twitching Giant Rat gingerly as it slurps out its insides
40	在食尸鬼晚餐的腐臭残骸周围盘旋 Hovering around the putrid remains of a Ghoul's supper
41	几乎以音乐般的嗡嗡声吸引猎物 Humming almost musically to attract prey
42	无视一队巡逻的骷髅 Ignoring a patrolling band of Skeletons
43	用凶恶的口器刺穿一名偷猎者 Impaling a Poacher with a wickedly appointed proboscis
44	在异常温和的冬季后，该地区被大量侵扰 Infesting the area after an exceptionally mild Winter
45	向沉睡的熊地精注入麻痹酶 Injecting paralyzing enzymes into a sleeping Bugbear
46	热情地调查一个散发恶臭的垃圾堆 Investigating a stinking rubbish heap enthusiastically
47	用刺吸式口器徒劳地戳刺蜥蜴人鳞片覆盖的皮肤 Jabbing mouthparts futilely against the scaly hide of a Lizard Man
48	毫无预警地跳跃，惊扰了隐藏的盗匪 Jumping without warning and startling a hidden Bandit
49	在笨拙的飞行中撞倒椅子，试图逃离一只巨型蜥蜴 Knocking over chairs in clumsy flight as it flees a Giant Lizard
50	轻盈地降落在散发酸味的巨型蘑菇上 Landing delicately on a sour-smelling Giant Mushroom
51	在角落里整齐地排布苹果大小的卵 Laying a uniform line of Apple-sized eggs in a corner
52	从栖息处跃起，避开渗出的绿色粘液 Leaping from a perch to avoid an oozing Green Slime
53	液化兽人的内脏 Liquifying the organs of an Orc
54	大声吸食巨型月蛾的内脏 Loudly slurping out the insides of a Giant Luna Moth
55	向影子猛扑未果 Lunging unsuccessfully at a shadow
56	潜伏在绝佳栖息地：马雕像的腹部 Lurking in a prime perch: Belly of a Horse Statue
57	翅膀湿漉，笨拙地在地面上蜿蜒爬行 Meandering awkwardly across the ground with wet wings
58	在一片几乎被蛛网完全覆盖的区域中艰难穿行 Negotiating an area almost completely filled with Webs
59	环绕着拖拽死牛的食人魔飞行 Orbiting an Ogre hauling a dead Cow
60	巧妙避开一只摇晃的黑布丁 Outmaneuvering a wobbling Black Pudding
61	正在追赶一只跳跃的巨型蚱蜢 Overtaking a leaping Giant Grasshopper
62	用始终警觉的、葡萄柚大小的红色复眼凝视着 Peering, with ever watchful red, grapefruit-sized compound eyes
63	栖息于门道上：一种高效的捕猎策略 Perching over doorways: an effective hunting strategy
64	在半空中从地板上抓起一只巨型蜈蚣 Plucking a Giant Centipede from the floor, midflight
65	用喙刺穿精灵的皮甲 Plunging their proboscis clean-through an Elf's Leather Armor
66	用细长的前腿梳理毛茸茸的脸部 Preening fuzzy faces with their spindly forelegs
67	击穿一个大地精穿着的板甲 Punching through Plate Armor, worn by a Hobgoblin
68	栖息在一座生锈的铁笼顶上 Resting atop a rusty Iron Cage
69	搓着细长的前腿，仿佛在密谋着什么 Rubbing its spindly forelegs together as if scheming
70	寻找温暖的活体以产卵 Seeking a warm, living creature in which to lay eggs
71	抓住一只巨型蟹蛛，紧贴在墙壁上 Seizing a Giant Crab Spider, clinging to a wall
72	作为邪恶的暗影妖精的坐骑 Serving as mounts for wicked, Unseelie Sprites
73	停在一具枭熊尸体上 Settling on an Owlbear corpse
74	因远处一声巨响而微微颤抖 Shuddering slightly at the sound of a distant slam
75	刺穿一只膨胀的吸血蝙蝠 Skewering a bloated Stirge
76	在浑浊的池塘表面掠过 Skimming the surface of a cloudy pool
77	在天花板上跳跃，惊扰栖息中的蝙蝠 Skipping across the ceiling, disturbing roosting Bats
78	抓走一个尖叫的地精 Snatching a screaming Goblin
79	扑向一只投弹甲虫 Springing upon a Bombardier Beetle
80	蹲伏在阴暗角落，伺机发动攻击 Squatting in a shadowy corner, waiting to strike
81	正将其条纹腹部挤过箭缝 Squeezing its striped abdomen through an Arrow Slit
82	不恰当地降落惊动了尖叫蕈 Startling a Shrieker with an inopportune landing
83	驻扎在离巨蛙舌头范围较远的地方 Stationing well out of tongue range from a Giant Frog
84	与巨型蝎子搏斗 Struggling with a Giant Scorpion
85	让极为谨慎的盗贼大吃一惊 Surprising an extremely cautious Thief
86	从高处密切观察周围区域 Surveying the area closely from a high position
87	围绕一条死去的巨型鲶鱼群集飞舞 Swarming around a dead Giant Catfish
88	突然俯冲向毫无戒备的腐尸爬行者 Swooping suddenly toward an unsuspecting Carcass Crawler
89	察觉到无形威胁后，全体一致振翅起飞 Taking Wing in unison after sensing some unseen threat
90	在试图抓住铁链时摇摇晃晃，站立不稳 Teetering and unsteady while trying to hang on an Iron Chain
91	鼓动且充满卵子，急切想要产卵 Throbbing and gravid with eggs and eager to oviposit
92	在厚窗上单调地嗡嗡作响 Thrumming monotonously upon a thick window
93	紧紧抓住踉跄僵尸的背部 Tightly gripping the back of a lurching Zombie
94	与愤怒的侍僧扭打在一起 Tussling with an angry Acolyte
95	抖动翅膀以保持依附时的平衡 Twitching wings to maintain their balance as they cling
96	低估了一只饥饿巨蝠的敏捷性 Underestimating the agility of a hungry Giant Bat
97	初次展开发皱的翅膀，刚完成蛹化 Unfurling their wrinkled wings for the first-time post-pupation
98	体型巨大的样本，偶尔被狗头人骑乘 Very large specimens, occasionally ridden by Kobolds
99	耐心等待瘟疫使者教徒喂食 Waiting patiently to be fed by Plague-bringer Cultists
100	伏击一位中阶法师，试图研究古代铭文 Waylaying a Medium, attempting to study ancient inscriptions
