1d100	活动-石化蜥蜴
1	巧妙地伪装在成簇的翠绿苔藓中 Adeptly camouflaged by clumps of verdant moss
2	欣赏他们的储藏室，里面堆满了花岗岩矮人雕像 Admiring their larder, stacked high with diorite Dwarfs
3	正在搭建一个由完美雕刻的脆弱燧石叶片构成的嘈杂巢穴 Assembling a noisy nest of perfectly sculpted fragile flint fronds
4	非典型地以水果为食，欣赏着他们那堆石化果实 Atypically frugivorous, admiring their pile of petrified fruits
5	因最近与骷髅遭遇而战痕累累 Battle-scared from a recent run-in with Skeletons
6	开始进入冬眠状态，不断打哈欠 Beginning to brumate, and yawning constantly
7	"被蒙眼的炼金术士“取毒”用于制作药剂原料 Being ""fang-milked"" for potion reagents by a blindfolded Alchemist"
8	心满意足地打着嗝，旁边是一根布满牙印的柱子 Belching contentedly over a column covered in teeth marks
9	大声吼叫，尾巴被陷阱夹住 Bellowing loudly, tail caught in a trap
10	被一只胆怯的巨型鼹鼠逗乐了 Bemused by a skittish Giant Mole
11	与自己争吵：一种极为罕见且致命的双头变种 Bickering with itself: a very rare and deadly two-headed variant
12	贪多嚼不烂：那些其实是卡里亚特石柱 Bit of more than they could chew: Those are Caryatid Columns
13	几支标枪仍插在它们鳞片覆盖的皮肤上，鲜血直流 Bleeding from several javelins still stuck in their scaly hide
14	正在享用金伯利岩狗头人的早餐 Breakfasting on a kimberlite Kobold
15	小心翼翼地引诱一只鼓胀的蟾蜍到母鸡的巢上 Carefully coaxing a bloated toad onto a hen's nest
16	因意外被永久魅惑，正在寻找一位巫师朋友 Charmed permanently by a mishap, seeking a Wizard-friend
17	被一群天然免疫的猫鼬追赶 Chased by a mob of Mongooses, naturally immune
18	正在啃食一只钙化的洞穴蝗虫 Chomping on a calcified Cave Locust
19	盘踞在一只半被石化的飞龙残骸上 Coiled atop a half-eaten stone Wyvern
20	与一位蜥蜴人萨满用断断续续的梅杜莎语缓慢交谈 Conversing slowly in halting Medusa with a Lizard Man shaman
21	渴望寂静：凝视着鸟儿坠落并碎裂 Craving silence: Glancing at birds who fall and shatter
22	像嚼花生糖一样嘎吱嘎吱地啃食石板 Crunching on sheets of slate like peanut brittle
23	用后牙碾碎石灰石小石子 Crushing limestone pebbles with flat back-teeth
24	白日梦回远古时代，那时世界由鳞族统治 Daydreaming of eons past, when the world was ruled by the scaly
25	正在享用石英夸塞魔 Dining on quartz Quasit
26	因吞食了一群石棉羊而腹部膨胀 Distended belly from devouring a herd of asbestos Sheep
27	扩张下颚，将一只圆滚滚的巨型甲虫整个吞下 Distending jaws to swallow a bulbous Giant Beetle whole
28	拖着一只燧石公羊，发出刺耳的刮擦声 Dragging around a chert Ram with a scraping sound
29	因近期晒太阳而格外敏捷，正在狩猎 Especially swift from a recent bask, hunting
30	双眼紧闭，彼此绕圈对峙，雄性石化蜥蜴展开较量 Eyes firmly shut and circling each other, males square off
31	脸上覆盖着肿胀的吸血蝙蝠，正抓挠着它们 Face covered with intumescent Stirges, scratching at them
32	饥肠辘辘，逃脱的美杜莎宠物，戴上口套以防破坏艺术品 Famished, escaped Medusa pet, muzzled to prevent ruining art
33	正在享用一座乳白色大理石雕刻的萨提尔雕像 Feasting on a creamy white marble sculpture of a Satyr
34	假装沉睡，鼾声过于规律，显得不够真实 Feigning slumber unconvincingly with too-rhythmic snores
