1d100	活动-穴蜥人
1	伴随他们的萨满进行神圣游行 Accompanying their Shaman on a holy procession
2	用异域多彩的羽毛装饰自己 Adorning themselves with exotic, colorful feathers
3	伏击毫无防备的食人魔 Ambushing an unsuspecting Ogre
4	对经验不足的幼崽大声下达命令 Barking orders to inexperienced juveniles
5	在热力通风口旁享受温暖空气 Basking in warm air from a thermal vent
6	将鳞片融入苔藓覆盖的墙壁以隐藏身形 Blending their scales to match a moss-covered wall
7	用巨型蜈蚣毒液吹箭射击矮人 Blow-darting a Dwarf with Giant Centipede venom
8	用加热的石头煮一锅浓稠的汤 Boiling a soupy concoction with heated stones
9	在洞穴葫芦中精炼腐尸爬行者毒素 Brewing refined Carcass Crawler toxins in Cave Gourds
10	长途行军后扎营，为守夜争吵 Camping after a long march, arguing over watches
11	正在用洞穴软体动物的壳雕刻精致复杂的珠宝 Carving intricate/delicate jewelry from Cave Mollusk Shells
12	发出高音鸣叫警告声以提醒部落 Chirping high-pitched warning sounds to alert the tribe
13	沿着走廊小心翼翼地爬行，颈褶竖起 Creeping along a corridor cautiously, frills erect
14	穿越一个充满危险的苍白食人鱼的水池 Crossing a pool filled with treacherous pale Piranha
15	在战略位置培育尖叫者警戒蘑菇 Cultivating Shrieker watch-shrooms in strategic locations
16	听到突然声响后，鳞片本能地变暗 Darkening scales reflexively after hearing a sudden sound
17	用闪亮的石头或物品装饰小骨堆神龛 Decorating small bone-pile shrines with shiny stones/items
18	击败一群蟹蛛，为晚餐准备一顿脆脆的美食 Defeating a colony of Crab Spiders for a crunchy supper
19	守护一个潮湿温暖的巢穴，遍布着坑洞 Defending a humid and warm nesting site, dotted with craters
20	脱下尾巴以分散饥饿的枭熊的注意力 Detaching their tails to distract a hungry Owlbear
21	在腐烂的木头中挖掘，寻找美味蠕动的蛴螬 Digging into rotting wood, seeking delicious wriggling Grubs
22	喝着偷来的酒，变得相当喧闹 Drinking stolen Wine and growing quite rowdy
23	正在享用烤巨型老鼠，数量充足，人人有份 Eating roasted Giant Rat, plenty to go around
24	搭建粗糙的木栅栏以抵御入侵的狗头人 Erecting crude palisades to keep invading Kobolds at bay
25	在侏儒吞并的领土内建立立足点 Establishing a foothold within territory annexed by Gnomes
26	挖掘他们被遗忘的某位神祇的化石骨架 Excavating a fossilized skeleton of one of their forgotten Gods
27	排泄恶臭分泌物，使贤者学徒的眼睛流泪 Excreting foul secretions, watering eyes of a Sage's Apprentice
28	种植一排排巨大的蘑菇作为食物 Farming row upon row of massive Mushrooms for food
29	用奇特骨头制作带有邪恶倒刺的鱼叉 Fashioning wickedly barbed harpoons from unusual bones
30	空气中弥漫着他们那令人作呕的恶臭 Filling the air with their offending stench
