1d20	活动-绿软泥
1	从鱼形喷泉中满溢而出 Brimming up from a Fish-themed fount
2	沿着开阔通道如滑腻的帘幕般倾泻而下 Cascading down an open passageway in slimy sheets
3	接触点燃的火把托架时凝结成块 Clotting on contact with a lit torch sconce
4	在寒冷的空气中略微凝结 Congealing slightly in the chilly air
5	正在腐蚀支撑桥梁的金属链条 Corroding the metal chains that support a bridge
6	与地面上的粉状白垩接触时发出噼啪声 Crackling on contact with a chalky powder on the floor
7	在恶魔面孔雕刻上滴落着粘稠的绿色黏液 Dribbling in gooey smears over a devil face carving
8	从蓄水池龙头中流淌出粘稠的绿色黏液团 Flowing from cistern spigots in phlegmy gobs
9	正悄然滑向一只毫无戒备、栖息着的尸骸爬行者 Gliding towards an unsuspecting perched Carcass Crawler
10	从松动的石砌物中喷涌而出 Gushing out of a loose piece of masonry
11	从天花板的裂缝中渗漏下来 Leaking down from a crack in the ceiling
12	在兽人的尸体上缓缓蠕动 Oozing over the body of an Orc
13	颤抖着，似乎嵌入了微小的贝壳 Quivering, seemingly embedded with tiny shells
14	从门框顶部滑落下来 Sliding down from the top of a doorway
15	正在浸泡一位部分烧伤的牧师 Soaking a partially burned Cleric
16	黏附在一个狂乱的狂战士身上，即将自焚 Sticking to a frenzied Berserker, about to self-immolate
17	正从一处装饰华丽的箱子上流下 Streaming down onto a heavily decorated chest
18	包裹着一把镶嵌宝石的剑鞘，剑已无用 Swathing a gem-studded scabbard, sword useless
19	从一名中等体型生物的后颈缓缓滴落 Trickling down the back of the neck of a Medium
20	从活雕像的蛋白石眼睛中渗出泪水 Weeping from the opal eyes of a Living Statue
