1d100	活动-蛇发妖
1	指责一座青金石蜥蜴人雕像不忠 Accusing a Lapis Lazuli Lizard Man Statue of infidelity
2	正在挑选并佩戴从战利品中精选的珠宝 Adorning herself with selectively salvaged Jewelry
3	在星光女神的神殿中为过失赎罪 Atoning for indiscretions at a Shrine to the Starlit Goddess
4	严厉地凝视着匍匐在地的哥布林 Austerely glaring at a groveling Goblin
5	在无法熄灭的火焰旁慵懒地晒太阳 Basking languorously near an unquenchable Flame
6	用银铃召唤他们的活体雕像仆从 Beckoning their Living Statue Servitor with a Silver Bell
7	用她曼妙的身影迷惑一名强盗 Beguiling a Brigand with her shapely shadow
8	被狂战士凝视，迅速石化成玄武岩 Beheld by a Berserker, swiftly stiffening into Basalt
9	蒙眼尸体证明了她致命的蛇发 Blindfolded corpses attest to her lethal tresses
10	放血：石榴石般的血滴流动并形成致命的角蝰 Bloodletting: Garnet droplets flow and form into deadly Asps
11	在跪拜的石像鬼面前脸红 Blushing before a genuflecting Gargoyle
12	将多余的蛇毒唾液装瓶出售给刺客 Bottling surplus Serpent Spittle to sell to Assassins
13	刺耳地咯咯大笑，导致一座牧师雕像裂开 Cackling cacophonously, causing a Cleric Statue to crack
14	妖娆地依偎在一根精美雕刻的柱子上 Clinging seductively to an exquisitely carved Column
15	为保护情人，她通过魔法项链披上斗篷 Cloaked for her Paramour's protection via Magical Necklace
16	将一把波浪形刀刃的匕首浸入滴落的毒液中 Coating a wavy bladed Dagger in dripping Venom
17	将她们的蛇发盘成一个复杂且非常时尚的发髻 Coiling their coiffure into an intricate, very fashionable, bun
18	向一位聚合召唤师倾诉，持续目瞪口呆 Confiding in a Conglomerate Conjurer, enduringly agape
19	密谋垄断艺术品市场以资助她奢华的生活方式 Conniving to corner the Art Market to fund her lavish lifestyle
20	对一条巨大的眼镜蛇低声细语，这是她永恒的伴侣 Cooing to an enormous Cobra, a constant companion
21	头戴红、白、黑三色冠冕：珊瑚蛇 Crowned in crimson, cream, and coal: Coral Snakes
22	碾碎一只石化的金丝雀，无休止的歌唱惹恼了她 Crushing a Calcified Canary, incessant singing annoyed her
