1d100	活动-豺狼人
1	从敌对部落绑架一尊鬣狗头神圣雕像 Abducting a hyena-headed sacred statue from a rival pack
2	从两侧袭击商队，首先攻击驮兽 Attacking a Caravan from both sides, starting with pack animals
3	躲避独眼巨人哨兵的警觉目光 Avoiding the watchful gaze of a Cyclops sentry
4	露出獠牙，试图恐吓一群哥布林 Baring their teeth to intimidate a group of Goblins
5	对受压迫的下属大声发号施令 Barking orders to downtrodden subordinates
6	为一块富含骨髓的股骨争吵不休 Bickering over a marrow-rich femur
7	跳蚤叮咬让他们不停地抓挠 Biting fleas keep them in a constant state of scratching
8	向持怀疑态度的强盗头目吹嘘自己的勇猛或人数 Bluffing about their prowess/numbers to skeptical Brigand leader
9	与一头枭熊一同跃入战场 Bounding into battle with an Owlbear
10	挥舞着肮脏的短剑，剑尖沾染着旋毛虫病 Brandishing filthy bodkins, tipped with trichinosis
11	正在欺负一个食人魔，逼他交出晚餐：一匹烤马 Bullying an Ogre out of his dinner: a roasting Horse
12	一边狂喜地咯咯笑着，一边劈开偷来的箱子 Cackling gleefully while hacking open a stolen chest
13	正在截获一批武器，意图阻止他们 Capturing a shipment of weapons, sent to stop them
14	向现任女族长发起挑战以争夺统治权 Challenging the current Matriarch for dominance
15	大声交谈着，同时收拾睡垫 Chattering loudly as they pack up sleeping mats
16	悲伤地咀嚼着骡子肉条 Chewing on strips of Mule meat ruefully
17	围绕游牧营地徘徊，企图偷取物资 Circling a Nomad encampment, hoping to steal supplies
18	与一支矮人氏族发生冲突 Clashing with a clan of Dwarfs
19	聚集在路边被亵渎的神龛前瓜分战利品 Congregating at a desecrated roadside shrine to split up spoils
20	围堵一名同伙，指责其私藏战利品 Cornering a pack member, accused of holding out on them
21	挥动鞭子，囚犯们拖拽着满载赃物的雪橇 Cracking whips as Prisoners pull a sledge of stolen goods
22	饿得发慌，正追逐一只巨型老鼠 Dashing after a Giant Rat, starving
23	保卫领地免受狂战士的侵犯 Defending their territory from Berserkers
24	亵渎古墓以寻找宝藏 Desecrating a barrow in search of treasure
25	正在吞食从附近村庄偷来的牲畜 Devouring rustled livestock from a nearby village
