1d30	活动-风暴巨人
1	欣赏远方狂暴风暴中的闪电雷鸣 Admiring the distant fulmination from a violent Tempest
2	正在援助一匹被狂风吹离航线的飞马 Aiding a Pegasus, blown off course by high winds
3	用银色符文加固他们的堡垒 Bulwarking their fortress with silver sigils
4	召唤乌云与狂风 Calling forth dark clouds and high winds
5	借助巨型大鹏鸟之力，征服一片新的云层。 Conquering a new cloudbank, with the aid of Giant Roc
6	沉思于一场喧嚣的暴雨 Contemplating a cacophonous cloudburst
7	粉碎一支牛头人入侵部队 Crushing a Minotaur invasion force
8	在巨人氏族代表之间主持正义 Dispensing justice between representatives of the Giant Clans
9	用巨大的海啸淹没混乱海盗的避难所 Flooding a Chaotic Pirate Haven with a massive Tsunami
10	洋洋得意地驱赶海蛇 Gloating as they drive off a Sea Serpent
11	畅饮天界杀人蜂蜂蜜酒 Guzzling heavenly Killer Bee mead
12	从他们的云果园中采摘魔法苹果 Harvesting Magical Apples from their Cloud Orchards
13	向一条蓝龙投掷巨大的三叉戟 Hurling massive Tridents at a Blue Dragon
14	将邪恶的尸妖囚禁于其被遗弃的古冢之中 Immuring an evil Wight within their forsaken Barrow
15	向入侵的熊地精军队投掷闪电箭 Launching lightning bolts at an invading Hobgoblin army
16	向饥饿的村庄放下装满食物的桶 Lowering a bucket of Food to a starving Village
17	正在调解美人鱼与水手之间的和平条约 Negotiating a peace treaty between Mermen and Sailors
18	推翻一只残忍且报复心强的龙龟，需要援助 Overthrowing a cruel and vindictive Dragon Turtle, need aid
19	平息狂暴的风暴，以便朝圣者能够继续前行 Quelling a savage storm, so that Pilgrims may proceed
20	召集他们的巨型螃蟹盟友进行检阅 Rallying their Giant Crab allies for inspection
21	征用锯齿状魔法标枪：投掷时释放闪电 Requisitioning jagged Magical Javelins: Lightning when thrown
22	奖励一位虔诚的圣骑士一匹狮鹫坐骑 Rewarding a pious Paladin with a Hippogriff mount
23	使空气中充满臭氧和静电 Saturating the air with ozone and static electricity
24	第二次袭击同一座邪恶巫师的塔楼 Striking the same evil Wizard's tower, for the second time
25	在浪尖或云层之上翻涌，陶醉于狂风之中 Surging atop waves/cloudbanks, reveling in high winds
26	淹没一家经营邪恶遗物的商人联合会 Swamping a Merchant Consortium, that deals in Evil Relics
27	将他们的狮鹫从鹰舍带出，去猎杀双足飞龙 Taking their Griffons out of the hawkery to hunt Wyverns
28	对城堡附近的贸易征税，并将所得捐赠给需要帮助的人 Taxing all trade near their Castle, and donating to the needy
29	痛击一群为豺狼人装备的野蛮火巨人 Trouncing a band of brutish Fire Giants for equipping Gnolls
30	在狂烈的风暴中打滚，心满意足地微笑 Wallowing in a violent windstorm, smiling contently
