1d100	活动-食尸鬼
1	作为某种奇特苦行的一部分，禁食血肉 Abstaining from flesh as part of some strange penance
2	发现踪迹后向同伴发出警报 Alerting others after spotting some tracks
3	语无伦次地胡言乱语，因库鲁病而神志不清 Babbling incoherently, brains addled by Kuru
4	暗中背叛他们事实上的群体领袖 Backstabbing their de facto pack leader
5	敲打锅碗瓢盆以吸引猎物 Banging pots and pans together to attract prey
6	露出漆黑、破损的牙齿，发出谄媚的笑容 Baring blackened, chipped teeth in simpering grins
7	使一名强盗麻痹，以搜寻战利品 Benumbing a Bandit in search of plunder
8	为一位编篮匠的尸体争吵不休 Bickering over the body of a Basket-maker
9	用黑暗的咒骂语玷污通用语 Butchering the Common Tongue by inserting dark invectives
10	发出阴森刺耳的狂笑 Cackling with stygian glee
11	小心翼翼地从一个看似腿部的部位切下肉块 Carefully slicing portions off what appears to be a leg
12	庆祝同伴的苏醒之日 Celebrating a companion’s day of Rising
13	向所有挑战者发起一场恶心的进食比赛 Challenging all comers to a disgusting eating competition
14	正在咀嚼软骨的坚韧碎块 Chewing on gristly chunks of cartilage
15	因无意间挖出圣徽而喧闹不已 Clamoring after inadvertently unearthing a Holy Symbol
16	抓挠棺材的盖子 Clawing at the lids of their coffins
17	用令人作呕的咔嚓声劈开绿色的骨头 Cracking open green bones with sickening snaps
18	用撬棍撬开沉重的石棺 Crowbarring open a heavy marble sarcophagus
19	疯狂地围绕一名被冻结的战士跳舞 Dancing frantically around a frozen Fighter
20	因食物匮乏而轻微腐烂 Decomposing slightly due to a lack of food
21	给受伤的同伴送去一桶血肉 Delivering a bucket of gore to a wounded pack member
22	正在吞噬死去的变形怪，每咬一口，面孔都会随之变幻 Devouring dead Doppelgänger, faces fluctuate with every bite
23	挖掘匆忙埋葬的冒险者以享用快餐 Digging up a hastily buried Adventurer for a quick snack
24	正在解剖一只被麻痹的豺狼人战士 Disemboweling a paralyzed Gnoll Warrior
25	躲避由有备而来的队伍投掷的圣水瓶 Dodging a vial of Holy Water, flung by a prepared Party
26	拖拽着一动不动的侍从 Dragging a stock-still Squire
27	倾倒葬礼骨灰瓮 Dumping out funerary Urns
28	正在啃食一位不幸且失去行动能力的探险者 Eating an incapacitated and ill-starred Explorer
29	用亚麻布包裹尸体 Enshrouding a corpse in linen sheets
30	逃离疯狂死灵法师的实验 Escaping from a crazed Necromancer's experiments
31	为一堆灰烬致悼词：一位同伴因信仰而化为尘埃 Eulogizing a pile of ashes: a packmate turned to dust by Faith
32	正在剖开一只巨鼠的腹部，仅剩胡须微微颤动 Eviscerating a Giant Rat, only its whiskers slightly twitching
33	猛烈地撕咬绑住手腕的绳索 Ferociously biting at ropes that bind their wrists together
34	满身蛆虫和适应了不死生物血肉的蛆虫在腐烂 Festering with grubs and maggots adapted to Undead flesh
35	因圣骑士盾牌发出的光芒而畏缩 Flinching from the light emitted from a Paladin's Shield
36	磨牙吐沫，被坚固的锁链束缚：暂时如此 Gnashing and foaming, fettered by sturdy chains: for now
37	啃食一具血肉模糊的肋骨 Gnawing on a carnage covered ribcage
38	贪婪地从大锅中吞食大块的内脏 Greedily swallowing huge hunks of offal from a cauldron
39	狼吞虎咽地吞食油腻的哥布林内脏 Gulping down greasy Goblin guts
40	用钝斧头劈砍木门 Hacking through a wooden door with dull hatchets
41	在盐与银圈边缘犹豫不决 Hesitating at the edge of a salt and silver circle
42	对着颤抖的侍僧发出嘶嘶声，挥舞着她的圣徽 Hissing at a wavering Acolyte, brandishing her Holy Symbol
43	正在使一位不幸的捕鼠人失去行动能力 Incapacitating a luckless Rat Catcher
44	将他们的恶臭液体注入树人根部 Injecting their foul fluids into the roots of a Treant
45	打断商人之间的交易 Interrupting a transaction between Traders
46	胡言乱语地唱着关于挖墓的无意义韵文 Jabbering nonsense rhymes about grave-digging
47	哀嚎着同步熄灭蜡烛，发出诡异的悲鸣 Keening eerily in unison as they snuff out candles
48	阴森地嘲笑着一只溺水的蝙蝠 Laughing macabrely at a drowning Bat
49	跃向一位沉睡的老兵 Leaping upon a sleeping Veteran
50	抬起一块沉重的石板 Lifting a heavy stone slab
51	误解：这些是当地村庄的神圣殡葬师 Misunderstood: These are holy Morticians for a local village
52	使一名游牧民麻木，而其同伴则四散逃窜 Numbing a Nomad as his fellows flee
53	用磨尖的石头撬开熊的头骨 Opening a Bear skull with a sharpened rock
54	将偷来的丧葬供品整理成杂乱无章的堆 Organizing stolen funerary offerings into untidy piles
55	正超越一名兽人斥候 Overtaking an Orc Outrider
56	玩弄他们的食物：一个如今悔过的邪教徒 Playing with their food: A now repentant Cultist
57	正埋头研读一系列充满胡言乱语的食谱书籍 Pouring over a series of gibberish filled Recipe books
58	正撬开一口装饰精美的棺材 Prying open a finely appointed casket
59	因饥饿而疯狂地胡言乱语 Raving starkly from starvation
60	散发着停尸房与腐烂玫瑰的恶臭 Reeking of the charnel house and rotting roses
61	从羊毛包裹中撕扯而出 Rending their way out of woolen wrappings
62	在墓穴壁龛中翻找，寻找快速的小点心 Rummaging through crypt niches for a quick snack
63	流着口水，测试一具纹丝不动的矮人尸体的嫩度 Salivating as they test a very still Dwarf for tenderness
64	正在用铸铁锅煎炒看似肝脏和眼球的食材 Sautéing what appears to be liver and eyeballs in a cast iron pan
65	因暴露在阳光下而结痂愈合 Scabbing over after being caught out in the Sun
66	慌忙躲避一只愤怒食人魔的追赶 Scrambling out of the way of an angry Ogre
67	尖叫着喊出他们仍在世的亲人的名字 Screaming out the names of their still living relatives
68	迅速窜入阴影之中 Scurrying swiftly into the shadows
69	抓住一只匆忙逃窜的蜘蛛并立即将其吞食 Seizing a scurrying Spider to and eating it immediately
70	彼此以无喜的哀歌相互吟唱 Serenading each other with joyless jeremiads
71	将一名同伴铐在墙上作为某种形式的惩罚 Shackling a packmate to a wall as some form of punishment
72	撕扯一匹死马的皮 Shredding through the hide of a dead Horse
73	躲避在房间角落里，那里阴影潜伏 Shunning a corner of the room where Shadows lurk
74	在肥沃芬芳的土壤中翻找蠕虫 Sifting through rich, fragrant soil in search of worms
75	正对着顽固的精灵猛砍 Slashing at an obstinate Elf
76	正啜饮着一位前探险队搬运工的内脏 Slurping the entrails of an Ex-expedition Porter
77	拍打他们干裂、血迹斑斑的嘴唇 Smacking their cracked, blood caked lips
78	在持续的躁动中砸碎宗教圣像 Smashing religious icons in a constant state of agitation
79	从池中抢夺一条白化鱼 Snatching an albino fish from a pool
80	声称自己是牧师，拐走一位盲眼乞丐 Spiriting away a blind Beggar by claiming to be Clerics
81	劈开一根股骨，享用其中丰美的黄色骨髓 Splintering a femur to munch on rich yellow marrow
82	散发着坟墓的恶臭，因腐烂而肿胀 Stinking of the grave, bloated with putrefaction
83	从悬挂的吊灯绳索上荡下来 Swinging down from a rope suspended chandelier
84	正在对付一个闯入的兽化人 Tackling a trespassing Thoul
85	嘲弄一位受惊的中型生物 Taunting an affrighted Medium
86	撕扯着他们那凌乱肮脏的头发：刚刚苏醒 Tearing out their stringy, dirty hair: Just risen
87	威胁一群迷路的侏儒 Threatening a group of lost Gnomes
88	用盛满凝固血液的恐怖圣杯举杯祝酒 Toasting with ghastly chalices, brimming with congealed blood
89	"运送一位被冻住的半身人草药师前往他们的“厨房” Transporting a frozen Halfling Herbalist to their ""kitchen"""
90	拉扯着阻止他们杀戮的奇异银色项圈 Tugging on strange silver collars that prevent them from killing
