1d30	活动-云巨人
1	训诫他们的鹰身人侍从 Admonishing their Aarakocra acuepses
2	封锁一条重要且快捷的山口通道 Blockading an essential and speedy Mountain pass
3	正在为他们珍视的白巨鹰梳理翅膀 Brailing the wing of their prized White Giant Hawk
4	引发雪崩，让碎石如雨般砸向食人魔 Causing an avalanche to rain down rubble on Ogres
5	从山坡上冲向一支商队 Charging down the slope toward a Merchant Caravan
6	向一支矮人采矿队索要贡品 Demanding tribute from a Dwarf Mining expedition
7	正在摧毁横跨裂隙的古老石桥 Demolishing an ancient stone bridge across a crevasse
8	劝阻一群朝圣者前往一处神圣神殿 Deterring a group of Pilgrims from visiting a sacred shrine
9	拖拽巨石砌筑以修复他们的堡垒 Dragging cyclopean masonry to repair their fortress
10	用穿孔的盘子从汹涌的河流中提取黄金 Extracting gold with perforated pans from a raging river
11	用残羹剩饭喂养他们嚎叫饥饿的凶暴狼 Feeding their howling, hungry Dire Wolves with table scraps
12	加固他们那巨大的豆茎阶梯 Fortifying their Brobdingnagian Beanstalk stairway
13	放牧一大群洁白如雪的绵羊 Grazing an immense flock of alabaster fleeced sheep
14	拖拽着一把巨大的镀金竖琴 Hauling an immense gilded Harp
15	驾着巨型猛禽猎鹰，捕捉强壮的麋鹿 Hawking with their Giant Raptors snatching hardy Elk
16	肩扛一对巨型大鹏 Hoisting a brace of Large Roc over a shoulder
17	率领一场狩猎，由他们巨大的狼群协助 Leading a hunt, aided by their immense Wolves
18	对希望使用道路的人征收巨额通行费 Levying tremendous tolls on those who wish to use a road
19	正拖着一辆极其庞大的推车攀爬陡峭的斜坡 Lugging a positively massive cart up a steep incline
20	为正在换羽的巨型鹰隼发出哀鸣 Mewing their molting Giant Hawks
21	阻塞通往孤立修道院的唯一路径 Obstructing the only path to an isolated Monastery
22	享用着一块巨大的山羊奶酪轮盘 Partaking of a gigantic wheel of Mountain Goat Cheese
23	在翠绿的山谷中犁出长达一英里的犁沟 Plowing mile-long furrows in a verdant valley
24	返回他们云雾缭绕的城堡 Returning to their cloud wreathed castle
25	眯眼眺望远处的峡谷，警惕地搜寻入侵者的踪迹 Squinting into a distant canyon, on the lookout for invaders
26	囤积微型武器，为装备一支军队做准备 Stockpiling diminutive weaponry, to accouter an army
27	挥舞着一只饰有枭熊羽毛的诱饵 Swinging an Owlbear feathered Lure
28	向悬崖边的小径投掷巨大的岩石 Throwing colossal boulders at a cliff-side pathway
29	在不稳定的冰川附近小心翼翼地行走 Treading carefully near an unstable glacier
30	在清澈的山间溪流中洗涤宽大的长袍 Washing voluminous robes in a crisp Mountain stream
