d100	活动-人鱼
1	升入即将来临的暴雨洪流中狂欢 Ascending to revel in the torrents of an upcoming cloudburst
2	聚集以加冕新的海之女王 Assembling to crown a new Sea Queen
3	骑乘战海马侧鞍，手持珊瑚长矛 Astride War-Seahorse side-saddle, armed with coral lances
4	躲避一群盘旋鲨鱼的袭击 Avoiding a shiver of circling Sharks
5	对海豹喃喃自语地发出指令 Babbling instructions to a Seal
6	与来访的食人魔大小的逆戟鲸族人进行交易 Bartering with visiting Ogre-sized Orca-folk
7	在风景如画的潟湖温暖浅滩中晒太阳 Basking in the warm shallows of a picturesque Lagoon
8	将他们在海上发现的漂流小船拖上岸 Beaching a small boat they found adrift at sea
9	与初来此片海域的海龙交朋友 Befriending a Sea Dragon, new to these waters
10	在珍珠母上雕刻精细的凹雕图案 Carving intricate intaglios into nacre
11	用细网捕捉游动的闪亮凤尾鱼群 Catching darting shoals of shimmering Anchovies in fine nets
12	驱赶一只咸水白蚁 Chasing away a Saltwater termite
13	通过刺破采集的墨鱼墨囊来隐藏自己 Cloaking themselves by piercing harvested Squid Ink sacs
14	收集多情恋人抛入浅水区的硬币 Collecting coins thrown into the shallows by wistful lovers
15	梳理他们长长的波浪状头发 Combing their long wavy tresses
16	藏身于一群色彩鲜艳的鱼群之中 Concealing themselves among a school of brightly colored fish
17	撬开龙虾，享用其肉 Cracking open Langoustines to feast on their meat
18	培育巨大的海带柱林 Cultivating vast leafy columns of Kelp
19	解救被渔线缠住的海龟 Cutting a Sea Turtle free from a fishing line
20	冲向救援被鱼叉刺中的鲸鱼 Dashing to the aid of a harpooned whale
21	正抵御一群饥饿的海妖的袭击 Defending themselves from a pack of hungry Sea Ghouls
22	急需援助对抗水生吸血鬼 Desperate for aid against an aquatic Vampire
23	迅速下潜以阻止锚摧毁家园 Diving with great haste to stop an Anchor from crushing a home
24	用漂浮的华丽服饰和沉没的珠宝装饰一具骷髅 Dressing a Skeleton in flotsam finery and jetsam jewelry
25	溺死那些以猎杀他们为乐的无情海盗 Drowning the ruthless Pirate that hunts them for sport
26	在检查岛屿德鲁伊后，退潮游向更深的水域 Ebbing out to deeper waters, after checking on an island Druid
27	浮出水面嘲弄一艘载有饥饿水手的船只 Emerging to taunt a ship of starving Sailors
28	躲避巨型梭鱼如剑般的利齿 Evading the sword-like teeth of a Giant Barracuda
29	熟练地将鲨鱼牙齿塑造成矛尖 Expertly shaping shark teeth into spear points
30	提取致命剧毒的石鱼脊刺 Extracting lethally envenomed Stonefish spines
31	正在享用巨型龙虾尾 Feasting on Giant Lobster tails
32	排成一条坚固的链条，手持锚具 Filing into a link of mighty chain, holding an anchor
33	逃离霜魂亡灵的追击 Fleeing from a Rime Wight
34	浮在表面附近，伏击潜水的双足飞龙 Floating near the surface to ambush a diving Wyvern
35	解救被顽固巨牡蛎困住的同伴 Freeing a companion, caught in a tenacious Giant Oyster
36	在汹涌的巨浪中嬉戏 Frolicking in a great roiling rogue wave
37	从海床上采集滨螺和扇贝 Gathering periwinkles and scallops from their beds
38	小心滑过一片吸血血珊瑚礁 Gliding carefully past a reef of Vampiric Blood Coral
39	沿着海底斜坡滑行而下 Glissading down the side of an undersea slope
40	在汹涌的浪涛中闪耀 Glistening amid the tumultuous surf
41	守护他们的女主人：一位用魔法迷惑他们的海妖女巫 Guarding their Mistress: A Sea Hag who ensorcelled them
42	引导感恩的渔民前往丰饶的浅滩 Guiding grateful Fishermen to a bountiful shoal
43	与隐秘的蝠鲼族商人讨价还价 Haggling with a secretive Manta Ray-Folk Traders
44	将海豚套上华丽的战车 Harnessing Dolphins to an ornate chariot
45	用鱼叉捕猎一条巨大的海鳗 Harpooning a massive Moray Eel
46	用骨耙翻搅沙地，寻找一枚魔法戒指 Harrowing the sand with bone rakes, searching for a Magic Ring
47	在沉没雕像上采集繁盛的贻贝 Harvesting Mussels thriving on submerged Statues
48	隐藏在巨型海葵摇曳的触手间 Hiding among undulating tentacles of Giant Anemones
49	猎杀海蛇：成年礼仪式 Hunting Sea Serpent: a coming of age ritual
50	用发光的奇异水母照亮黑暗的深渊 Illuminating dark depths with strange glowing Jellies
51	用三叉戟的尖端刺穿章鱼 Impaling an Octopus on the tips of a Trident
52	入侵海盗藏身之所 Invading a Buccaneer Haven
53	抛弃陆地上的恋人，转而投入海浪的怀抱 Jilting land-locked lovers in favor of the waves
54	亲吻溺水的水手，向其肺部输送空气 Kissing a drowning sailor to fill her lungs with air
55	用极细的海丝编织复杂的披肩 Knitting intricate shawls out of ultra-fine byssus
56	在干燥的岩石上被锁链束缚，远离海浪的触及 Languishing in chains atop a dry rock, out of wave-reach
57	懒洋洋地随波逐流，肚子饱含黄油鱼 Lazily drifting on the currents, bellies full of Butter Fish
58	洗劫沉船，偷窃餐具和银器 Looting a shipwreck, stealing dishes and silverware
59	在与巨型乌贼的战斗中失利 Losing a battle with a Giant Squid
60	引诱船只搁浅在沙洲上，以窃取吸引人的货物 Luring a ship onto a Sandbar to pilfer attractive cargo
61	用鱼钩制作精美的珠宝 Making intricate jewelry out of fishhooks
62	制造出令人惊讶的鱼鳞盔甲 Manufacturing surprisingly fish Scale Armor
63	随鲸鱼一同迁往更富饶的水域 Migrating to more fertile waters along with their whales
64	通过手势与奇异的蟹人进行谈判 Negotiating, via gesture with strange Crab-folk
65	正在用网捕捞一群易受惊的沙丁鱼 Netting a school of skittish Sardines
66	正在进行朝圣，前往拜访一棵古老的红树林树人 On a pilgrimage to visit an ancient Mangrove Treant
67	压倒一支鲨鱼族侦察小队 Overwhelming a Shark-folk scouting party
68	在自己制造的小漩涡中嬉戏 Playing in a small eddy of their own devising
69	掌握制作珊瑚活体雕像的秘密 Possess the secrets for crafting Coral Living Statues
70	从隐蔽的海洞中涌出 Pouring out of a sheltered sea cave
71	守护通往水元素位面的传送门 Protecting a portal to the Elemental Plane of Water
72	与一群嬉戏的海豚赛跑 Racing a pod of playful Dolphins
73	从沉船中营救幸存者 Rescuing survivors from a shipwreck
74	从水下浮起伏击海巨魔 Rising from below to ambush a Sea Troll
75	匆忙前去援助一位遇险的海水仙子 Rushing to the aid of a distressed Saltwater Nixie
76	在沉没的帆船甲板上搜寻物资 Scavenging through the decks of a sunken Galleon
77	在沙地上雕刻转瞬即逝的魔法曼荼罗 Sculpting ephemeral Magical Mandalas in the sand
78	在布满洞穴的海底悬崖边躲避暴风雨 Sheltering from a squall in a cave-filled undersea cliffside
79	剥牡蛎，寻找珍珠 Shucking Oysters, in search of pearls
80	躲避一条致命的海蛇 Shying away from a deadly Sea Snake
81	在船员听力范围内，唱着洪亮的旋律 Singing sonorous strains, within earshot of Sailors
82	紧贴水面滑行，乘着船只的尾流 Skimming just under the surface, riding a ship's wake
83	潜藏在高大的海草中，猎杀虎鲨 Skulking in tall Sea Grass, hunting Tiger Shark
84	缓缓沉入一个广阔而深不可测的海沟 Slowly descending into a vast, impossibly deep trench
85	用鱼叉捕捉黑鳕鱼作为晚餐 Spearing a Sablefish supper
86	在他们的驯养儒艮背上装载补给品 Stowing supplies on the back of their domesticated Dugongs
87	用有毒水母串连成一道围栏 Stringing toxic jellyfish to form a fence
88	浮出水面，从密封的酒壶中啜饮美酒 Surfacing to sip from wine from a sealed jug
89	用打捞的黄金交换钢制小刀和矛头 Swapping salvaged gold for steel knives and spearpoints
90	与温顺的鲸鲨一同游泳 Swimming alongside a docile Whale Shark
91	讲述一个关于大干旱的古老寓言 Telling an ancient fable about a Great Drying
92	照料着次声尖叫珊瑚的花园 Tending to a garden of Subsonic Shreiker Coral
93	向附近居住的暴虐风暴巨人进贡 Tithing to a tyrannical Storm Giant who lives nearby
94	与地表居民交易珍珠以换取金属 Trading pearls to surface dwellers for metals
95	用海螺壳吹奏号角 Trumpeting with conch shells
96	端庄地旋转着他们的尾巴 Twirling their tails demurely
97	在潮流中起伏，同时保持警戒 Undulating in the current as they keep watch
98	拜访龙龟，携带奢华礼物 Visiting a Dragon Turtle, bringing lavish gifts
99	在冒着气泡的热液喷口旁暖手 Warming their hands over a bubbling thermal vent
100	用海草编织极其坚固的渔网 Weaving incredibly strong nets from sea grass
