1d100	活动-侏儒
1	调整水车旋转的速度 Adjusting the speed at which a waterwheel rotates
2	正在施放解毒剂，部分已因腐尸爬行者而倒下 Administering Antidotes, some succumbed to Carcass Crawler
3	与一群矮人争论矿脉的归属权 Arguing with a group of Dwarfs about ownership of a seam
4	帮助一位牧羊女寻找她丢失的羊群 Assisting a Shepherdess looking for her Sheep
5	正在烘焙令人垂涎的李子和薰衣草馅饼 Baking mouth-wateringly fragrant Plum and Lavender tarts
6	狂饮独眼巨人酒，以换取地鼠害虫防治服务 Binge-drinking Cyclops Wine, traded for Gopher Pest control
7	吹制精巧的玻璃器皿，卖给炼金术士 Blowing intricate glassware to sell to Alchemists
8	正在酿造一种浓烈的黑啤酒，稠得能立住勺子 Brewing a potent Stout, so thick you can stand a spoon in it
9	与一群略显可疑的小精灵狂欢作乐 Carousing with a group of somewhat shady Sprites
10	携带着他们酋长给精灵族的重要信息 Carrying an important message from their Chieftain to the Elfs
11	庆祝一个以韭菜为中心的奇特节日 Celebrating a strange holiday, seemingly centered around Leeks
12	拜访一位几十年前曾为他们提供食宿的当地牧师 Checking on a local Priest, who fed and sheltered them decades ago
13	在赶走贪婪的食人魔后大声欢呼 Cheering loudly after driving away a Greedy Ogre
14	为一辆新雕刻精美的山羊车举行命名仪式 Christening a new, ornately carved Goat Cart
15	与当地鼹鼠密谋破坏一个狗头人巢穴 Conspiring with local Moles to undermine a Kobold warren
16	大声争论他们是否迷路了 Debating loudly about whether or not they're lost
17	通过投票决定是否安全扎营 Deciding through voting if it is safe to set up camp
18	为半人马酋长递送婚礼礼物，遵循古老传统 Delivering a Wedding gift to a Centaur Chieftain, ancient tradition
19	在便携式铜锅炉中蒸馏糖浆般的枯萎莓甜酒 Distilling syrupy Blightberry Cordial in portable Copper boilers
20	在火边烘干被暴雨淋湿的锥形帽子 Drying their conical hats near a fire, after being storm soaked
21	正在选举新的探险队长，上一任被变成了一只青蛙 Electing a new expedition leader, last one was turned into a Frog
22	陷入与附近狗头人要塞的堑壕战 Embroiled in trench warfare with a nearby Kobold Stronghold
23	护送獾王巡视其地下臣民 Escorting the Badger King on a tour of his subterranean subjects
24	在传统狗头人领地深处建立军事存在 Establishing a military presence deep in traditional Kobold territory
25	挖掘史前生物的化石遗骸以供研究 Excavating the fossilized remains of a prehistoric creature for study
26	正在试验新型自持火种，略有烧焦痕迹 Experimenting with new self-contained Fire-Starter, slightly singed
27	未能及时察觉潜伏的蟹蜘蛛 Failing to spot a lurking Crab Spider in time
28	对一位战士大加赞赏：来自第十七次狗头人战争的老英雄 Fawning over a warrior: elderly Hero from the XVII Kobold Wars
29	正在为一匹体型极其庞大的蓝松鸦安装马鞍 Fitting a saddle on an absolutely massive Blue Jay
30	采集极其特定的孢子：超声波尖啸者 Foraging for awfully specific Spores: ultrasonic Shriekers
31	忙着精心打理他们那保养得一丝不苟的胡须 Fussing over their meticulously maintained mustaches
32	从裸露的矿脉中采集矿石样本，以备将来测试 Gathering Ore samples from an exposed seam for future testing
33	与地精们反复讨论天气的八卦 Gossiping about the Weather with a repetition of Groundhogs
34	嫁接珍稀梨树品种：用其酿造的苹果酒具有魔法效果 Grafting preciously rare Pear cultivars: cider made from it Magical
35	守护着通往侏儒社区的几条秘密路线之一 Guarding one of several secret routes into a Gnome community
36	引导一群半身人安全穿越大地精领地 Guiding a group of Halflings safely through Hobgoblin territory
37	将他们半驯化的巨型鼩鼱套上雪橇 Harnessing their semi-trained Giant Shrews to a sledge
38	采集特殊蘑菇，用于染制他们标志性的帽子 Harvesting special Mushrooms, used to dye their characteristic caps
39	拖拽着一辆满载半成品弩箭矢的矿车 Hauling a minecart, laden with half-finished Crossbow Quarrels
40	协助一家闪烁犬挖掘新巢穴 Helping a family of Blink Dogs dig a new den
41	躲避一只徘徊的蝎尾狮 Hiding from a prowling Manticore
42	正在竖起一块巨大的石碑，以偿还对当地德鲁伊的债务 Hoisting a large Menhir into place to repay a debt to local Druids
43	正在将一棵松脂松木掏空，制成一条可用的水槽 Hollowing out a log from a Pitchlock Pine into a serviceable sluice
44	潜入豺狼人帐篷神殿，窃取丑闻卷轴 Infiltrating a Gnoll tent-shrine to steal scandalous Scrolls
45	正在发明一种新型探测杖，目前仅对啤酒有效 Inventing a new type of Dowsing rod, currently only works on Beer
46	奉国王之命，在经历一场惨烈战役后举行庆功宴 Junketeering by order of the King after a particularly brutal battle
47	点燃一小堆火，燃烧着散发出甜美烟雾的火焰 Kindling a small fire, burning with a sweet-smoking flame
48	被一只欢快的土拨鼠的笑话逗得哈哈大笑 Laughing at a mirthful Marmot's jokes
49	率领一支巨食蚁兽大军围攻行军蚁丘 Laying siege to a Driver Ant mound with an army of Dire Aardvarks
50	抬起收费站的路障，让人类商人通过 Lifting the boom from a Toll Booth to allow Human Traders to pass
51	为未来探险绘制矮人遗迹周边区域的地图 Mapping the area around Dwarf ruins for a future expedition
52	在不知疲倦的魔像协助下，有条不紊地淘金 Methodically panning for Gold with help from tireless Golems
53	正在切黄瓜、胡萝卜和辣椒，准备制作辛辣的酸辣酱 Mincing Cucumbers, Carrots and Chilis for a spicy chutney
54	在月光下采矿，意图熔炼出最稀有的合金 Mining Moonlight, to melt into one of the scarcest alloys
55	与排外的裸鼹鼠蜂巢意识进行谈判 Negotiating with the xenophobic Naked Mole Rat Hive Mind
56	正在数拆卸风车的零件数量 Numbering the pieces of a dismantled Windmill
57	照料一只受伤的狐妖（以动物形态），它被陷阱困住了 Nursing a wounded Werefox (in animal form), caught in a snare
58	向和平的队伍提供食物和饮料，作为好客之礼的一部分 Offering food/drink to peaceful parties, part of a Hospitality Mitzvah
59	正用一套复杂多步骤的方法打开一扇卡住的门 Opening a stuck door with an intricate, several-step process
60	智取兽人哨兵，破坏他们的帐篷支柱 Outfoxing Orc sentries, sabotaging their tent poles
61	正在收拾一处未成功的采矿营地，情绪低落 Packing up an unsuccessful Mining camp and in sullen spirits
62	正在剥一堆和巨魔一样高的土豆 Peeling a pile of potatoes, as tall as a Troll
63	在敌后安插一只穿山甲间谍 Planting a Pangolin spy behind enemy lines
64	正在擦拭他们精心打造、镶有银扣的靴子 Polishing their masterfully cobbled, silver-buckled boots
65	抽着雕刻华丽的烟斗，吐出的烟圈达到小圆盾大小 Puffing on baroquely carved pipes, smoke rings reaching Buckler-size
66	与性格倔强的草原土拨鼠争吵 Quarrelling with characteristically contrary Prairie Dogs
67	质疑他们雇佣的矮人厨师的烹饪能力 Questioning their hired Dwarf Cooks' culinary ability
68	收到他们高度警觉的猫鼬哨兵传来的紧急报告 Receiving a dire report from their hyper-vigilant Meerkat sentries
69	从被诅咒的泉水中补充水袋：饮用者会变得愤怒 Refilling water skins from a Cursed Spring: turns drinkers Wrathful
70	研究尚处萌芽阶段的侏儒热气球飞行领域 Researching the still-nascent field of Gnomed Balloon flight
71	与一些友好的水泽仙女一同休息 Resting in the company of some neighborly Nixies
72	奉女王之命，追回被盗的画作 Retrieving a stolen Painting at the behest of their Queen
73	用一台巧妙的蒸汽动力绞肉机扭制香肠链 Twisting sausage links from an ingenious steam-powered Grinder
74	寻找据说能彻底毁灭狗头人一族的圣物 Searching for a Relic said to bring the utter destruction of Koboldkind
75	正在抖开作为家谱的美丽被子 Shaking out beautiful quilts that function as family trees
76	不安地与一群守序的地精朝圣者共享营火 Uneasily sharing a campfire with a group of Lawful Goblin Pilgrims
77	因小舟倾覆而浑身湿透、瑟瑟发抖 Shivering and soaked to the bone after their Coracle capsized
78	为一位远古友人播种树人种子作为恩惠 Sowing Treant seeds as a favor for an antediluvian friend
79	正在商讨如何处理一只捕获的鸡蛇兽的策略 Strategizing about what to do with a captured Cockatrice
80	勘察一处潜在侏儒定居点的选址 Surveying a site for potential Gnome Settlement
81	为曾共宿营地的冒险者们计算一份意外的账单 Tabulating an unexpected bill for Adventurers that shared their camp
82	聚集在一块宝石矿藏周围 Thronging around a deposit of gemstones
83	通过毒害地精的锈蚀怪骑兵来挫败他们的入侵 Thwarting Kobold incursion by poisoning their Rust Monster calvary
84	正在捣鼓一个异常复杂陷阱的内部机关 Tinkering with the inner workings of a remarkably complex Trap
85	移植一位感激的树精，而地精正在摧毁她的森林 Transplanting a grateful Dryad, Hobgoblins decimating her forest
86	修剪他们夸张的鼻毛 Trimming their outrageous nose hairs
87	从斜坡上翻滚而下，装备和补给四处飞散，骡子发出嘶鸣 Tumbling down a slope, gear and supplies flying as their Mules bray
88	低估了由狗头人萨满召唤的迷幻雾气 Underestimating a Confusing Fog, conjured by a Kobold Shaman
89	执行一项秘密任务，与蜥蜴人进行交涉 Undertaking a secret mission to treat with Lizard Men
90	正在卸下一头疲惫的驴子，以便更小心地通过一座摇摇欲坠的桥梁 Unloading a patient Donkey to more carefully cross a rickety bridge
91	无效率地重新勘探一处已枯竭的矿脉 Unproductively re-prospecting a played-out strike
92	听到巨人震地脚步声后从视线中消失 Vanishing from view after hearing a Giant's earth-shaking footfalls
93	拜访当地巫师的塔楼，携带稀有材料进行交易 Visiting a local Wizard's tower, bearing rare Components to barter
94	主动帮忙收割，想测试一台实验性脱粒机 Volunteering to help reap, looking to test an experimental Thresher
95	用一个月矿井收入在赛鼠上下注 Wagering a month's mine-takings on Racing Rats
96	用他们精心打造的战争锤猛击扭曲兽 Walloping a Warp Beast with their well-crafted Warhammers
97	用一颗散发奇异绿光的宝石烘烤他们粗糙的指节 Warming their gnarled knuckles over a strange, green glowing gem
98	为了安全，他们穿梭于隐秘而迂回的路线中 Weaving their way through clandestine, circuitous routes for safety
99	不知疲倦地从事木工活，这架新投石机一定能派上用场 Woodworking indefatigably, this new Catapult will surely work
100	在夸耀比赛中，吟唱家族氏族的事迹与成就 Yodeling Family Clan's deeds/accomplishments in a boasting contest
