1d100	活动-兽人
1	放弃巢穴，因锈蚀怪肆虐而撤离 Abandoning a Lair, overrun with a Rust Monster infestation
2	收集大量匕首和小刀，形成引人注目的收藏 Accumulating a remarkable collection of Daggers and Knives
3	在首领因年老去世后，任命一位新酋长 Appointing a Chieftain, after the other's death from old age
4	为前盗贼盟友的背叛复仇 Avenging a betrayal by former Bandit allies
5	在用大陶土烤炉烘烤不易变质的面包 Baking dense, un-spoiling Bread in a large clay Oven
6	将叛徒驱逐至灼热的阳光下 Banishing a Traitor out into the Burning Sun
7	将一艘覆满洞穴藤壶的轻舟拖上岸 Beaching a Cave-barnacle covered Coracle
8	为选择哪条路线而彼此争吵 Bickering among themselves over which route to take
9	正在宰杀一只十叉雄鹿，为鹿角归属争吵不休 Butchering a ten-point Buck, arguing over the Antlers
10	用火把灼烧一个咆哮巨魔的断臂 Cauterizing a gnashing Troll's severed Arm with a Torch
11	正在咀嚼一根渗出红色汁液的根茎，以保持清醒 Chewing on a oozing Red Root that encourages wakefulness
12	从一群狗头人手中没收一个宝箱 Confiscating a Treasure Chest from a group of Kobolds
13	用号角发出哀嚎，使血液凝固 Curdling blood with the mournful keening of their Horns
14	对着刺眼的阳光咒骂不已 Cursing at a searing bright shaft of Sunlight
15	被巫师的咒语迷惑，咆哮且愤怒 Dazzled from a Medium's incantation, snarling and enraged
16	守卫着一处魔法池，饮用后可消除进食需求 Defending a Magic Pool that eliminates the need to Eat
17	向敌对兽人氏族巢穴发出最后通牒 Delivering an ultimatum to the lair of a Rival Orc Clan
18	正从摇摇欲坠的梯子爬下，进入一个黑暗的深坑 Descending a rickety ladder, into a dark Pit
19	正在吃轻微烤制、肥美的刺蚊串 Eating lightly roasted, plump Stirges on spits
20	"雇佣了一位他们称为“姐姐”的巨型食人魔女 Employing the services of a massive Ogress, they call ""Sister"""
21	从被白蚁啃食支撑而坍塌的隧道中逃生 Escaping from a collapsing Tunnel, supports eaten by Termites
22	举杯歌颂他们首领的战斗英勇 Exhorting the combat prowess of their Leader in a Toast
23	用难以言喻的泔水喂肥一群野猪 Fattening up a sounder of Boar on unspeakable Slop
24	在大铜罐中发酵刺鼻的麦芽浆 Fermenting a pungent Mash in big copper vats
25	逃离一只饥饿的赭色胶质怪 Fleeing from a ravenous Ochre Jelly
26	用成瘾性毒液驱赶巨型蜈蚣 Flushing out Giant Centipedes with addictive venom
27	用狡猾的陷阱和圈套挫败盗墓者 Frustrating Tomb Robbers with devious Traps and Snares
28	与一群醉醺醺的蜥蜴人赌博 Gambling with a group of drunken Lizard Men
29	不停地吹嘘最近的一次军事胜利 Gloating incessantly about a recent military victory
30	与一只饥饿的Rhagodessa进行徒手搏斗，但未能成功 Grappling, unsuccessfully with a ravenous Rhagodessa
31	抱怨着他们微薄的朗姆酒配给 Grumbling at their meager rations of Rum
32	大声咕噜咕噜地喝着水壶里的咸水 Guzzling loud sips of brackish water from their Canteens
33	用蜡塞住耳朵收割尖叫菇的菌块 Harvesting slabs of Shrieker fungus with wax-stuffed Ears
34	劫持一支大地精补给车队 Hijacking a Hobgoblin Supply Wagon
35	嚎唱着关于月亮背叛的古老歌谣 Howling ancient Ballads concerning the Moon's betrayal
36	被发情的奇美拉灼伤后蜷缩躲藏 Hunkering down after being singed by a rutting Chimera
37	无视氏族巫师的警告，在禁猎区狩猎 Ignoring a Clan Wizard's warning, hunting in areas off-limits
38	占据一座古老的精灵墓穴，利用壁龛作为床铺或储物空间 Inhabiting an old Elf Crypt, using niches as bunks/storage
39	谨慎地调查远处传来的咔嗒声 Investigating a distant clattering sound, cautiously
40	因拖延而危及与豺狼人的互助协议 Jeopardizing a mutual aid agreement with Gnolls by dawdling
41	撞倒几座栩栩如生的熊地精雕像 Knocking over several life-like Bugbear Statues
42	对一只谄媚的石像鬼讲的低俗笑话哈哈大笑 Laughing at a simpering Gargoyle's off-color jokes
43	对入侵的骷髅发动突袭 Launching a sortie against encroaching Skeletons
44	一瘸一拐地走过布满残忍铁蒺藜的区域 Limping after a crossing an area drizzled with brutal Caltrops
45	拖着一座巨大且雕刻精美的木制狮子雕像 Lugging a huge, expertly carved Wooden Statue of a Lion
46	在当地人类贵族的旗帜下行军 Marching under the banner of a local Human Noble
47	策划推翻附近主教的阴谋 Masterminding a plot to unseat a nearby Bishop
48	威胁矮人矿营，偷取食物和骡子 Menacing a Dwarf Mining Camp by stealing food and Mules
49	为适应地下生活，正在挤取体型庞大且凹凸不平的山羊奶 Milking large and lumpy Goats, adapted for life underground
50	与强盗首领谈判，要求增加保护费 Negotiating with a Brigand leader for more protection money
51	几乎无声地将弩箭搭上弩弓 Nocking quarrels in their Crossbows, almost silently
52	因饮用强效精灵葡萄酒而痛苦地宿醉未醒 Nursing horrible Hangovers from potent Pixie Wine
53	服从于以某种方式蛊惑了他们首领的巫师 Obeying the Sorcerer who has somehow enthralled their Leader
54	恭敬地向狮鹫兽献上装满硬币的碗 Offering bowls of Coins to a Manticore, reverently
55	将一只腐尸爬行者从塌陷的床下赶走 Ousting a Carcass Crawler from beneath a sagging Bed
56	智胜山丘巨人，用铜换取白银 Outsmarting a Hill Giant, trading Copper for Silver
57	推翻篡夺酋长之位的牛头人 Overthrowing the Minotaur that usurped their Chieftain
58	在一扇颤动的石门前紧张地来回踱步 Pacing nervously before a shuddering Stone Door
59	适时伏击，使一群萨提尔陷入恐慌 Panicking a group of Satyrs with a well-timed Ambush
60	巡逻领地边缘，懊恼地检查足迹 Patrolling the edge of their territory, ruefully examining tracks
61	用石头投掷巨型蝙蝠以驱赶它 Pelting a Giant Bat with stones to drive it away
62	用定期提供的囚犯安抚附近的吸血鬼 Placating a nearby Vampire with regular Prisoners
63	在河流中投毒以使捕鱼行动更迅速 Poisoning a River to make a Fishing Expedition swifter
64	为争夺一根香肠激烈争吵，半身人趁机逃脱 Quarrelling so intently over a Sausage, a Halfling escapes
