1d100	活动-剑龙
1	以狂喜之姿攻击一株银杏灌木 Attacking a Gingko shrub with ferocious glee
2	避开死水潭旁又深又饥饿的泥沼 Avoiding deep and hungry mud near a stagnant pool
3	在温暖的微风中晒太阳，像猫一样伸展身体 Basking in a warm breeze, stretching like a cat
4	撞击树木以洒下肉质绿色种子 Battering a tree to shower down fleshy green seeds
5	正被类似鸟类的兽脚类恐龙清理寄生虫，进行梳理 Being groomed by parasite-peeling, bird-like theropods
6	每隔几分钟发出低沉而响亮的咕噜声 Bellowing with a deep, resounding grunt every few minutes
7	频繁造访并啃食，围困树人林地的剑龙 Besieging a Treant grove with frequent visits to graze
8	伏击一群喧闹的岩狒狒集会 Blindsiding a congress of whooping Rock Baboons
9	将背板变为亮橙色以威慑捕食者 Blushing their plates bright orange to discourage predators
10	高声鸣叫以试图吸引配偶 Braying melodiously to try to attract a mate
11	敲开坚硬带刺的果实，吮吸内部果肉 Breaking open firm-skinned, spikey fruits to slurp the insides
12	因突然声响而竖起棘刺和骨板 Bristling with spines and plates in response to a sudden sound
13	在布满苔藓的岩石地面上悠闲地觅食 Browsing fuzzy mosses, carpeting the rocky ground
14	鼓起勇气穿越一座狭窄的桥梁 Building up the courage to cross a narrow bridge
15	啃食高耸如手指般的蘑菇顶盖 Champing the caps from tall, finger-like mushrooms
16	冲向一只神情焦虑的角鼻龙 Charging a worried looking Ceratosaurus
17	咀嚼着一嘴扑腾的木贼草 Chewing a mouthful of flopping horsetails
18	轻声鸣叫以安抚激动的幼崽 Chirping soothingly to calm an excited calf
19	围绕着一窝锥形椭圆蛋进行防御性盘旋 Circling defensively around a clutch of tapered oval eggs
20	用厚泥涂抹身体两侧以驱赶吸血蚊 Coating their sides with thick mud to drive away Stirges
21	在落叶中搜寻嫩绿的新芽 Combing through fallen leaves for tender, fresh shoots
22	聚集在一座散发热量的奇异巨石周围 Congregating around a strange Monolith, pulsating with heat
23	在茂密灌木丛中横冲直撞，发出巨大噪音 Crashing through woody undergrowth, making a huge racket
24	穿越岩石峡谷，在碎石上滑行 Crossing a rocky ravine, sliding on the scree
25	用鸟喙般的大嘴嚼碎带刺的种子球果 Crunching barbed, seed-filled cones in their bird like beaks
26	漫不经心地踩碎散落的精灵骨头 Crushing scattered Elf bones with careless steps
27	保护受伤的配偶免受贪婪兽脚类恐龙的侵害 Defending a wounded Mate from ravenous Theropods
28	用强力尾击使矮人的盾牌凹陷 Denting a Dwarf's shield with a powerful tail swipe
29	正在挖掘一个类似陨石坑的凹地，准备产卵 Digging a crater like hollow, preparing to lay
30	拖拽着简陋的雪橇，为蜥蜴人村庄运送小屋的支柱 Dragging a crude sledge, hut poles for a Lizard Man village
31	警惕地从湍急的小溪中饮水 Drinking warily from a quick-flowing creek
32	食用针叶树幼苗，用长舌卷走针叶 Eating conifer saplings, pulling needles off with a long tongue
33	从沼泽地中现身，抖干身上的水 Emerging from a marshy bayou, shaking themselves dry
34	正在享用比人还高的华丽蕨类叶片 Feasting on fabulous fern fronds, taller than a man
35	用尾巴猛烈抽击可怕的暴龙 Flailing their tail at a terrifying Tyrannosaur
36	在威胁展示中闪烁鲜艳的垂肉 Flashing brightly colored waddles in a threat display
37	用庞大身躯压平低矮灌木 Flattening low bushes with their massive bulk
38	以惊人的速度逃离附近的滑坡 Fleeing, with surprising speed, from a nearby landslide
39	背部肌肉绷紧，骨板有节奏地起伏 Flexing muscles in their back, plates undulating rhythmically
