1d100	活动-双钩蟹蛛
1	伏击一只被族群驱逐的白猿 Ambushing a White Ape, ostracized from his Pack
2	依附于挣扎的食人魔身上 Attaching themselves to a struggling Ogre
3	避开明亮燃烧的蓝色火焰 Avoiding a brightly burning blue Flame
4	笨拙地挥舞着，试图擒住一只愤怒的巨型蝎子 Awkwardly flailing as they grapple an angry Giant Scorpion
5	地面突然开始震动时几乎一动不动 Barely moving when the ground suddenly starts to tremble
6	在碎石中挖掘，只露出剪刀般的颚部 Burrowing in Gravel, so that only their scissor-like jaws show
7	捕捉一只扭动的巨型蜈蚣并紧紧抓住不放 Capturing a squirming Giant Centipede and hanging on tight
8	在阴凉黑暗的地方间疾驰寻找掩护 Careening between cool, dark places for cover
9	攀爬到它们在阴暗角落高处的栖息地 Climbing to their perch, high in a shadowy corner
10	倔强地紧贴在愤怒的狂战士身上，使其筋疲力尽 Clinging defiantly to an angry Berserker, tiring them out
11	在高大的枯萎毒蘑菇间隐蔽自己 Concealing themselves among tall, wilting Toadstools
12	以爆发速度爬行，停下观察周围环境 Crawling in bursts of speed, stopping to survey surroundings
13	低伏身躯，准备向影子猛扑 Crouching low in preparation to pounce on a shadow
14	为巢穴剪下熟睡山巨人的毛发 Cutting the hair of a Sleeping Hill Giant for their nest
15	危险地悬挂在布满黏液的柱子上 Dangling precariously from a Column slick in slime
16	将一只狗头人猛摔在地 Dashing a Kobold against the ground
17	守护巢穴，抵御好奇的巨蜥蜴入侵 Defending their burrow from an inquisitive Giant Tuatara
18	通过地面感知振动，警觉且饥饿 Detecting vibrations through the ground, alert and hungry
19	正在享用一只凶暴暗甲虫 Dining on a Dire Darkling Beetle
20	消失在石桌下，表面略微焦黑 Disappearing below a Stone Table, surface scorched slightly
21	用消化唾液溶解一个不幸的苦行僧 Dissolving an unlucky Dervish with their digestive saliva
22	突然落在盗蝇身上并翻滚 Dropping suddenly on a Robber Fly and rolling around
23	栖息于从巨大骨堆中挖出的隧道内 Dwelling in a tunnel, hollowed out from a huge Bone Pile
24	高效地截断食尸鬼以便于运输 Efficiently amputating a Ghoul for easy transport
25	从出人意料的狭小缝隙中钻出并展开身体 Emerging from a surprisingly tight squeeze and unfurling
26	正在缓慢地吞食一只仍在抽搐的火焰甲虫 Feeding slowly on a still twitching Fire Beetle
27	为领地争斗，体型较大的那只正在落败 Fighting over Territory, the larger one is losing
