1d30	活动-喷毒眼镜蛇
1	漫无目的地游荡，寻找老鼠和啮齿动物 Aimlessly prowling in search of Rats and Rodents
2	露出毒牙，几乎滴着毒液 Barring their fangs, practically dripping with venom
3	使石化蜥蜴失明：幸运的转机 Blinding a Basilisk: lucky break
4	捕捉空中飞舞的蝙蝠 Catching skittering Bats on the Wing
5	紧紧盘绕在一尊金像基座周围 Curling tightly around the base of a Gold Idol
6	防御姿态，如同牧师在接近时吟诵咒语 Defensively postured, as a Cleric chants during approach
7	藏身于巧妙伪装的坑洞中 Dwelling within a strategically disguised pit
8	向精灵面部喷射毒液 Ejecting their venom at an Elf's face
9	分叉的舌头在沉睡的王子周围品味着空气 Forked tongues tasting the air around a sleeping Prince
10	守卫着通往简易出口的门户 Guarding a gateway that leads to an easy exit
11	远处传来的巨响惊扰了它们的休息，发出响亮的嘶嘶声 Hissing loudly after a distant thud disturbs their rest
12	侵入正在休息的盗墓者领地 Intruding on Tomb Raiders resting
13	在鳞片聚集处打结并扭曲 Knotting and twisting in a scaly agglomeration
14	围攻一群圣甲虫 Mobbing a swarm of Scarab Beetles
15	蜕皮中，半透明的蛇皮正在脱落 Molting, with translucent skins sloughing off
16	专注地盯着镜中自己的倒影 Peering intently at their reflections in a mirror
17	准备攻击一个粗心大意的狗头人 Poised to strike a careless Kobold
18	颤抖着，邪教徒向它们洒下不圣之水 Quivering as Cultists sprinkle them with Unholy Water
19	敲击石制圣水盆，盆中充满沸腾的魔法液体 Ringing a stone font, filled with bubbling Magic Liquid
20	轻声在穴居人先知的耳边发出嘶嘶声 Sibilating softly into the ears of a Troglodyte Oracle
21	直接向苦行僧的眼睛喷射毒液 Spitting directly into the eyes of Dervish
22	在光束下晒太阳 Sunbathing beneath a shaft of light
23	惊动走私者，搜查保险箱 Surprising a Smuggler, searching a strongbox
24	有节奏地摇摆，目光紧盯着盗墓者 Swaying rhythmically as they fix their gaze on a Grave Robber
25	威胁要攻击召唤者，盲目地蹒跚而行 Threatening to strike a Summoner, stumbling blindly
26	在豺狼人倒下后，眼镜蛇舒展身体并放松 Uncoiling and relaxing after a Hobgoblin collapses
27	展开带有独特符文标记的颈褶 Unfurling their distinctively rune-marked hoods
28	缠绕在一位麻痹朝圣者的腿上 Winding around the legs of a paralyzed Pilgrim
29	缠绕在温暖活体雕像的腿上 Wrapping themselves around the legs of a warm Living Statue
30	缠绕在一套魔法盔甲上 Wreathed around a suit of Magic Armor
