1d100	活动-大地精
1	在长弓射手的掩护火力下推进 Advancing under covering fire from Longbow Archers
2	允许一支败北的敌军返回家园 Allowing a defeated enemy army to return home
3	按照惯例，将军为部队准备了一餐饭食 As is custom, the General prepares a meal for their troops
4	袭击一伙强盗的营地 Assaulting a Brigand camp
5	全副武装列队接受检阅 Assembling for inspection in full panoply
6	为士兵名册分配日常任务 Assigning daily duties to a roster of soldiers
7	在敌人半数过桥后发动攻击 Attacking an enemy, after waiting for half to cross a bridge
8	引诱纪律散漫的敌人，以分散其兵力 Baiting an undisciplined enemy in order to split their forces
9	不情愿地利用一位变形怪盟友，发挥出毁灭性的效果 Begrudgingly using a Doppelgänger ally to devastating effect
10	围攻敌对军阀的堡垒 Besieging the fortress of a rival Warlord
11	以一丝不苟的整齐方式扎营 Bivouacking in a painstakingly orderly fashion
12	为满载物资的骡子开辟道路 Blazing a trail for Mules heavily laden with matériel
13	保镖选拔赛，仅限最强壮且最残暴者报名 Bodyguard tryouts, only the biggest and most brutal need apply
14	突破狂战士防线以占据高地 Breaking through a Berserker line to take the higher ground
15	在渡过河流后焚烧船只和桥梁 Burning boats and bridges after crossing a river
16	宣布临时休战，允许敌人埋葬其阵亡者 Calling a temporary truce to allow an enemy to bury their dead
17	平静地洗劫一个废弃村庄的冬季储备 Calmly plundering winter stores of an abandoned Hamlet
18	在刚发现的洞穴入口附近扎营 Camping near the entrance of a recently discovered dungeon
19	将马车拆解作为火葬柴堆的燃料 Cannibalizing wagons for funeral pyre fuel
20	捕获一群强盗，审问他们关于该地区的情报 Capturing a group of Bandits, interrogating them about the area
21	用精良武器痛击征召的新兵 Clobbering levied conscripts with their superior armaments
22	赞扬一名在败局中表现出勇气的卑微步兵 Commending a lowly foot soldier for bravery in the face of defeat
23	根据敌人调整战术，寻找有利的进攻时机 Conforming tactics to an enemy, looking for a favorable opening
24	在重大战役之前征服小型定居点 Conquering smaller settlements prior to a major engagement
25	正在与可消耗的兽人雇佣兵协调攻击行动 Coordinating attacks with their expendable Orc Mercenaries
26	击败一支由圣骑士率领的重甲骑士团 Defeating a group of heavily armored Knights, led by a Paladin
27	守卫着德鲁伊教团的营地，最近皈依了他们的信仰 Defending a Dervish encampment, recent converts to their faith
28	部署一台能发射五十支燃烧标枪的攻城器械 Deploying a siege contraption that fires fifty flaming javelins
29	借助经验丰富的游侠进行侦察威慑 Deterring reconnaissance with the aid of an experienced Ranger
30	挖掘战壕以加强防线 Digging trenches to bolster a defensive line
31	破坏敌军疑似补给线 Disrupting the suspected supply lines of an enemy force
32	以欢庆的仪式分发奖励，表彰卓越服务 Distributing rewards for exceptional service with joyous ceremony
33	从井中打水，装满数十个制作精良的木桶 Drawing water from a well to fill dozens of well-made barrels
34	精英禁卫军执行任务，追捕一名逃亡的国王 Elite janissaries on a mission to retrieve a runaway King
35	为即将到来的庆典确保有充足的浓烈啤酒供应 Ensuring a surplus of pungent beer for an upcoming celebration
36	通过展示虚假的优势来引诱敌人 Enticing an enemy by presenting a deceptive advantage
37	固守阵地，派遣信使请求增援 Entrenched, sending runners for reinforcements
38	护送一名敌军将领前往临时搭建的谷仓牢房 Escorting an enemy General to a jury-rigged barn brig
39	与附近的火巨人建立友好关系 Establishing friendly relations with nearby Fire Giants
40	在首领被刺杀后，混乱中紧急撤离 Evacuating in chaos after the assassination of their leader
41	躲避实力更强的敌人 Evading an enemy with superior strength
42	通过利用他们的食人魔储备来加速胜利 Expediating victory by leveraging their Thoul reserves
43	佯装混乱撤退，以包围过于自信的敌人 Feigning disorderly retreat to encircle an overconfident enemy
44	正在抵御一场肆虐的瘟疫，这场瘟疫正在消灭他们的队伍 Fighting off a virulent plague that's wiping out their ranks
45	率先抵达战场，以逸待劳，静候疲惫之敌的到来 First to the field and freshly awaiting an enemy's exhausted arrival
46	采集辛辣草药以增添他们口粮中乏味的味道 Foraging spicy herbs to augment the flavorless fare of their rations
47	驻守在一个极度担忧的哈夫林村庄中 Garrisoning in a very worried Halfling village
48	制造混乱及其伴侣：机遇 Generating chaos and its companion: Opportunity
49	严厉惩戒一名在站岗时玩忽职守的士兵 Harshly disciplining a soldier for dereliction during watch
50	在支付合理价格前仔细检查商人的货物 Inspecting a Merchant's wares before paying a fair price
51	用嘲笑和奚落激怒一个脾气暴躁的敌人 Irritating a temperamental enemy with jeers and taunts
52	发出清晰明确的命令，每位士兵都重复执行 Issuing clear and distinct orders that each soldier repeats
53	以英勇榜样引领怯懦的哥布林非正规军 Leading cowardly Goblin irregulars by courageous example
54	正在洗劫一辆被烧毁的商队，寻找任何可用的物资 Looting a burned Caravan for any salvageable supplies
55	在外围机动，以便将骑兵部署到更有利的位置 Maneuvering outskirts to put their calvary in better position
56	在精灵皮鼓的诡异节奏中行军 Marching to the eerie cadence of an Elf skin drum
57	正在将部队整编为适当的队列和分队 Marshalling a unit into proper ranks and subdivisions
58	在蜿蜒狭窄的山道中穿行，警惕着可能遭遇的伏击 Navigating a winding, tight pass and wary of an ambush
59	用巨魔血制成的灼烧药剂照料伤员 Nursing the wounded with cauterizing Troll-blood tinctures
60	借助熊地精斥候的情报，对敌人进行侧翼包抄 Outflanking foes thanks to the Bugbear Scout intelligence
61	在监狱营地布满荆棘的墙头巡逻 Patrolling the bramble-topped walls of a prison camp
62	正在贿赂一名盗贼间谍 Paying off a Bandit spy
63	劫掠一个拒绝投降条件的村庄 Pillaging a village that refused terms of surrender
64	正在玩复杂的战略棋盘游戏 Playing complicated strategic board games
65	策划着无懈可击的闪电战计划 Plotting impenetrable plans for a lightning fast strike
66	正在将他们的漆面鳞甲打磨得耀眼夺目 Polishing their lacquered lamellar armor to a blinding shine
67	在采取行动前，正深思熟虑一项冒险的计划 Pondering a risky course of action prior to taking it
68	通过交换挑衅性侮辱来练习情绪控制 Practicing temper control by trading provocative insults
69	正在准备袭击一个毫无防备、毫无预期的敌人 Preparing to take an unprepared, unexpecting enemy
70	主持法庭审判，惩罚一名违反军纪的雇佣兵 Presiding over a tribunal to punish a rank-breaking Mercenary
71	为战场上的英勇表现提拔一名士兵 Promoting a soldier for valor on the battlefield
72	正在摧毁一座木制瞭望塔，仍在堆叠木材 Razing a wooden watchtower, still stacking the wood
73	借助凶暴秃鹫坐骑在区域进行侦察 Reconnoitering the area with the help of Dire Vulture mounts
74	正在招募一名牛头人加入他们的队伍 Recruiting a Minotaur into their ranks
75	拒绝向顽强的精灵游击队投降 Refusing to surrender to tenacious Elf guerillas
76	正在精心梳理他们的坐骑，享受放松时光 Relaxing by carefully grooming their Riding Horses
77	反复清理并重新组装强力弩弓 Repeatedly cleaning and re-assembling powerful crossbows
78	向一位出奇丰满的军需官征用物资 Requisitioning supplies from a surprisingly plump Quartermaster
79	在采石场营救被奴役切割投石机弹药的士兵 Rescuing soldiers, enslaved in a quarry cutting catapult ammo
80	正从召唤了幽魂的绝望敌人处撤退 Retreating from a desperate foe that summoned a Wraith
81	虔诚地折叠一支被歼灭的军团的旗帜 Reverently folding the banner of a decimated regiment
82	从水下钻孔破坏部队运输驳船 Sabotaging troop transport barges by drilling into them from below
83	向前来视察的霍布哥布林国王之女致敬 Saluting the daughter of the Hobgoblin King, come to inspect them
84	清洗餐具并高唱惨胜之歌 Scouring mess dishes and singing songs of pyrrhic victory
85	在率领军队行军前侦察地形 Scouting terrain prior to leading an army on a march
86	寻找赋予出土陶俑傀儡生命之秘法 Searching for the secrets to animate excavated Terra Cotta Golems
87	寻找死灵法师以了解一位已故将军的作战计划 Seeking Necromancer to learn a dead general’s battle plans
88	通过挑拨矮人之间的关系来分裂联合部队 Separating united forces by sowing discord between Dwarfs
89	与持壳盾的蜥蜴人进行小规模冲突 Skirmishing with shell-shield bearing Lizard Men
90	从伪装位置狙击将军/灵媒/牧师 Sniping Generals/Mediums/Clerics from camouflaged positions
91	无情地对练，偶尔造成轻微伤害 Sparring mercilessly, occasionally resulting in minor wounds
92	以交错射击的弩箭齐射实现最大效率 Staggering crossbow volleys for maximum efficiency
93	正在饿养他们的巨蜥攻城兽 Starving their Giant Tuatara siege-breakers
94	正在策划如何最佳利用骷髅援军的策略 Strategizing on how best to use animated Skeleton reinforcements
95	通过恐吓而非流血手段制服敌人 Subduing an enemy through intimidation, not a blood drop spilled
96	正在勘察一处岩石露头的防御性，规划建造一座要塞的蓝图 Surveying a rocky outcrop for defensibility, plans drawn for a Keep
97	善待俘虏的士兵，与他们分享食物 Treating captured soldiers with kindness, sharing their food
98	正在指导食人魔如何在战斗中占据最佳位置 Trying to coach an Ogre on best position to take in battle
99	释放几只流着口水的炼狱猎犬追踪一名逃兵 Unleashing several slavering Hellhounds to track a deserter
100	鞭打一名丢失武器的士兵 Whipping a soldier who misplaced their weapon
