1d100	活动-小妖精
1	"用精心设计的“会说话的剑”恶作剧自娱自乐 Amusing themselves with an elaborate ""Talking Sword"" prank"
2	通过每走一步都发出巨大声响来迷惑熊地精 Befuddling Bugbears by making loud noises with every step
3	授予一名侍从一对引人注目的鹿角 Bestowing an impressive pair of Antlers on an Acolyte
4	通过将强盗的脸与贵族的脸互换，使其陷入困惑 Bewildering a Bandit by swapping their face with a Noble’s
5	通过将圣徽藏在头骨中使牧师困惑 Confounding a Cleric by hiding their Holy Symbol in a Skull
6	通过绕着地精的鞋子飞行使其困惑 Confusing a Kobold by flying around in their shoes
7	以高超技艺诅咒一位工匠，并使其对金钱过敏 Cursing a Craftsman by with great skill, and an allergy to money
8	通过用自己的足迹替换追踪痕迹来迷惑游侠 Disorientating a Ranger by replacing Tracks with his own
9	通过将铜幻化为黄金来分散矮人的注意力 Distracting a Dwarf by glamouring Copper as Gold
10	通过将精灵的箭矢换成玫瑰来使其尴尬 Embarrassing an Elf by replacing their Arrows with Roses
11	蒸发探险者的水袋：将液体替换为金粉 Evaporating Explorer's waterskin: Replacing liquid with gold dust
12	通过将每把剑都粘在剑鞘里来让战士手忙脚乱 Flustering a Fighter by gluing every blade into its scabbard
13	通过瞬间毁掉食人魔的晚餐来激怒他 Frustrating an Ogre by instantaneously spoiling his supper
14	在庄重场合戏弄掘墓人 Goosing a Grave Digger during a solemn occasion
15	将猎人的帽子藏在一块永不融化的大冰块中 Hiding a Hunter's Hat inside a big block of un-melting Ice
16	瞬间交换冒险队伍中所有人的服装 Instantly swapping outfits of everyone in an Adventuring Party
17	"通过赐予蜥蜴人“预言性”梦境，将其引入歧途 Leading a Lizard Man astray by granting him ""prophetic"" dreams"
18	通过改变路标误导一队大地精 Misleading a Hobgoblin Squadron by changing Road signs
19	通过用色情文学替换法术书来迷惑一位中阶法师 Muddling a Medium by replacing Spellbook with racy literature
20	困惑一位牧师，用鸡骨头替换圣物 Perplexing a Priest, swapping a Holy Relic with a Chicken Bone
21	在拔出时将耙子的刀片换成垂下的香蒲 Replacing a Rake's Blade with a droopy Cattail when drawn
22	斥责一位学者，剥夺其阅读能力 Scolding a Scholar by removing their ability to Read
23	意外地让一整队强盗醉倒 Spontaneously inebriating an entire band of Brigands
24	向侍从喷洒极其强效的巨型雪貂信息素 Spraying a Squire with very powerful Giant Ferret pheromones
25	偷走侏儒的声音并用青蛙或蟾蜍的叫声替代 Stealing a Gnome's voice and substituting croaks of a Frog/Toad
26	将巨魔转变为小精灵，持续一昼夜 Transforming a Troll into a Sprite a day and a night
27	戏弄贪婪的哥布林：一堆金币在一小时后变成橡子 Tricking a greedy Goblin: a pile of Gold turns to Acorns in an hour
28	每当商人拔出武器时，绊倒他们 Tripping a Trader whenever they draw a weapon
29	一次性解开全副武装战士的所有腰带和绑带 Unfastening all of a well-armed Warriors belts and straps at once
30	通过让背包重如铁砧来压垮一名法师 Weighing down a Wizard, by making pack as heavy as an Anvil
31	在桶大小的凉亭上增添美丽的花朵 Adding beautiful blossoms to barrel-sized bowers
32	向一只花栗鼠建议其宝藏的最佳藏匿地点 Advising a Chipmunk of the best hiding places for her hoard
33	与一位不敢相信自己好运的谦卑乞丐共进宴会 Banqueting with a humble Beggar, who can't believe his luck
34	用微型剑斩断蓟草 Beheading thistles with miniature Swords
35	在透明的蜻蜓般翅膀上嗡嗡飞舞 Buzzing about on translucent, Dragonfly like wings
36	毫无缘由地喧闹庆祝，载歌载舞 Celebrating raucously with song/dance for no discernable reason
37	互相追逐，一些装扮成老鼠，另一些装扮成猫 Chasing each other, some dressed as Mice others as Cats
38	用滑稽的假摔逗乐一位沮丧的树精 Cheering up a depressed Dryad with foolish pratfalls
39	为一只觉醒的蜗牛加冕，尊其为他们新且合法的国王 Crowning an Awakened Snail as their new and rightful King
40	跳着极具传染性的吉格舞：类似塔兰泰拉舞，令人筋疲力尽 Dancing an incredibly contagious jig: Tarantella like and exhausting
41	来回穿梭，恰好避开炼金术士的蝴蝶网 Darting to-and-fro, just out of reach of an Alchemist's Butterfly Net
42	以对魔法草药和植物的知识令德鲁伊眼花缭乱 Dazzling a Druid with their knowledge of Magical Herbs & Plants
43	用顶针喝着金银花酒：能把矮人醉倒 Drinking Honeysuckle Wine by the thimble: can knock a Dwarf flat
44	鼓励一圈蘑菇环状生长 Encouraging a ring-shaped growth of Toadstools
45	随时期待仙灵皇室的到访 Expecting a visit, any moment now, from Seelie Royalty
46	用花瓣和薄纱制作精致的衣物 Fashioning intricate garments from petals and gossamer
47	用从裁缝那里偷来的针和纽扣盾牌进行击剑 Fencing with needles/button bucklers, stolen from a Seamstress
48	用无法挣脱的花链束缚一位邪恶的猎巫者 Fettering a wicked Witch Hunter, unbreakable chains of flowers
