1d30	活动-山丘巨人
1	愚蠢地伏击一些装备精良的商人 Ambushing some well-armed Traders, foolishly
2	因踩到熊夹子而痛苦地咆哮 Bellowing in agony after stepping on a bear trap
3	砸碎陶罐和壶，陶工在一旁哭泣 Breaking clay pots and jugs while a Potter weeps
4	朝谷仓的侧面投掷巨石，却未能命中 Chucking a boulder at the broadside of a barn, and missing
5	一棒挥下，将整个哥布林战团击溃 Clobbering an entire Goblin war band with one club swing
6	正在喝一桶偷来的独眼巨人葡萄酒 Drinking a keg of stolen Cyclops wine
7	一边流着口水，一边看着神圣的牛在篝火上烤制 Drooling as a Sacred Cow cooks on a campfire
8	向旅行者勒索过路费 Extorting travelers for Toll money
9	狼吞虎咽地吃下一堆油腻的肉馅饼 Gobbling down a greasy pile of Meat Pies
10	将骨头磨碎以制作他们的面包 Grinding Bones to make their Bread
11	自言自语地咕哝着，还是那是他们的肚子在叫？ Grumbling to themselves, or is that their stomach?
12	劫持牧羊人的羊群作为晚餐 Hijacking a Shepherd's flock for supper
13	向逃跑的德鲁伊投掷石圈的一部分 Lobbing part of a Stone Circle at fleeing Druids
14	从一个村庄劫掠到另一个村庄，践踏农舍 Marauding from Hamlet to Hamlet, stomping cottages
15	照料化脓的疖子 Nursing festering boils
16	将他们的财宝打包进一个更结实的新袋子里 Packing their treasures into a new , s turdier sack
17	每周一次袭击无助的半身人村庄 Raiding a helpless Halfling Village once-a-week
18	正在洗劫一座风车，寻找谷物 Ransacking a Windmill for grain
19	用结实的钓线钓起一条巨型梭鱼 Reeling in a Giant Pike on a sturdy line
20	抢劫邪恶的税吏，将财物归还给他的小个子朋友们 Robbing an Evil Tax Collector, giving it back to his tiny friends
21	揉搓着被太阳晒伤、毛发浓密的头顶上一个疼痛的肿块 Rubbing a tender bump atop a hairy, sunburned head
22	倚靠在一棵正在沉睡的树人身上 Slouching against a currently sleeping Treant
23	追踪一头总能在关键时刻智胜他们的驴子 Stalking a Donkey that keeps outsmarting them at every turn
24	笨拙地潜行时驱赶一群牛群狂奔 Stampeding a herd of Kine while creeping clumsily
25	从受惊的商人那里偷取臭烘烘的侏儒奶酪 Stealing stinky Gnomish Cheeses from frightened Merchants
26	向一位骑着花斑骏马的骑士投降 Surrendering to a Knight astride a skewbald steed
27	挥舞着巨大的锁链，咆哮着攻击奇美拉 Swinging a large chain at a roaring Chimera
28	粗鲁地践踏农民的庄稼 Trampling over a Farmer's crops discourteously
29	拔起一根坚固的树干，准备制作新的大棒 Uprooting a sturdy trunk to fashion a new Club
30	为当地哥布林工作，以食物作为报酬 Working for the local Goblins, who pay with Food
