1d100	活动-巨蟹
1	放弃一处干涸的洞穴，里面堆满了被阳光晒白的贝壳 Abandoning a dried-out burrow, filled with sun-bleached shells
2	携带着一名沉睡水手的剑潜逃 Absconding with a sleeping Sailor's Sword
3	正在用刺人的海葵装饰自己 Adorning itself with stinging anemones
4	向同伴们通报刚被冲上岸的死海豹 Alerting others to a dead Seal, just washed in
5	伏击一位勇敢的拾荒者，他在寻找失落的宝物 Ambushing a brave Beachcomber in search of salvage
6	试图用草叉驱赶一只饥饿的麻风病人 Attempting to repel a hungry Leper, armed with a pitchfork
7	横冲直撞地闯入一群正在埋藏宝藏的海盗中 Barreling into a bunch of Buccaneers burying treasure
8	在突感寒意后，正晒太阳取暖 Basking in the sun after receiving a sudden chill
9	正被巨蜥蜴的利齿撕成碎片 Being decimated by a Giant Tuatara's teeth
10	正在沙丘阴凉处挖掘洞穴 Burrowing into the shady side of a dune
11	正在同类相食，因蜕壳而变得柔软脆弱 Cannibalizing one of their own, soft/vulnerable from molting
12	彼此绕圈，钳子咔嗒作响，进行求偶仪式 Circling each other, clacking claws in courtship
13	紧紧依附在一块巨大得不可思议（想象一下红杉大小）的漂流木上 Clinging to an impossibly large (think Sequoia) piece of driftwood
14	正在压碎一个被海水侵蚀的酒瓶 Crushing open a sea-encrusted wine bottle
15	优雅地啃食一只死去的海豚 Daintily nibbling on a dead Dolphin
16	随着吟游诗人的笛声翩翩起舞 Dancing around to the tune of a Bard's flute
17	冲向海鸥的阴影 Dashing towards the shadow of a Sea Gull
18	用闪亮的发现装饰潮汐池 Decorating a tidal pool with shiny finds
19	守护一块精选的巨石，将较小的闯入者抛到一旁 Defending a choice boulder, tossing aside smaller interlopers
20	灵巧地避开人鱼的三叉戟 Deftly side-stepping a Merman's trident
21	在潮湿的凹坑中产下胶状卵 Depositing gelatinous eggs inside a damp divot
22	最近一场洪水后，对人类的肉产生了嗜好 Developed a taste for Human flesh after a recent flood
23	正在挖掘一个布满小石子的坑，以便在退潮时储存海水 Digging a pebbly pit to store sea water when the tide leaves
24	高举双钳展示威势，而一只毫不在意的雌蟹在一旁观望 Displaying upraised Claws while an unimpressed female looks on
25	在一天最热之前躲到阴凉的岩层下 Ducking under a shady outcrop before the hottest part of the day
26	每只巨蟹的甲壳上都有一张类似战士面孔的图案 Each has a carapace that looks like a Warrior's face
27	正在食用一名已死去数周的遇难海盗 Eating a shipwrecked Pirate, dead for weeks
28	躲避一只饥饿的巨型鹰隼 Evading a hungry Giant Hawk
29	即使被切断，巨钳在三天三夜内也不会松开。 Even when severed, claws won't unclamp for 3 days/nights
30	驱逐较小的竞争对手离开其洞穴 Evicting a smaller rival from its burrow
31	在海滩更高处挖掘新的巢穴 Excavating a new den higher up the beach
32	游牧豺狼人部落的美味佳肴 Favorite food of a nomadic pack of Gnolls
33	在泡沫中享用被冲上岸的腐烂水果 Feasting on rotting fruits, washed up in the foam
34	为发臭的鲸脂条而争斗 Fighting over stinking strips of blubber
35	用响亮的威胁性钳子敲击声充斥空气 Filling the air with loud, threatening claw-clacks
