1d100	活动-巨鱿鱼
1	将一串西瓜大小的卵附着在船体上 Affixing a string of watermelon-sized Eggs to the hull
2	伏击一群尖叫的海豚 Ambushing a pod of squealing Dolphins
3	攻击一艘受损卡拉维尔帆船的船员 Attacking the crew of a crippled Carrack
4	避开海面上翻滚的漩涡 Avoiding a roiling vortex on the surface of the sea
5	在温暖的浅海海域中沐浴阳光 Basking in the warm water of shallower seas
6	在水线下发出不祥的生物荧光 Biolumenescing balefully beneath the waterline
7	破坏锚链或系泊设备，使船只漂流 Breaking anchor chains/moorings to set ships adrift
8	正在捕捉一只在海底疾驰的谷仓大小的螃蟹 Capturing a Barn-sized Crab scuttling across the seabed
9	驱赶一群闪烁的匕首鱼群 Chasing away a shoal of shimmering Daggerfish
10	大声敲击喙部以驱赶对手 Clacking their beak loudly to ward off a rival
11	用树干般的触手紧紧缠住灯塔 Clamping tree-trunk like tentacles around a Lighthouse
12	用墨汁将周围数里水域染成漆黑 Clouding the water for leagues with their midnight ink
13	突然撞上纵帆船的左舷 Colliding suddenly with the port side of a Schooner
14	彻底倾覆一艘由商人驾驶的帆船 Completely capsizing a Cutter crewed by Traders
15	紧勒住“无赦号”船上的大地精船长 Constricting the Hobgoblin Captain of the ship No Quarter
16	摧毁珊瑚城堡以寻找美味的人鱼 Crumbling a Coral Castle in search of tasty Mermen
17	冷酷地碾碎救生艇，遇难水手们尖叫不止 Crushing a lifeboat callously as shipwrecked Sailors scream
18	灵巧地改变颜色，融入酒红色的波涛中 Deftly changing color to blend with wine dark waves
19	刻意挖掘海底以建造沙洲 Deliberately dredging the sea floor to build a sandbar
20	正在吞食一头溺水的锤头鲸 Devouring a drowned Malletnose Whale
21	喷出与空气反应的墨汁：制造浓厚的蓝色雾气 Discharging an ink that reacts with air: Creating thick blue fog
22	正从一张坚固的钢制渔网中挣脱出来 Disentangling itself from a sturdy steel net
23	巨鱿游过时掀起浪花，将小艇浸湿，所幸它已游走 Drenching a Dinghy with its wake as it thankfully swims past
24	残忍地逐个淹死卡拉维尔船的船员 Drowning the crew of a Caravel, one at a time, sadistically
25	栖息于最深处，仅在新月时浮出水面 Dwelling in the deepest reaches, only surfacing on New Moons
26	环绕一对船只，海盗准备登船 Encircling a pair of Vessels as Pirates prepare to board
27	吞噬一艘大帆船，从划桨者手中夺走船桨 Engulfing a Galley, wrenching oars from rowers’ hands
28	缠绕着一艘沉没的单桅帆船，探察甲板下蜷缩的猎物 Entwining a scuttled Sloop, probing for prey huddled beneath decks
29	细致地解剖晚餐：一条较小的海蛇 Fastidiously dissecting their dinner: A smaller Sea Serpent
30	致命地抓住一位经验丰富的天气巫师 Fatally grabbing an experienced Weather Wizard
31	闪烁的深红色色素细胞，在淡粉色背景上格外明亮 Flashing crimson chromatophores, bright on pale pink background
32	浮于水面，巨大的象牙鱼叉突出 Floating on the surface with a massive Ivory Harpoon protruding
33	单次挤压便粉碎了一名食人魔水手的骨头 Fracturing an Ogre Sailor’s bones with a single squeeze
34	眼中闪烁着邪恶而超凡的智慧光芒 Glaring with sinister, otherworldly intelligence in their eyes
35	在暴风雨的海面上迅速滑行 Gliding swiftly through stormy seas
36	与愤怒的风暴巨人进行搏斗 Grappling with an angry Storm Giant
37	用喙来回磨擦，发出刺耳嘈杂的摩擦声 Grinding their beak, back and forth, a cacophonous, grating sound
38	在萨加索海游荡，等待易捕的猎物 Haunting a Sargasso Sea, waiting for easy prey
39	用挥舞的触手围困一群大鳍金枪鱼 Hemming in a shoal of Greatfin Tuna with flailing arms
40	预示一周内将有海妖克拉肯降临 Heralding the arrival of a Kraken before the week is out
41	猎食其最爱的猎物：其他体型相近的巨型乌贼 Hunting their favorite prey: Other similarly sized Squid
42	在巨大的吸血珊瑚礁上轻微自伤 Injuring itself slightly on a massive reef of Vampiric Coral
43	淹没一艘装饰华丽的单桅帆船的甲板 Inundating the decks of a beautifully decorated Dhow
44	调查一个加速末日邪教留下的供品 Investigating an offering left by an Apocalypse-hastening Cult
