1d30	活动-巨鳄鱼
1	接受恐惧的蜥蜴人献上的沼泽野猪祭品 Accepting Swamp Boar offerings from fearful Lizard Men
2	很久以前就学会了万物的语言，酷爱谜语 Learned the language of all things long ago, loves riddles
3	惊扰了当地的高脚屋村落，因游得太近 Alarming a local stilt village by swimming too close
4	在倒下的树木间晒太阳，可能被误认为是一座小岛 Basking amid toppled trees, could be mistaken for an island
5	正被沼泽巨人跟踪，他们已损失了两名猎手 Being stalked by Swamp Giants who've already lost 2 hunters
6	掀翻一艘满载海盗及其财宝的卡拉维尔帆船 Capsizing a Caravel, laden with Pirates and their treasure
7	正在咬碎一只口渴的泰坦巨兽的喉咙 Crushing the throat of a thirsty Titanothere
8	正将一头死去的乳齿象从岸边拖走 Dragging a dead Mastodon away from the shore
9	被古老的蛇人建造的摇摇欲坠的阶梯金字塔所吸引 Drawn to an crumbling Ziggurat built by Ophidians of old
10	正在享用一条金龙，鳞片在阳光下闪闪发光 Feasting on a Gold Dragon, scales glittering in the sun
11	正在摧毁精灵村庄的古老树木，魔法与箭矢纷飞 Felling ancient trees of an Elf village, spells/arrows flying
12	漂浮在湖泊中，数百年前她挖掘的巢穴 Floating in a lake, dug herself centuries ago
13	用尾巴拍打制造巨大波浪 Generating huge waves with a slap of the tail
14	正在啃咬一条小型海蛇的颈部 Gnawing on the neck of a Lesser Sea Serpent
15	不可思议地古老，全身覆盖着苔藓和地衣 Impossibly ancient, covered in moss and lichens
16	张着大嘴，一位胆大的游侠正在凿刻一颗与她身高相仿的腐烂巨齿 Agape as a gutsy Ranger chisels a rotting tooth, tall as herself
17	猛扑向一只正在舔水的剑齿虎 Lunging at a lapping Sabre Tooth Cat
18	为对抗干皮族备战，背负象轿与弓箭手 Mobilized for war vs dry skins, bearing howdah and archers
19	一只眼睛被水晶球取代 One eye is replaced with a Crystal Ball
20	唯一的挑战者是一只陆生龙龟 Only challenger is a terrestrial Dragon Turtle
21	沿着宽阔的河流悄然滑向一座关键的水坝 Slipping their way down a wide river toward a vital Dam
22	惊扰了一只正在建立巢穴的年轻黑龙 Spooking a young Black Dragon, just setting up a lair
23	布满盾牌大小的藤壶，提供额外护甲 Studded with buckler-sized barnacles, additional armor
24	潜入水中（数十年来首次），她所携带的村庄因此被洪水淹没 Submerging (1st time in decades), flooding a village she carries
25	意外惊扰了在沼泽中涉水的剑龙 Surprising a Stegosaurus wading in the swamp
26	正在吞食一匹战马 Swallowing a Warhorse whole
27	正向海面游去，为向盐水女王传递消息 Swimming seaward, to deliver a message to the Brine Queen
28	忍受着巫师塔矗立在自己的背上 Tolerating the Wizard's Tower perched on his back
29	凯旋般地拖着一只霸王龙的腿 Triumphantly toting a Tyrannosaurus leg
30	被当地的鳄鱼教派所崇拜与畏惧 Worshipped and dreaded by a local Crocodile Cult
