1d100	活动-水贼
1	在咸涩的深绿色海沫中占卜吉凶 Auguring omens in the salty bottle-green sea foam
2	在比预期更为汹涌的水域中起锚 A-weighing anchor on rougher waters than they'd like
3	从破损的救生艇中舀水 Bailing water out of a damaged lifeboat
4	正在封闭舱门，因远处风暴即将来临 Battening down hatchways as a distant squall approaches
5	搁浅在隐蔽的沙洲上，成为易受攻击的目标 Beached on a concealed sandbar, sitting ducks
6	系紧帆脚索以捕捉和煦的微风 Belaying bowlines to catch a balmy breeze
7	正在登上一艘明智投降的商船 Boarding a Trade Ship that wisely surrendered
8	清理搁浅长船上的藤壶和海藻 Breaming barnacles and seaweed from a beached long ship
9	对一位著名海军赏金猎人的船只进行舷侧炮击 Broadsiding the ship of a famous Naval Bounty Hunter
10	在洗劫完一艘小帆船上的财宝后，将其付之一炬 Burning a small Galley after stripping it of valuables
11	打磨弯刀和匕首，直至它们在阳光下闪闪发亮 Burnishing cutlasses and knives until they shine in the sun
12	在警惕的目光下，将战利品埋藏在偏僻的海滩上 Burying booty on a secluded beach under watchful eyes
13	正在宰杀一头抹香鲸以获取鲸脂和鲸须 Butchering a Sperm Whale for blubber and baleen
14	因巨型乌贼的缠绕而导致船只倾覆 Capsizing from the constriction of an enormous Squid
15	由一位玩家角色的远亲担任船长 Captained by a distant relative of one of the PCs
16	在船舷上抛下钓线，希望能钓到鱼 Casting lines over the bulwarks in hopes of catching fish
17	被妖娆的海妖迷住，将薪水挥霍在花哨的小玩意上 Charmed by sultry Sirens and spending pay on baubles
18	为新加入舰队的成员举行盛大的命名派对 Christening a new member of the fleet with a grand party
19	发现猎物后正在清理甲板 Clearing the deck after sighting their prey
20	在沙滩上搜寻遗失的魔法望远镜 Combing a Beach for a misplaced magic Spyglass
21	强行征用当地的渔船 Commandeering local Fishing vessels by force
22	全体船员皆为海精灵，以致命的优雅姿态航行 Crewed entirely by Sea Elfs with deadly grace
23	用旗帜颜色暗示船上有致命疾病，以此作为诱饵 Decoying with colors indicating a deadly disease is on board
24	因连续数周饮用海水而神志不清 Delirious from drinking seawater for weeks
25	带领一伙强盗前往新海岸进行劫掠 Delivering a band of Brigands to new shores to ravage
26	通过封锁港口扰乱当地贸易航线 Disrupting local trade routes by blockading ports
27	大声但公平地分配战利品份额 Dividing shares of loot loudly but fairly
28	正用锚拖拽着一个人鱼族的战争机器 Dragging a Merfolk war machine with their anchor
29	训斥一名在夜班时打瞌睡的船员 Dressing down a crew member for sleeping on dogwatch
