1d100	活动-水魅
1	遵循对所有来访者的古老待客之道 Abiding by ancient strictures of hospitality for all
2	用贝壳首饰突显她们的自然美 Accentuating their natural beauty with shell jewelry
3	欣赏他们在平静水面上倒影 Admiring their reflections on the still water's surface
4	向一条巨型鲶鱼连声道歉 Apologizing profusely to a Giant Catfish
5	躲避一只非常饥饿、非常巨大的鳄鱼 Avoiding a very hungry, very Large Crocodile
6	不停地以催眠般的咝咝声絮絮叨叨 Babbling incessantly with a soporific sibilance
7	在温暖的阳光下心满意足地晒太阳 Basking contentedly in the warm sunshine
8	正在给一个极其肮脏的狂战士洗澡 Bathing an extremely filthy Berserker
9	在装满双耳瓶时，她们展现出诱人的美丽 Beguilingly beautiful as they fill amphorae
10	向溺水的矮人赐予呼吸 Bestowing breath upon a drowning Dwarf
11	在阅读特别华丽的辞藻时脸红 Blushing as they peruse particularly purple prose
12	挥舞着石鱼脊尖的长矛 Brandishing Stonefish spine-tipped Spears
13	闪烁着晶莹剔透的露珠光芒 Brilliantly scintillating with a dewy glow
14	召唤出一群闪烁的鱼群 Calling forth a shimmering shoal of Fish
15	在萨堤尔偷走她们的披肩后，沿着岸边欢快地跳跃 Capering along the shore after Satyr's stole their shawls
16	迷住了一位停下来装满水囊的半人马 Captivating a Centaur who stopped to fill his waterskin
17	骑乘巨型鲈鱼坐骑进行盛装舞步 Caracoling atop their Giant Bass mounts
18	捣乱，将钓鱼线绑在一起 Causing trouble by tying fishing lines together
19	与来访的淡紫色紫藤精灵嬉戏 Cavorting with some visiting pale-purple Wisteria Sprites
20	庆祝一只龙龟破壳而出的重要时刻 Celebrating the momentous hatching of a Dragon Turtle
21	魅惑一位洗衣女工，让她反抗邪恶的继母 Charming a Laundress to defy her wicked stepmother
22	首次尝试茶后咯咯笑 Chuckling after trying Tea for the first time
23	用鳕鱼骨梳理她们的秀发 Combing their tresses with codfish bones
24	完全迷住了一位红发强盗王子 Completely enrapturing a red-haired Bandit Prince
25	为一位资深巨魔杀手赋予水下呼吸能力 Conferring water breathing on a Veteran Troll Slayer
26	围绕一只漂白的巨型蜗牛壳，围成一圈跳舞 Dancing in a ring, around a bleached Giant Snail shell
27	破坏一个新建成的水车 Destroying a newly constructed Waterwheel
28	潜水采珠，似乎非常幸运：从不空手而归 Diving for Pearls, seem very lucky: never empty handed
29	用水浇灭可怕的火焰元素以将其逼退 Dousing a frightful Fire Elemental to keep it at bay
30	魅惑一位铁匠，让她锻造微小的三叉戟 Enchanting a Blacksmith, to have her forge tiny tridents
31	增强喧嚣瀑布的壮丽气势 Enhancing the majesty of a cacophonous waterfall
32	用奇特的乐器自娱自乐 Entertaining themselves with unusual musical instruments
33	在他们心爱的鳗鱼死后完全崩溃 Falling apart completely after the death of their favorite Eel
34	慵懒地漂浮在巨大的睡莲叶上 Floating languidly atop humongous lily pads
35	在一座摇摇欲坠的古老花岗岩喷泉上嬉戏玩耍 Fooling around atop a crumbling, ancient granite fountain
36	愤怒地浸湿一个毫无防备的哥布林 Furiously drenching an unsuspecting Goblin
37	在长满苔藓的巨石和清澈的水池间嬉戏 Gamboling among mossy boulders and pure pools
38	窃笑关于陆地生物的一个私密笑话 Giggling at a private joke about air-breathers
39	向傲慢的精灵表达不满 Giving a haughty Elf a piece of their mind
40	骑乘巨蛇在水面上滑行 Gliding across the water's surface astride Giant Snakes
41	闪烁着战略性覆盖的闪亮沙粒 Glittering with a strategic coating of sparkling sand
42	与一位醉得危险的树精闲聊 Gossiping with a dangerously drunk Dryad
43	为改过自新的熊地精赋予呼吸能力 Granting breath to a reformed Bugbear
44	与一位精明的商人讨价还价，换取华丽的玻璃珠 Haggling for gaudy glass beads with an enterprising Trader
45	从深水中拖拽沉没的宝藏 Hauling sunken treasures up from the deep
46	向邪恶的兽人投掷尖锐的石头 Hurling sharp stones at wicked Hobgoblins
47	迫使幻术师用魔法影像来取悦他们 Impelling an Illusionist to amuse them with magical images
48	居住在绿意盎然、蕨叶繁茂的洞穴中 Inhabiting in a verdant, fern frond filled grotto
49	抛弃他们之前的最爱，转而追求一位英俊的中型生物 Jilting their former favorite for a handsome Medium
50	从陡峭的岩石上跳入水中 Jumping into the drink from precipitous rocks
51	闲聊而非拆除不受欢迎的海狸水坝 Kibitzing instead of dismantling an unwelcome Beaver dam
52	将氧气通过亲吻输送给正在下沉的侍僧 Kissing oxygen into a sinking Acolyte
53	嘲笑一个相貌平平的侏儒 Laughing derisively at a homely Gnome
54	在开满樱桃花的微型小岛上慵懒地摆出诱人姿态 Lounging seductively on a tiny island of blooming Cherries
55	引诱一位手持竖琴的吟游诗人进入他们的环礁湖 Luring a lyre-bearing Bard into their lagoon
56	用魔法迷住一位强大的战士 Magically enthralling a formidable Fighter
57	迷住一位前来传教的传教士 Mesmerizing a Missionary who came to convert them
58	为魔法船首像充当模特 Modelling for a magical figurehead
59	召集他们的巨型鲈鱼对抗贪婪的摆渡人 Mustering their Giant Bass against a greedy Ferryman
60	纠缠德鲁伊去对付一个好色的游侠 Nagging a Druid to deal with a lecherous Ranger
61	提名一位新的水精灵发言人，负责与陆地居民交涉 Nominating a new spokes-Nixie for dealing with landlubbers
62	照料一位受伤的术士 Nurturing a wounded Warlock
63	以惊恐的低语观察一支露营的兽人军队 Observing a bivouacking Orc army with frightened murmurs
64	主持两位恋人的婚礼，遵循当地传统 Officiating matrimony between two lovers, local tradition
65	被即将被奴役的猎人盯着看 Ogled by a soon-to-be-enslaved Hunter
66	在浅水区划着天鹅形状的小船 Paddling along in a shallow draft Swan-shaped Boat
67	彼此间玩着复杂的拍手游戏 Playing complex clapping games with each other
68	潜入水下逃离一只饥饿的巨鹳大小的鹭鸟 Plunging under water to flee from a hungry Roc-sized Stork
69	与岸边囤积的树人进行笨拙的交谈 Ponderously conversing with a shore hoarding Treant
