1d30	活动-沼泽白蚁
1	通过啃食蜥蜴人的栅栏来烦扰当地蜥蜴人 Annoying local Lizard Men by feeding on their Palisades
2	躲避将其视为美味的饥饿穴居人 Hiding from hungry Troglodytes who consider them a delicacy
3	蜷缩成蠕动的团块，在水面上漂浮 Balling up into a writhing mass, bobbing on the surface
4	寄生于废弃的独木舟中，倒浮于水面 Infesting an abandoned Dugout, floating upside down
5	在表面下剧烈冒泡，足以使木筏沉没 Bubbling furiously beneath the surface, enough to sink a Raft
6	围攻一处拥挤的食人魔营地 Laying Siege to a cramped Ogre Camp
7	深入挖掘巨大柏树的心材内部 Burrowing deep into the heartwood of a massive Cypress
8	大声合击颚部以吓唬鱼类 Loudly clicking their jaws together to frighten Fish
9	紧紧抓住独木舟的底部 Clasping firmly to the underside of a Canoe
10	正在分解大部分已失效的木制傀儡 Mulching mostly deactivated Wood Golems
11	正在建造诱人的木制走道，上面藏有食物 Constructing tempting Timber walkways with cached Food
12	在病态且汩汩作响、被苔藓堵塞的瀑布下筑巢 Nesting beneath a sickly and burbling, moss-choked Waterfall
13	从巨大的晒白蜗牛壳中爬出 Crawling out of a huge sun-bleached Snail Shell
14	好奇地啃咬着一根损坏且噼啪作响的魔法法杖 Nibbling inquisitively on a damaged and sputtering Magic Staff
15	正在侵蚀一座被淹没的小屋 Crumbling an inundated Cottage
16	顽固地剪断香蒲和芦苇 Obdurately clipping Cat Tails and Reeds
17	在枯木树皮上培育消化真菌 Cultivating a digestive Fungus on the bark of dead Wood
18	策略性地堆积石块以淹没一片树林 Piling stones strategically to flood a stand of Trees
19	从树苗上切割带有香味的树皮条 Cutting strips of fragrant bark from saplings
20	正在破坏一艘侏儒制造的划艇的舵 Ravaging the rudder of a Gnome-made Rowboat
21	正在拆解一座木制捕鱼堰 Dismantling a wooden Fishing Weir
22	修复巨魔对其阴森高耸巢穴造成的破坏 Repairing Troll damage to their macabre towering Hive
23	拖拽一根巨大的腐烂原木到他们的水下储藏室 Dragging a large, rotting Log to their underwater larder
24	正在沉没一艘粗制滥造的哥布林贡多拉船 Sinking a poorly made Goblin Gondola
25	正在啃咬一艘停泊的商船侧板 Gnawing through the side of a moored Trader's Barge
26	用它们的墨水将微绿的水染成深黑色 Staining greenish water a deep shade of black with their Ink
27	搬运卵，单列划桨前往新巢 Hauling Eggs, single file as they paddle to a new Nest
28	在土丘顶部储存湿润的树枝以在阳光下发酵 Storing moistened branches atop a mound to ferment in the sun
29	将浸水的木材堆成谷仓大小的土丘 Heaping water-logged Lumber into a barn-sized Mound
30	精心编织长草垫成漂浮巢穴 Weaving meticulous mats of long grasses into a floating Nest
