1d100	活动-洞穴蝗虫
1	因食物匮乏而焦躁不安 Agitated due to a lack of food
2	在硬币堆中翻找，引来不必要的注意 Attracting unwanted attention by rummaging in a pile of coins
3	与误入觅食地的锈蚀怪展开激战 Battling a Rust Monster who wandered into feeding grounds
4	携带着奇异、近乎神秘的符文状标记 Bearing strange, almost arcane sigil-like markings
5	从岩架上的地衣咬下大块厚片 Biting large thick strips from a shelf-lichen
6	笨拙地撞进一堆骨头中 Blundering into a pile of bones
7	因突然的声响受惊后迅速逃窜 Bolting after being startled by a sudden sound
8	在洞穴墙壁间短促而迅捷地跳跃飞行 Bounding from wall to wall in short, swift flights
9	被侏儒培育为不知疲倦的守夜蟋蟀 Bred as tireless watch-crickets by Gnomes
10	在肥沃芬芳的土壤中挖掘洞穴 Burrowing into loamy, fragrant soils
11	正在落叶层下埋藏柠檬大小的卵 Burying lemon sized eggs under leaf litter
12	欢快地嗡嗡作响，同时啃食着淡绿色的蘑菇 Buzzing joyously while munching on pale green mushrooms
13	一头撞上地精巡逻队 Careening headlong into a Kobold Patrol
14	驱赶一只火甲虫 Chasing away a Fire Beetle
15	正在啃食门上生长的黄色霉菌 Chewing on the Yellow Mould growing on a door
16	大声鸣叫以吸引配偶 Chirping loudly to attract a mate
17	正在啃咬地毯角落的碎片 Chomping chunks of the corners of a carpet
18	用其颚部砍断高大蘑菇茎的顶部 Chopping the caps off tall mushroom stalks with its mandibles
19	在布满灰尘的石板地面上攀爬 Clambering across a dusty flagstone floor
20	紧紧抱住一根石柱 Clasping firmly onto a pillar
21	在桌子下轻声自语的咔嗒作响 Clicking quietly to itself under a table
22	正在攀越一具被麻痹的老兵尸体 Climbing over the body of a paralyzed Veteran
23	紧紧抱住一个箱子，进行防御 Clinging tightly to a chest defensively
24	紧抓着被虫蛀的窗帘隐蔽的一侧 Clutching the concealed side of a moth-eaten curtain
25	在与对手交锋后，全身沾满了恶臭的唾沫 Coated in stinky spittle after a run in with a rival
26	藏身于装饰性石雕之中 Concealed among decorative stonework
27	保护一位受伤的地精害虫低语者 Defending a wounded Goblin Pest-whisperer
28	正勤勉地在一堆哥布林垃圾中挖掘 Digging diligently into a pile of Goblin rubbish
29	在平台脚下享用着细腻的苔藓 Dining on delicate mosses at the foot of a dais
30	向一位怒气冲冲的矮人喷射浓稠的棕色唾液 Discharging thick brown spittle on a fuming Dwarf
31	俯冲攻击一只龙蜥 Divebombing a Draco Lizard
32	在一幅壮丽的画作上滴落黏糊糊的污物 Dribbling gooey gunk all over a spectacular painting
33	用腹部敲击地面，发出重复的咚咚声 Drumming abdomens against the ground, repetitive thumps
34	挖掘一个浅坑 Excavating a shallow hole
35	因一只雌性洞穴蝗虫的接近而兴奋不已 Excited as a female Cave Locust approaches
36	正盯着美味的蜡烛头 Eyeing tasty candle stubs
37	正以粉状马勃菌为食，使空气中弥漫着孢子 Fattening up on powdery puffballs, filling the air with spores
38	有利条件导致数量激增：令农民们忧心忡忡 Favorable conditions led to a population surge: worrying Farmers
39	正在享用美味的真菌 Feasting upon flavorful fungi
40	在布满白蚁的长凳上，用前腿不安地摆弄着 Fidgeting with its forelegs atop a termite ridden bench
41	当巨型蜈蚣经过时，洞穴蝗虫张开其闪亮的颚部 Flaring mandibles as a Giant Centipede passes nearby
42	逃离一只饥饿的虎甲虫 Fleeing from a hungry Tiger Beetle
43	在石柱间翩翩飞舞 Fluttering from column to column
44	啃咬椅子的一条木腿 Gnawing on the wooden leg of a chair
45	正贪婪地吞食从一个血迹斑斑的背包中洒出的口粮 Gorging on rations, spilled from a bloody backpack
46	与另一只雄性角力，争夺统治地位 Grappling with another male in a battle for dominance
47	紧紧抓住从墙内突起的粗壮扭曲树根 Grasping onto thick, gnarled roots erupting from the wall
48	在天花板附近，正啃食着发光的苔藓 Grazing upon luminous lichens, near the ceiling
