1d30	活动-火元素
1	化身为一位目光炽热的亚马逊女战士 Adopting the form of an Amazon with a smoldering gaze
2	空气闪烁而黝黑，在布满符文的圆圈中翻腾 Air shimmering and fuliginous, stewing in a sigil-covered circle
3	将已死狂战士的尸体烧焦变黑 Blackening the bodies of dead Berserkers
4	在滑行时烧穿厚厚的蜘蛛网 Burning through thick cobwebs as they glide by
5	正在为抽搐的巨魔颈部残肢进行灼烧止血 Cauterizing the neck stump of a twitching Troll
6	吞噬昂贵的柚木家具，仿佛能听到咂嘴声 Consuming expensive teak furniture, swear you hear lips' smack
7	滴落着类似凝固汽油弹般的火焰珠，嘶嘶作响并冒出浓烟 Dripping napalm-like beads of flame that sizzle and smoke
8	蒸发封口瓶中五颜六色的液体 Evaporating the colorful contents of stoppered vials
9	怒火中烧，水滴落在它的肩膀上闪烁不定 Flickering with fury as water drips on its shoulder
10	温柔地舔舐一只惊恐的霜冻蝾螈的脸 Gently licking the face of a terrified Frost Salamander
11	炽烈发光，宛如熔炉中的熔渣 Glowing intensely, like slag in a forge
12	因加热铸铁壶至沸腾而倍感羞辱 Humiliated as it heats a cast-iron kettle to boiling
13	点燃矮人的胡须，散发出一股恶臭 Igniting the beard of a Dwarf, a horrible smell
14	正在焚烧一支商人车队，商人们四散奔逃 Immolating a Merchant Caravan as the Traders run
15	看到一桶水时，愤怒且火花四溅 Livid and sparking at the sight of a pail of water
16	在宝藏堆上慵懒地融化着黏稠的金子 Melting gooey gold as it reclines atop a treasure hoard
17	像吃葡萄一样啃食香薰，并心满意足地吞云吐雾 Nibbling incense like grapes and smoking contentedly
18	不情愿地服从一位傲慢吸血鬼的命令 Obeying orders from a snide Vampire, begrudgingly
19	以烟熏的步伐踱步，同时一名邪教徒准备献祭 Pacing with sooty steps as a Cultist prepares a sacrifice
20	洒下炽热的余烬，同时拍打着一群骷髅的咔嗒声 Raining florid embers as it swats at a rattle of Skeletons
21	灼烫一只呜咽的枭熊的羽毛 Scalding the feathers of a whimpering Owlbear
22	一丝不苟地灼烧束缚其召唤者的麻绳 Scrupulously scorching hempen ropes that bind its Binder
23	在咸水河岸边站立，沸腾翻滚 Seething as it stands of the shores of a brackish river
24	自私地焚烧一本被丢弃的法术书 Selfishly charring a discarded Spell book
25	应女巫之请，点燃一片黄色霉菌群落 Setting alight a colony of Yellow Mould at a Sorceress' request
26	正在点燃一个逃跑的霍比特人的斗篷 Singing the cloak of a fleeing Halfling
27	炽热的热浪瞬间烤熟了一只腐尸爬行者 Sweltering heatwaves cook a Carcass Crawler instantly
28	在石墙上描绘奇异而炽热的符号 Tracing strange, searing symbols onto a stone wall
29	戏弄一位炼金术士，将她的药剂加热成毒药 Vexing an Alchemist by warming her potions into poisons
30	在烧毁一个村庄后，流下炽热的喜悦之泪 Weeping white-hot tears of joy after burning down a village
