1d30	活动-火甲虫
1	一个迷人的亚部落：结节的光芒照亮了秘密之门 A fascinating sub-tribe: Nodule glow illuminates secret doors
2	被洞穴中一朵恶臭花朵的花粉所吸引 Attracted to a foul-smelling cave blossom's pollen
3	为了争夺配偶或领地，互相拉扯对方的腿进行战斗 Battling for mates/territory by yanking on each other’s legs
4	能够发出响亮的咔嗒声，惊吓捕食者 Capable of making loud clicks that startle predators
5	围绕着一只发光手套进行防御性盘旋 Circling defensively around a glowing glove
6	在废墟中翻找美味的毒蘑菇 Combing through debris for tasty toadstools
7	极度饱食，结节发光时间延长一倍 Extremely well-fed, nodules glow for twice as long
8	正在享用美味的油甲虫幼虫 Feeding on tasty Oil Beetle larvae
9	向捕食者发出闪光信号警告 Flashing a heliographic warning to predators
10	正在啃食一块可能具有结构重要性的大木料上的地衣 Gnawing lichen off a large timber, possibly structurally important
11	贪婪地吞食一堆凹凸不平、腐烂的香橼果 Greedily devouring a pile of lumpy, rotten, etrogs
12	无视一堆发光的卵，其大小形状如同西瓜 Ignoring a clutch of glowing eggs, the size/shape of watermelons
13	在它们腺体的光芒下，侦测魔法无法探测到任何魔法。 In the glow of their glands, magic is undetectable by Detect Magic
14	在最近的洪水过后，搬运发光的幼虫前往新的食物来源地 Lugging luminous larvae to a new food source after a recent flood
15	用迷人的颚细致地咀嚼蘑菇 Meticulously munching mushrooms with mesmerizing mandibles
16	因察觉不到果冻立方体的气味而紧张不安 Nervous from the undetectable odor of Gelatinous Cube
17	无明显发光，腺体在红外光谱下运作 No apparent glow, glands work in the Infrared spectrum
18	在落叶堆中喧闹地嗅探翻找 Nosily nosing through leaf litter
19	心满意足地脉动着，嗅探着一具巨型老鼠的尸体 Pulsating contentedly as they sniff around a Giant Rat carcass
20	反复尝试攀爬光滑表面时不断跌倒 Repeatedly stumbling as they try to scale a smooth surface
21	对火把光的浪漫吸引导致雄性甲虫陷入困惑 Romantic attraction to torchlight leads to confused males
22	在骷髅金字塔顶部刮除黏滑的霉菌 Scraping slimy mold from atop a pyramid of skulls
23	将碎屑推成舒适的小堆，作为筑巢过程的一部分 Shoving detritus into cozy piles as part of the nesting process
24	胆小易惊，可能逃向天花板并惊扰蝙蝠 Skittish and likely to flee to the ceiling and disturb the Bats
25	难以置信地温顺，装备有搬运货物的挽具 Unbelievably docile, fitted with harnesses for portaging gear
26	意外地以笨拙的碰撞航线飞行降落 Unexpectedly alighting in very clumsy, collision-course flight
27	对尖叫蕈的刺耳喊声无动于衷，继续享用它们的零食 Unstartled by shrill shouts of Shriekers as they snack
28	用前肢从颤动的触角上汲取露水饮用 Using forelimbs to drink dew from twitching antennae
29	被老鼠所伤，留下一串发光的血迹 Wounded by Rats and leaving a trail of glowing spatters
30	因寄生巨型黄蜂幼虫而僵尸化且具有攻击性 Zombified and aggressive due to parasitic Giant Wasp larvae
